not_candidate,risk_flag,irrelevant_category,irrelevant_review_label,irrelevant_composite_score,irrelevant_document_frequency,irrelevant_total_frequency,positive_exact_kept,positive_overlap_terms,example_irrelevant_title,example_context
acetic acid,possible_not_candidate,other_junk,drop,0.306664,2,10,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...e unadulterated paneer was made by mixing milk powder and water, which is further curdled with lime juice and acetic acid. Then, vegetable oil was added to make it appear creamy and glossy. We also published the following articles..."
vegetable,possible_not_candidate,other_junk,drop,0.296493,3,10,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","NOIDA: A Greater Noida resident claimed a block of paneer he bought from a local store was laced with vegetable oil â a commonly used as adulterant to keep cottage cheese soft for long. Gaurav Kumar Yadav, a resident of..."
per cent,possible_not_candidate,other_junk,drop,0.251977,1,24,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’",...f cardiovascular diseases. WHO recommends that the total consumption of saturated fats should be less than 10 per cent of total energy intake. The MUFA acts as a cholesterol scavenger and generates high density lipoprotein (HDL/...
fatty acids,possible_not_candidate,other_junk,drop,0.223127,1,9,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...any oil is determined by its fatty acid composition, which differs from oil to oil. There are three types of fatty acids in any oil including saturated fatty acids (SFAs), mono-unsaturated fatty acids (MUFAs) and polyunsaturated f..."
erucic acid,possible_not_candidate,other_junk,drop,0.209802,1,7,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...unsaturated fatty acids) and low proportion of omega 9. Regular consumption of oil with more than 20 per cent erucic acid in the diet can cause thickening of arteries, which may lead to diseases like myocardial fibrosis in adults a..."
acid,possible_not_candidate,other_junk,drop,0.196747,3,23,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...lterated paneer was made by mixing milk powder and water, which is further curdled with lime juice and acetic acid. Then, vegetable oil was added to make it appear creamy and glossy. We also published the following articles..."
paneer,possible_not_candidate,other_junk,drop,0.191608,3,20,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",NOIDA: A Greater Noida resident claimed a block of paneer he bought from a local store was laced with vegetable oil â a commonly used as adulterant to keep cottage che...
consumption,possible_not_candidate,other_junk,drop,0.18295,3,15,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...ulterated food products have entered the markets. In March, six samples of paneer were found to be unsafe for consumption. As per reports, the unadulterated paneer was made by mixing milk powder and water, which is further curdled..."
high,possible_not_candidate,other_junk,drop,0.173701,3,10,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...Mustard oil, derived from mustard seeds, has been a staple in Indian cuisine, known for its strong flavor and high smoke point. Recently, olive oil, with its health benefits and Mediterranean origins, has gained popularity...."
ban,possible_not_candidate,other_junk,manual_review,0.169983,2,4,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’ Experts se..."
social media,possible_not_candidate,other_junk,drop,0.16936,2,3,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...ng,â he said. Yadav also posted a video of the adulterated paneer on X, which was shared several times on the social media platform on Tuesday. âI came to know that this paneer was manufactured in Agra. Later, when I called the spo..."
large quantities,possible_not_candidate,other_junk,drop,0.164928,2,2,0,,1500 kg paneer adulterated with palm oil and acetic acid seized in this city - The Times of India,"...ieved, raw materials and chemicals being used for the manufacturing of the fake paneer including adulterants, large quantities of palm oil and industrial grade acetic acid were seized during the raid. What is Palm Oil? Palm oil is a typ..."
india,possible_not_candidate,other_junk,manual_review,0.148161,2,12,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",...uction of healthier alternative’ Experts see the FSSAI’s decision as a big opportunity for mustard growers in India and replacing traditional rapeseed-mustard oil varieties with Canola rapeseed-mustard to provide a healthy oi...
canola,possible_not_candidate,other_junk,drop,0.145095,1,28,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’",...a big opportunity for mustard growers in India and replacing traditional rapeseed-mustard oil varieties with Canola rapeseed-mustard to provide a healthy oil for human consumption and decrease India's dependence on oil import...
acetic,possible_not_candidate,other_junk,drop,0.143998,2,10,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...e unadulterated paneer was made by mixing milk powder and water, which is further curdled with lime juice and acetic acid. Then, vegetable oil was added to make it appear creamy and glossy. We also published the following art..."
fats,possible_not_candidate,other_junk,drop,0.143433,2,10,0,,1500 kg paneer adulterated with palm oil and acetic acid seized in this city - The Times of India,"...one but can have negative effects on health. Risk of heart disease: Palm oil is said to be high in saturated fats, which can raise LDL (bad) cholesterol levels. This may increase the risk of heart disease and stroke if cons..."
indian,possible_not_candidate,other_junk,drop,0.140649,2,8,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...ed. How is olive oil different from mustard oil?Mustard oil, derived from mustard seeds, has been a staple in Indian cuisine, known for its strong flavor and high smoke point. Recently, olive oil, with its health benefits and..."
cent,possible_not_candidate,other_junk,drop,0.138396,1,24,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",...rdiovascular diseases. WHO recommends that the total consumption of saturated fats should be less than 10 per cent of total energy intake. The MUFA acts as a cholesterol scavenger and generates high density lipoprotein (HDL/...
canola quality,possible_not_candidate,other_junk,drop,0.13709,1,4,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’",...strial purposes. They do not allow consumption of rapeseed-mustard oil with more than 2 per cent erucic acid. Canola quality rapeseed-mustard cultivars make the meal much safer for dairy animals and poultry where it is used as a prefe...
may cause,possible_not_candidate,other_junk,drop,0.136114,1,3,0,,1500 kg paneer adulterated with palm oil and acetic acid seized in this city - The Times of India,"...r and unhealthy fats which can cause threat to the body. Digestive issues: Due to its complex composition, it may cause bloating, diarrhea, or stomach discomfort to those with a sensitive digestive system. Risk of inflammation: H..."
weight gain,possible_not_candidate,other_junk,drop,0.136114,1,3,0,,1500 kg paneer adulterated with palm oil and acetic acid seized in this city - The Times of India,"...e the risk of heart disease due to its high saturated fat content. It can also contribute to inflammation and weight gain if not consumed in moderation. It is commonly used in cooking and processed foods, as an inexpensive one but..."
fatty acid,possible_not_candidate,other_junk,drop,0.13528,1,3,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...ditional edible oils. What are the quality parameters of edible oils? Quality of any oil is determined by its fatty acid composition, which differs from oil to oil. There are three types of fatty acids in any oil including saturat..."
saturated fatty acids,possible_not_candidate,price/trade/market,drop,0.135251,1,3,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...ty acid composition, which differs from oil to oil. There are three types of fatty acids in any oil including saturated fatty acids (SFAs), mono-unsaturated fatty acids (MUFAs) and polyunsaturated fatty acids (PUFAs). The PUFAs are also know..."
greater noida,possible_not_candidate,other_junk,manual_review,0.135211,1,2,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",NOIDA: A Greater Noida resident claimed a block of paneer he bought from a local store was laced with vegetable oil â a commonly use...
commonly used,possible_not_candidate,other_junk,drop,0.128333,3,3,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...reater Noida resident claimed a block of paneer he bought from a local store was laced with vegetable oil â a commonly used as adulterant to keep cottage cheese soft for long. Gaurav Kumar Yadav, a resident of Stellar Jeevan Apartme..."
omega,possible_not_candidate,other_junk,drop,0.123146,1,15,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...lesterol back to the liver for degradation and excretion. Vegetable oils are the main source of PUFAs such as omega 6 and omega 3. However, an oil rich in PUFAs is unstable at very high temperature and gets converted into tra..."
varieties,possible_not_candidate,other_junk,drop,0.121021,1,14,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’",...I’s decision as a big opportunity for mustard growers in India and replacing traditional rapeseed-mustard oil varieties with Canola rapeseed-mustard to provide a healthy oil for human consumption and decrease India's dependence o...
fatty,possible_not_candidate,other_junk,drop,0.117489,1,12,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...ditional edible oils. What are the quality parameters of edible oils? Quality of any oil is determined by its fatty acid composition, which differs from oil to oil. There are three types of fatty acids in any oil including sa..."
acids,possible_not_candidate,other_junk,drop,0.112745,1,9,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...il is determined by its fatty acid composition, which differs from oil to oil. There are three types of fatty acids in any oil including saturated fatty acids (SFAs), mono-unsaturated fatty acids (MUFAs) and polyunsaturated f..."
pusa,possible_not_candidate,other_junk,drop,0.110911,1,8,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...AR IARI have also developed a number of low erucic acid varieties of raya namely RLC 1 and RLC 2 (by PAU) and Pusa Krishma, Pusa Mustard 21, Pusa Mustard 22, Pusa Mustard 24, Pusa Mustard 28, Pusa Mustard 29, Pusa Mustard 30..."
pau,possible_not_candidate,other_junk,drop,0.106889,1,6,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...st and in-charge, oilseeds section, department of plant breeding and genetics, Punjab Agriculture University (PAU), Ludhiana, speaks to The Indian Express on what makes canola rapeseed-mustard oil the healthiest oil for hum..."
palm seed,possible_not_candidate,other_junk,drop,0.102484,1,2,0,,Farmers Call For Ban On Palm Oil Imports In Letter To Pm Modi | Jaipur News - Times of India,...g farmers from getting even the minimum support price. TNN We also published the following articles recently Palm seed sowing initiated across Salem districtTamil Nadu ministers K N Nehru and V Meyyanathan have launched a palm s...
palm seed sowing,possible_not_candidate,other_junk,drop,0.102484,1,2,0,,Farmers Call For Ban On Palm Oil Imports In Letter To Pm Modi | Jaipur News - Times of India,...g farmers from getting even the minimum support price. TNN We also published the following articles recently Palm seed sowing initiated across Salem districtTamil Nadu ministers K N Nehru and V Meyyanathan have launched a palm seed sow...
seed sowing,possible_not_candidate,other_junk,drop,0.102484,1,2,0,,Farmers Call For Ban On Palm Oil Imports In Letter To Pm Modi | Jaipur News - Times of India,...mers from getting even the minimum support price. TNN We also published the following articles recently Palm seed sowing initiated across Salem districtTamil Nadu ministers K N Nehru and V Meyyanathan have launched a palm seed sow...
noida,possible_not_candidate,other_junk,manual_review,0.102267,1,3,0,,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",NOIDA: A Greater Noida resident claimed a block of paneer he bought from a local store was laced with vegetable oil...
risk heart disease,possible_not_candidate,other_junk,drop,0.101114,0,0,0,,,
cent erucic acid,possible_not_candidate,other_junk,drop,0.100639,1,2,0,,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...(monounsaturated fatty acids) and low proportion of omega 9. Regular consumption of oil with more than 20 per cent erucic acid in the diet can cause thickening of arteries, which may lead to diseases like myocardial fibrosis in adults a..."
