keep,article_id,title,url,source,domain,date,status,query_family,query_id,query_used,metadata_label,metadata_score,review_priority,rule_reason,ghee_hits,signal_hits,llm_queue
,1137,"KHANDWA: Over 1,300kg ingredients used in making spurious ghee seized, factory sealed in Chhirkhel village, 4 arrested",https://www.freepressjournal.in/indore/khandwa-over-1300-kg-ingredients-used-in-making-spurious-ghee-seized-factory-sealed-in-chhirkhel-village-4-arrested,freepressjournal.in,freepressjournal.in,2021-01-29,downloaded_ghee_fulltext,phrase,phrase_fake_ghee,"(""fake ghee"" AND language:en)",likely_relevant,100,high,ghee product term in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,ghee,seized,1
,1136,Another fake ghee and honey making unit busted in Cuttack,https://www.newindianexpress.com/states/odisha/2021/jan/31/another-fake-ghee-and-honey-making-unit-busted-in-cuttack-2257497.html,newindianexpress.com,newindianexpress.com,2021-01-31,downloaded_ghee_fulltext,phrase,phrase_fake_ghee,"(""fake ghee"" AND language:en)",likely_relevant,100,high,approved incident phrase in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,fake ghee; ghee,fake,1
,5904,"Meerut dairy’s ‘buy 1, get 1’ offer on ghee invites FSDA raid",https://timesofindia.indiatimes.com/city/meerut/meerut-dairys-buy-1-get-1-offer-on-ghee-invites-fsda-raid/articleshow/81601501.cms,indiatimes.com,timesofindia.indiatimes.com,2021-03-20,downloaded_ghee_fulltext,title_only,title_ghee_enforcement,"((article_title:ghee OR article_title:""cow ghee"" OR article_title:""desi ghee"" OR article_title:""pure ghee"" OR article_title:""loose ghee"") AND (article_title:fssai OR article_title:fda OR article_title:""food safety"" OR article_title:raid OR article_title:seized) AND language:en)",likely_relevant,100,high,ghee product term in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,ghee,raid,1
,5897,"Indore: Sub-standard ghee, tea leaves seized",https://www.freepressjournal.in/indore/indore-sub-standard-ghee-tea-leaves-seized,freepressjournal.in,freepressjournal.in,2021-09-22,downloaded_ghee_fulltext,title_only,title_ghee_enforcement,"((article_title:ghee OR article_title:""cow ghee"" OR article_title:""desi ghee"" OR article_title:""pure ghee"" OR article_title:""loose ghee"") AND (article_title:fssai OR article_title:fda OR article_title:""food safety"" OR article_title:raid OR article_title:seized) AND language:en)",likely_relevant,100,high,ghee product term in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,ghee,seized,1
,5898,Madhya Pradesh: Sub-standard ghee seized in Indore ahead of festive season,https://www.freepressjournal.in/indore/madhya-pradesh-sub-standard-ghee-seized-in-indore-ahead-of-festive-season,freepressjournal.in,freepressjournal.in,2021-09-22,downloaded_ghee_fulltext,title_only,title_ghee_enforcement,"((article_title:ghee OR article_title:""cow ghee"" OR article_title:""desi ghee"" OR article_title:""pure ghee"" OR article_title:""loose ghee"") AND (article_title:fssai OR article_title:fda OR article_title:""food safety"" OR article_title:raid OR article_title:seized) AND language:en)",likely_relevant,100,high,ghee product term in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,ghee,seized,1
,5899,Indore action against spurious edibles: Expired ghee and tea leaves worth over Rs 8 lakh seized; manager and owner booked,https://www.freepressjournal.in/indore/indore-action-against-spurious-ediblesexpired-ghee-and-tea-leaves-worth-overrs-8-lakh-seized-manager-and-owner-booked,freepressjournal.in,freepressjournal.in,2021-09-23,downloaded_ghee_fulltext,title_only,title_ghee_enforcement,"((article_title:ghee OR article_title:""cow ghee"" OR article_title:""desi ghee"" OR article_title:""pure ghee"" OR article_title:""loose ghee"") AND (article_title:fssai OR article_title:fda OR article_title:""food safety"" OR article_title:raid OR article_title:seized) AND language:en)",likely_relevant,100,high,ghee product term in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,ghee,seized,1
,5900,"Madhya Pradesh: Expired ghee, tea leafs worth over Rs 8 lakh seized, manager and owner booked",https://www.freepressjournal.in/indore/madhya-pradesh-expired-ghee-tea-leafs-worth-over-rs-8-lakh-seized-manager-and-owner-booked,freepressjournal.in,freepressjournal.in,2021-09-23,downloaded_ghee_fulltext,title_only,title_ghee_enforcement,"((article_title:ghee OR article_title:""cow ghee"" OR article_title:""desi ghee"" OR article_title:""pure ghee"" OR article_title:""loose ghee"") AND (article_title:fssai OR article_title:fda OR article_title:""food safety"" OR article_title:raid OR article_title:seized) AND language:en)",likely_relevant,100,high,ghee product term in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,ghee,seized,1
,740,Racket selling adulterated Nandini ghee busted,https://starofmysore.com/racket-selling-adulterated-nandini-ghee-busted/,starofmysore.com,starofmysore.com,2021-12-16,downloaded_ghee_fulltext,phrase,phrase_adulterated_ghee,"(""adulterated ghee"" AND language:en)",likely_relevant,100,high,ghee product term in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,ghee,adulterated,1
,744,Adulterated Nandini ghee racket case: Adulterated ghee has inter-State ramifications,https://starofmysore.com/adulterated-nandini-ghee-racket-case-adulterated-ghee-has-inter-state-ramifications/,starofmysore.com,starofmysore.com,2021-12-17,downloaded_ghee_fulltext,phrase,phrase_adulterated_ghee,"(""adulterated ghee"" AND language:en)",likely_relevant,100,high,approved incident phrase in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,adulterated ghee; ghee racket; ghee,adulterated,1
,751,"Adulterated Nandini ghee unit at Hosahundi: Racketeers had blessings of MyMUL staff, officers",https://starofmysore.com/adulterated-nandini-ghee-unit-at-hosahundi-racketeers-had-blessings-of-mymul-staff-officers/,starofmysore.com,starofmysore.com,2021-12-22,downloaded_ghee_fulltext,phrase,phrase_adulterated_ghee,"(""adulterated ghee"" AND language:en)",likely_relevant,100,high,ghee product term in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,ghee,adulterated,1
,1213,Minister warns of attachment of properties of those involved in fake Nandini ghee racket,https://starofmysore.com/minister-warns-of-attachment-of-properties-of-those-involved-in-fake-nandini-ghee-racket/,starofmysore.com,starofmysore.com,2021-12-22,downloaded_ghee_fulltext,phrase,phrase_ghee_racket,"(""ghee racket"" AND language:en)",likely_relevant,100,high,approved incident phrase in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,ghee racket; ghee,fake,1
,1139,cbi: Handover Fake Ghee Case To Cbi: Forum,https://timesofindia.indiatimes.com/city/mysuru/handover-fake-ghee-case-to-cbi-forum/articleshow/88577485.cms,indiatimes.com,timesofindia.indiatimes.com,2021-12-30,downloaded_ghee_fulltext,phrase,phrase_fake_ghee,"(""fake ghee"" AND language:en)",likely_relevant,100,high,approved incident phrase in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,fake ghee; ghee,fake,1
,4979,kmf: ‘help Kmf Identify Fake Ghee Products’,https://timesofindia.indiatimes.com/city/mysuru/help-kmf-identify-fake-ghee-products/articleshow/88676406.cms,indiatimes.com,timesofindia.indiatimes.com,2022-01-04,downloaded_ghee_fulltext,boolean,boolean_ghee_products_adulterated_fake_enforcement,"((ghee OR ""cow ghee"" OR ""desi ghee"" OR ""pure ghee"" OR ""loose ghee"") AND (adulterated OR fake) AND ((fssai OR fda OR ""food safety"") OR (raid OR seized)) AND language:en)",likely_relevant,100,high,approved incident phrase in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,fake ghee; ghee,fake,1
,4980,Adulterated ghee packs recovered,https://www.thehindu.com/news/cities/Hyderabad/adulterated-ghee-packs-recovered/article38140514.ece,thehindu.com,thehindu.com,2022-01-06,downloaded_ghee_fulltext,boolean,boolean_ghee_products_adulterated_fake_enforcement,"((ghee OR ""cow ghee"" OR ""desi ghee"" OR ""pure ghee"" OR ""loose ghee"") AND (adulterated OR fake) AND ((fssai OR fda OR ""food safety"") OR (raid OR seized)) AND language:en)",likely_relevant,100,high,approved incident phrase in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,adulterated ghee; ghee,adulterated,1
,4981,"Adulterated ghee racket busted in Hyderabad, 2 held",https://www.newindianexpress.com/cities/hyderabad/2022/jan/06/adulterated-ghee-racket-busted-2-held-2403554.html,newindianexpress.com,newindianexpress.com,2022-01-06,downloaded_ghee_fulltext,boolean,boolean_ghee_products_adulterated_fake_enforcement,"((ghee OR ""cow ghee"" OR ""desi ghee"" OR ""pure ghee"" OR ""loose ghee"") AND (adulterated OR fake) AND ((fssai OR fda OR ""food safety"") OR (raid OR seized)) AND language:en)",likely_relevant,100,high,approved incident phrase in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,adulterated ghee; ghee racket busted; ghee racket; ghee,adulterated,1
,4984,Indore: Adulterated ghee worth lakhs seized from factory,https://www.freepressjournal.in/indore/indore-adulterated-ghee-worth-lakhs-seized-from-factory,freepressjournal.in,freepressjournal.in,2022-01-15,downloaded_ghee_fulltext,boolean,boolean_ghee_products_adulterated_fake_enforcement,"((ghee OR ""cow ghee"" OR ""desi ghee"" OR ""pure ghee"" OR ""loose ghee"") AND (adulterated OR fake) AND ((fssai OR fda OR ""food safety"") OR (raid OR seized)) AND language:en)",likely_relevant,100,high,approved incident phrase in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,adulterated ghee; ghee,adulterated; seized,1
,517,Delhi: Two arrested for selling adulterated ghee,https://www.newdelhinews.net/news/272468805/delhi-two-arrested-for-selling-adulterated-ghee,newdelhinews.net,newdelhinews.net,2022-04-11,downloaded_ghee_fulltext,phrase,phrase_adulterated_ghee,"(""adulterated ghee"" AND language:en)",likely_relevant,100,high,approved incident phrase in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,adulterated ghee; ghee,adulterated,1
,518,Delhi: Two arrested for selling adulterated ghee,https://www.indiasnews.net/news/272468805/delhi-two-arrested-for-selling-adulterated-ghee,indiasnews.net,indiasnews.net,2022-04-11,downloaded_ghee_fulltext,phrase,phrase_adulterated_ghee,"(""adulterated ghee"" AND language:en)",likely_relevant,100,high,approved incident phrase in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,adulterated ghee; ghee,adulterated,1
,519,Delhi police arrests two accused for selling adulterated ghee,https://www.en.etemaaddaily.com/crime/delhi-police-arrests-two-accused-for-selling-adulterated-ghee:111286,etemaaddaily.com,en.etemaaddaily.com,2022-04-11,downloaded_ghee_fulltext,phrase,phrase_adulterated_ghee,"(""adulterated ghee"" AND language:en)",likely_relevant,100,high,approved incident phrase in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,adulterated ghee; ghee,adulterated,1
,1118,Delhi Police arrests two for selling adulterated desi ghee,https://www.indiatoday.in/crime/story/delhi-police-arrests-two-for-selling-adulterated-desi-ghee-1935940-2022-04-11,indiatoday.in,indiatoday.in,2022-04-11,downloaded_ghee_fulltext,phrase,phrase_fake_ghee,"(""fake ghee"" AND language:en)",likely_relevant,100,high,ghee product term in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,desi ghee; ghee,adulterated,1
,1119,"Fake ghee factory exposed, 2 held with 1,259 litres of adulterated desi ghee",https://zeenews.india.com/india/fake-ghee-factory-exposed-in-delhi-2-held-with-1259-litres-of-adulterated-desi-ghee-of-different-brands-2452707.html,india.com,zeenews.india.com,2022-04-11,downloaded_ghee_fulltext,phrase,phrase_fake_ghee,"(""fake ghee"" AND language:en)",likely_relevant,100,high,approved incident phrase in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,fake ghee; desi ghee; ghee,adulterated; fake,1
,5517,Two Arrested In Outer Delhi For Selling Adulterated Ghee,https://www.businessworld.in/article/Two-Arrested-In-Outer-Delhi-For-Selling-Adulterated-Ghee/11-04-2022-425169,businessworld.in,businessworld.in,2022-04-11,downloaded_ghee_fulltext,title_only,title_ghee_products_adulterated_fake,"((article_title:ghee OR article_title:""cow ghee"" OR article_title:""desi ghee"" OR article_title:""pure ghee"" OR article_title:""loose ghee"") AND (article_title:adulterated OR article_title:fake) AND language:en)",likely_relevant,100,high,approved incident phrase in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,adulterated ghee; ghee,adulterated,1
