food,adulterant_or_substitute,news_triplet_rows,news_distinct_articles,mean_model_confidence,confidence_weighted_article_support,fssai_baseline_direct_pair_rows,fssai_baseline_candidate_mentions,fssai_baseline_candidate_method_rows,news_candidate_method_rows,fssai_baseline_method_examples,news_method_examples,news_health_relation_articles,locally_linked_effects,baseline_gap_class,test_coverage_class,priority_score_0_100,priority_interpretation,example_url,example_evidence,label
Milk,palm oil family,16,12,0.8812,10.7,0,21,0,22,,ghee adulteration finding --identifies--> palm oil; palm oil --detectedby--> Raman spectroscopy; palm oil --detectedby--> chromatography; Ghee Adulteration Finding --identifies--> palm oil; finding of palm oil in ghee --identifies--> palm oil,4,harmful for health (1); cardiovascular disease (1); cancer/carcinogenicity (1); health harm (1); increased cholesterol level (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,80.68,heuristic discovery rank; not a prevalence or risk estimate,https://www.livemint.com/economy/the-evolution-of-india-s-fake-milk-industry-11782121657013.html,Refined palm oil and soybean oil were used as cheaper substitutes for milk fat,Milk -> palm oil family
everest fish curry masala,ethylene oxide,4,3,0.95,2.85,0,0,0,1,,Hong Kong food regulator ban --identifies--> Ethylene Oxide,7,cancer/carcinogenicity (13); toxicity (2); lymphoma (1),candidate not represented in FSSAI baseline,method signal occurs in news only,80.73,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/india/indian-spices-not-banned-in-singapore-and-hong-kong-govt/articleshow/112334804.cms,recalled 'Everest' fish curry masala due to the presence of ethylene oxide,everest fish curry masala -> ethylene oxide
ice cream,detergent,5,4,0.95,3.8,0,0,0,18,,detergent --detectedby--> arhar dal test; detergent --detectedby--> soybean powder test; detergent --detectedby--> froth test; detergent --detectedby--> water froth test; detergent --detectedby--> shaking test,8,organ damage (3); gastrointestinal illness (1); stomach irritation (1); vomiting (1); diarrhoea (1); serious health risks (1); gastrointestinal discomfort (1); irritate the digestive tract (1),candidate not represented in FSSAI baseline,method signal occurs in news only,81.93,heuristic discovery rank; not a prevalence or risk estimate,https://theshillongtimes.com/2026/02/04/raging-health-crisis-aap-mp-raises-alarm-in-rs-over-widespread-food-adulteration/,ice cream has detergent powder,ice cream -> detergent
fruits,pesticide residue,6,6,0.9,5.4,0,5,0,5,,pesticides --detectedby--> LC-MS; pesticides --detectedby--> ICP-MS; pesticide residue --detectedby--> laboratory test; pesticide traces --detectedby--> mobile laboratories; unsafe vegetable samples --identifies--> pesticide residues,11,cancer/carcinogenicity (8); food poisoning (3); health harms (2); hepatitis (2); cell damage (1); disorders in the biological regulatory systems (1); toxic exposure (1); birth defects (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,82.0,heuristic discovery rank; not a prevalence or risk estimate,https://zeenews.india.com/india/zara-sochiye-national-alert-food-adulteration-biological-collapse-nutrition-india-3016023.html,High pesticide residues in vegetables and fruits,fruits -> pesticide residue
Paneer,palm oil family,15,14,0.9,12.55,0,21,0,22,,ghee adulteration finding --identifies--> palm oil; palm oil --detectedby--> Raman spectroscopy; palm oil --detectedby--> chromatography; Ghee Adulteration Finding --identifies--> palm oil; finding of palm oil in ghee --identifies--> palm oil,4,harmful for health (1); cardiovascular disease (1); cancer/carcinogenicity (1); health harm (1); increased cholesterol level (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,82.11,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/city/raipur/officials-seize-over-14-l-worth-of-adulterated-paneer-in-crackdown/articleshow/126125110.cms,manufactured using skimmed milk powder and palm oil,Paneer -> palm oil family
fish,formalin/formaldehyde,5,5,0.93,4.65,0,4,0,2,,formaldehyde --detectedby--> testing kits and laboratories; sulphuric acid test for formalin --producesindicator--> violet or blue rings,7,cancer/carcinogenicity (4); gastrointestinal toxicity (1); allergic reaction (1); respiratory problems (1); metabolic disturbances (1); multi-organ failure (1); neurological damage (1); food poisoning (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,82.21,heuristic discovery rank; not a prevalence or risk estimate,https://www.sentinelassam.com/topheadlines/assam-sample-testing-detects-aggravated-food-adulteration,use of formalin in fish,fish -> formalin/formaldehyde
vegetables,pesticide residue,9,6,0.9111,5.55,0,5,0,5,,pesticides --detectedby--> LC-MS; pesticides --detectedby--> ICP-MS; pesticide residue --detectedby--> laboratory test; pesticide traces --detectedby--> mobile laboratories; unsafe vegetable samples --identifies--> pesticide residues,11,cancer/carcinogenicity (8); food poisoning (3); health harms (2); hepatitis (2); cell damage (1); disorders in the biological regulatory systems (1); toxic exposure (1); birth defects (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,82.38,heuristic discovery rank; not a prevalence or risk estimate,https://economictimes.indiatimes.com/news/videos/milk-ghee-veggies-masala-tainted-raghav-chadha-flags-food-adulteration-in-rs/videoshow/127905488.cms,"vegetables, and garam masala are tainted with urea, synthetic colors, vegetable oil, oxytocin, and banned pesticides",vegetables -> pesticide residue
Paneer,urea,7,6,0.9143,5.45,0,3,0,12,,urea --detectedby--> bromothymol blue test; urea --detectedby--> water froth test; urea --detectedby--> magic kits; urea --detectedby--> water test for urea/detergent; urea --detectedby--> colorimetric detection,11,kidney damage (2); organ damage (2); liver damage (2); renal failure (2); stomach irritation (1); multi-organ failure (1); digestive system damage (1); cancer/carcinogenicity (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,82.5,heuristic discovery rank; not a prevalence or risk estimate,https://www.freepressjournal.in/india/fake-paneer-racket-busted-toxic-chemicals-like-urea-detergent-used-in-up,fake paneer being produced using harmful chemicals such as urea,Paneer -> urea
Milk,formalin/formaldehyde,6,6,0.9417,5.65,0,4,0,2,,formaldehyde --detectedby--> testing kits and laboratories; sulphuric acid test for formalin --producesindicator--> violet or blue rings,7,cancer/carcinogenicity (4); gastrointestinal toxicity (1); allergic reaction (1); respiratory problems (1); metabolic disturbances (1); multi-organ failure (1); neurological damage (1); food poisoning (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,83.46,heuristic discovery rank; not a prevalence or risk estimate,https://www.livemint.com/economy/the-evolution-of-india-s-fake-milk-industry-11782121657013.html,"adulterators frequently mixed in substances such as urea, detergent, starch, formalin",Milk -> formalin/formaldehyde
Ghee,starch,12,11,0.8708,9.65,0,183,0,48,,starch --detectedby--> iodine test; starch --detectedby--> Iodine test; iodine test --producesindicator--> presence of starch; iodine test --producesindicator--> starch detection; starch --detectedby--> iodine solution test,5,allergic reaction (2); gastrointestinal illness (1); digestive system disturbance (1); stomach pain and loose motions (1); nausea (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,83.88,heuristic discovery rank; not a prevalence or risk estimate,https://indianexpress.com/article/lifestyle/health/adulterated-ghee-ginger-garlic-paste-hyderabad-consume-10107480/,"ghee, she noted it is frequently adulterated with vanaspati, animal fat, starch",Ghee -> starch
