safety_flag,review_reason,audit_decision,audit_label,audit_confidence,title,source,url,audit_reason,audit_evidence,oil_role,original_reason,word_count
manual_review_before_reject,title has oil + adulteration/enforcement signal,confirm_reject,irrelevant,1.0,"Kerala seizes 17,000 litres of fake coconut oil, raids intensified ahead of Onam",uniindia.com,http://www.uniindia.com/kerala-seizes-17-000-litres-of-fake-coconut-oil-raids-intensified-ahead-of-onam/south/news/3550881.html,no mention of edible oil adulteration in article,,adulterated_product,LLM reading: no mention of edible oil adulteration in article,287
manual_review_before_reject,full-text audit flagged rescue_review,rescue_review,irrelevant,0.8,"Kanpur: Family Tragedy, Adulterated Oil Seized, Policy Announcements &More",indiatimes.com,https://timesofindia.indiatimes.com/videos/ai-top-news/kanpur-family-tragedy-adulterated-oil-seized-policy-announcements-more/videoshow/128817874.cms,no mention of adulterated edible oil in article text,"civic updates, traffic and metro alerts, weather conditions, and key political and administrative developments",adulterated_product,LLM reading: no mention of adulterated edible oil in article text,50
manual_review_before_reject,full-text audit flagged rescue_review,rescue_review,relevant,1.0,Edible oil worth over Rs 8 lakh looted from Purnia godown | Patna News - Times of India,indiatimes.com,https://timesofindia.indiatimes.com/city/patna/edible-oil-worth-over-rs-8l-looted-from-purnia-godown/articleshow/87855625.cms,edible oil is itself the target of theft,The criminals entered the godown and looted edible oil worth over Rs 8.16 lakh,adjacent_or_unclear,Business/price/import context with no adulteration or enforcement signal.,289
manual_review_before_reject,full-text audit flagged rescue_review,rescue_review,relevant,1.0,Palm oil ban: Edible oil industry asks govt to initiate dialogue with Indonesia - BusinessToday,businesstoday.in,https://www.businesstoday.in/industry/story/palm-oil-ban-edible-oil-industry-asks-govt-to-initiate-dialogue-with-indonesia-331104-2022-04-25,Palm oil is mentioned as the adulterated/fake/spurious/unsafe/misbranded product due to export ban.,"Indonesia, which is the world's largest producer of palm oil and meets nearly 50 per cent of the total palm oil requirement in India annually,",adjacent_or_unclear,Business/price/import context with no adulteration or enforcement signal.,482
manual_review_before_reject,full-text audit flagged rescue_review,rescue_review,relevant,1.0,"Centre imposes strict stock limit on edible oil, oilseeds to arrest price rise",indianexpress.com,https://indianexpress.com/article/cities/pune/centre-imposes-strict-stock-limit-on-edible-oil-oilseeds-to-arrest-price-rise-7845831/,edible oil is itself the subject of stock limits and price discussion,"Centre imposes strict stock limit on edible oil, oilseeds to arrest price rise",adjacent_or_unclear,Business/price/import context with no adulteration or enforcement signal.,396
manual_review_before_reject,full-text audit flagged rescue_review,rescue_review,relevant,1.0,Cooking Oil Prices May Increase In India Amid Indonesia's Palm Oil Export Ban,india.com,https://www.india.com/business/cooking-oil-prices-india-may-increase-indonesia-palm-oil-export-ban-5354193/,Cooking oil is itself the adulterated/fake/spurious/unsafe/misbranded food product due to export ban.,may increase further in India with Indonesia banning exports of edible oil,adjacent_or_unclear,Business/price/import context with no adulteration or enforcement signal.,257
manual_review_before_reject,full-text audit flagged rescue_review,rescue_review,relevant,1.0,Palm oil ban: Govt urged to start talks with Indonesia,rediff.com,https://www.rediff.com/business/report/palm-oil-ban-govt-urged-to-start-talks-with-indonesia/20220425.htm,Palm oil is mentioned as the adulterated/fake/spurious/unsafe/misbranded product due to export ban and price hike concerns.,"Indonesia, which is the world's largest producer of palm oil and meets nearly 50 per cent of the total palm oil requirement in India annually...",adjacent_or_unclear,Business/price/import context with no adulteration or enforcement signal.,480
manual_review_before_reject,full-text audit flagged rescue_review,rescue_review,relevant,1.0,Palm oil ban: Indonesia prepares to widen palm oil export ban,indiatoday.in,https://www.indiatoday.in/business/story/palm-oil-ban-indonesia-prepares-to-widen-palm-oil-export-ban-1942053-2022-04-26,"palm oil is itself the adulterated, fake, spurious, unsafe, misbranded, seized, or failed-sample food product.","The authorities will strictly monitor domestic supply of refined palm oil and crude palm oil, which are used as raw materials to make RBD olein,",adjacent_or_unclear,Business/price/import context with no adulteration or enforcement signal.,503
manual_review_before_reject,full-text audit flagged rescue_review,rescue_review,relevant,1.0,Indonesia to reimpose local palm oil sales rule as it ends export ban - BusinessToday,businesstoday.in,https://www.businesstoday.in/latest/policy/story/indonesia-to-reimpose-local-palm-oil-sales-rule-as-it-ends-export-ban-334387-2022-05-20?utm_source=rssfeed,palm oil is itself the adulterated/fake/spurious/unsafe/misbranded/seized or failed-sample food product,"The late-April export ban, an attempt to control high domestic cooking oil prices, shocking global edible oil markets and angered farmers as their product prices fell.",adjacent_or_unclear,Business/price/import context with no adulteration or enforcement signal.,557
manual_review_before_reject,full-text audit flagged rescue_review,rescue_review,relevant,1.0,One arrested over theft of cooking oil - Deshdoot,deshdoot.com,https://www.deshdoot.com/deshdoot-times/one-arrested-over-theft-of-cooking-oil,cooking oil is itself the adulterated product,stolen cooking oil cans worth lakhs of rupees,adjacent_or_unclear,Business/price/import context with no adulteration or enforcement signal.,165
manual_review_before_reject,full-text audit flagged rescue_review,rescue_review,relevant,1.0,Bihar: Massive fire breaks out at Refined Oil Warehouse in Patna,indiatimes.com,https://timesofindia.indiatimes.com/videos/news/bihar-massive-fire-breaks-out-at-refined-oil-warehouse-in-patna/videoshow/99585193.cms,refined oil mentioned in context of warehouse fire,Refined Oil Warehouse,adjacent_or_unclear,Edible-oil term appears without an adulteration/enforcement signal.,58
manual_review_before_reject,full-text audit flagged rescue_review,rescue_review,relevant,1.0,Fire Breaks Out At Edible Oil Godown | Coimbatore News - Times of India,indiatimes.com,https://timesofindia.indiatimes.com/city/coimbatore/fire-breaks-out-at-edible-oil-godown/articleshow/103744778.cms,edible oil godown fire,a few cans of edible oil stored in the godown,adjacent_or_unclear,Edible-oil term appears without an adulteration/enforcement signal.,407
manual_review_before_reject,full-text audit flagged rescue_review,rescue_review,relevant,1.0,Hold surprise raids on edible oil traders: Karumuri Venkata Nageswara Rao,newindianexpress.com,https://www.newindianexpress.com/states/andhra-pradesh/2022/apr/27/hold-surprise-raids-on-edible-oil-traders-karumuri-venkata-nageswara-rao-2447010.html,edible oil is mentioned as being adulterated or affected by price rise,arrest the price rise of edible oil,adjacent_or_unclear,Business/price/import context with no adulteration or enforcement signal.,305
manual_review_before_reject,title has oil + adulteration/enforcement signal,confirm_reject,irrelevant,1.0,Food Safety dept. initiative to check reuse of cooking oil in hotels ,thehindu.com,https://www.thehindu.com/news/cities/Kochi/food-safety-dept-initiative-to-check-reuse-of-cooking-oil-in-hotels/article65644073.ece,"oil is not itself adulterated or unsafe, but rather reused and potentially causing health problems",The authorities are hopeful that the project would help in checking the reuse of oil for cooking in hotels as it would cause health problems.,adulterated_product,"LLM reading: oil is not itself adulterated or unsafe, but rather reused and potentially causing health problems",105
manual_review_before_reject,title has oil + adulteration/enforcement signal,confirm_reject,irrelevant,1.0,AGMARK certification not required for imported blended edible oil: FSSAI ,thehindubusinessline.com,https://www.thehindubusinessline.com/economy/agmark-certification-not-required-for-imported-blended-edible-oil-fssai/article65783272.ece,"article discusses edible oil import regulations and certifications, but does not mention adulteration or safety issues with the oil itself",requirement of AGMARK certification for imported food consignment in abeyance till further orders,adulterated_product,"LLM reading: article discusses edible oil import regulations and certifications, but does not mention adulteration or safety issues with the oil itself",323
manual_review_before_reject,title has oil + adulteration/enforcement signal,confirm_reject,irrelevant,1.0,FDA Cracks Down On Loose Sale Of Edible Oil,businessworld.in,https://www.businessworld.in/article/FDA-Cracks-Down-On-Loose-Sale-Of-Edible-Oil-/04-10-2022-449313,"The article does not mention edible oil adulteration, but rather discusses unrelated topics such as securities fraud and the semiconductor industry.",India's big securities fraud charge was built by comparing a gold refinery's gross sales turnover to its processing margin alone,adulterated_product,"LLM reading: The article does not mention edible oil adulteration, but rather discusses unrelated topics such as securities fraud and the semiconductor industry.",682
manual_review_before_reject,title has oil + adulteration/enforcement signal,confirm_reject,irrelevant,1.0,FSSAI directs officers to not delay clearance of imported pulses and edible oil consignments  ,thehindubusinessline.com,https://www.thehindubusinessline.com/economy/fssai-directs-officers-to-not-delay-clearance-of-imported-pulses-and-edible-oil-consignments/article66600123.ece,"edible oil is mentioned as an imported consignment, but there's no mention of adulteration or safety issues",clearance of imported consignments of pulses and edible oils in a timely manner,adulterated_product,"LLM reading: edible oil is mentioned as an imported consignment, but there's no mention of adulteration or safety issues",300
manual_review_before_reject,title has oil + adulteration/enforcement signal,confirm_reject,irrelevant,0.8,"FSSAI seizes 1,780 litres of reheated cooking oil, 306 kg of sweets for excessive use of colourants in Coimbatore",thehindu.com,https://www.thehindu.com/news/cities/Coimbatore/fssai-seizes-1780-litres-of-reheated-cooking-oil-306-kg-of-sweets-for-excessive-use-of-colourants-in-coimbatore/article68810578.ece,"oil is an adulterant in sweets, not the main product being adulterated","1,780 litres of cooking oil... was used multiple times for the making of sweets and savouries",adulterant,Oil appears to be the adulterant used in another food product.,254
manual_review_before_reject,title has oil + adulteration/enforcement signal,confirm_reject,irrelevant,1.0,FSSAI’s drive to convert used cooking oil as biofuel gets good response in several districts in T.N.  ,thehindu.com,https://www.thehindu.com/news/national/tamil-nadu/fssais-drive-to-convert-used-cooking-oil-as-biofuel-gets-good-response-in-several-districts-in-tn/article70152299.ece,"article is about converting used cooking oil into biofuel, not adulteration of edible oil",The Repurpose Used Cooking Oil (RUCO) initiative launched by the Food Safety and Standards Authority of India (FSSAI) to collect used oil from food manufacturers and convert it into biofuel,adulterated_product,"LLM reading: article is about converting used cooking oil into biofuel, not adulteration of edible oil",413
manual_review_before_reject,full-text audit flagged rescue_review,rescue_review,relevant,1.0,Assam: Amid Rising Cooking Oil Price Thief Arrested in Hojai for Stealing Mustard Oil,sentinelassam.com,https://www.sentinelassam.com/north-east-india-news/assam-news/assam-amid-rising-cooking-oil-price-thief-arrested-in-hojai-for-stealing-mustard-oil-561391,Mustard oil is the adulterated product,The police recovered 16-liter Engine brand mustard oil from him.,adjacent_or_unclear,Business/price/import context with no adulteration or enforcement signal.,236
manual_review_before_reject,full-text audit flagged rescue_review,rescue_review,relevant,1.0,Cooking oil prices may go up by Rs 3-5 per kg as Indonesia bans palm oil exports,newindianexpress.com,https://www.newindianexpress.com/business/2022/apr/23/cooking-oil-prices-may-go-up-by-rs-3-5-per-kg-as-indonesia-bans-palm-oil-exports-2445679.html,"palm oil is itself the adulterated, fake, spurious, unsafe, misbranded, seized, or failed-sample food product due to export ban and price increase",The edible oil prices may go up by Rs 3-5 a kg in India immediately after the Indonesian government announced a ban on exports of palm oil,adjacent_or_unclear,Business/price/import context with no adulteration or enforcement signal.,268
