article_id,title,source,date,url,file_path,query_family,query_id,rule_candidate,oil_role,final_label,confidence,reason,evidence_phrase,edible_oil_terms,adulteration_action_terms,negative_terms,llm_label,llm_confidence,llm_reason,llm_model,query_used,crawl_priority
957,Lengthy but strategic,arunachaltimes.in,2026-06-22,https://arunachaltimes.in/index.php/2026/06/22/lengthy-but-strategic/,,boolean,boolean_named_oils_fraud,False,adjacent_or_unclear,irrelevant,0.8,No edible-oil adulteration signal found.,,,,,,,,,"((""mustard oil"" OR ""palm oil"" OR ""soybean oil"" OR ""sunflower oil"" OR ""groundnut oil"" OR ""coconut oil"" OR ""rice bran oil"" OR ""cottonseed oil"" OR ""sesame oil"" OR ""olive oil"" OR ""rapeseed-mustard oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
3778,Cops seize 37 boats in crackdown on thefts at ONGC offshore oil rigs,hindustantimes.com,2026-06-22,https://www.hindustantimes.com/cities/mumbai-news/cops-seize-37-boats-in-crackdown-on-thefts-at-ongc-offshore-oil-rigs-101782065626822.html,,proximity,proximity_oil_seized,False,non_food_oil,irrelevant,0.95,Non-food oil context dominates and no edible-oil product term is present.,Cops seize 37 boats in crackdown on thefts at ONGC offshore oil rigs https://www.hindustantimes.com/cities/mumbai-news/cops-seize-37-boats-in-crackdown-on-thefts-at-ongc-offshore-oil-rigs-101782065626822.html,,crackdown,oil rigs; offshore oil; ONGC,,,,,"(""oil seized""~8 AND language:en) AND NOT (ghee OR vanaspati)",drop
1,"Food Authority Issues Notices To Food Brands Over No 'Added Sugar', 'Natural' And Health Claims",ndtv.com,2026-06-21,https://food.ndtv.com/news/food-authority-issues-notices-to-food-brands-over-no-added-sugar-natural-and-health-claims-11666852#publisher=newsstand,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.8,No edible-oil adulteration signal found.,,,,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
3,"FSSAI turns lens on 'natural', 'healthy' labels",indiatimes.com,2026-06-21,https://timesofindia.indiatimes.com/india/fssai-turns-lens-on-natural-healthy-labels/articleshow/131882992.cms,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,"FSSAI turns lens on 'natural', 'healthy' labels https://timesofindia.indiatimes.com/india/fssai-turns-lens-on-natural-healthy-labels/articleshow/",,FSSAI,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
4,The price we pay: How India can reduce its huge dependence on imports,businesstoday.in,2026-06-20,https://www.businesstoday.in/magazine/cover-story/story/the-price-we-pay-how-india-can-reduce-its-huge-dependence-on-imports-538235-2026-06-20,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.8,No edible-oil adulteration signal found.,,,,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
5,Charminar fast-food centre under scanner for safety violations,thehansindia.com,2026-06-20,https://www.thehansindia.com/news/cities/hyderabad/charminar-fast-food-centre-under-scanner-for-safety-violations-1088209,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.8,No edible-oil adulteration signal found.,,,,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
6,"FSSAI issues notices to Marico, Ferrero, Bikanervala among 14 entities over misleading claims",ibtimes.co.in,2026-06-20,https://www.ibtimes.co.in/fssai-issues-notices-marico-ferrero-bikanervala-among-14-entities-over-misleading-claims-903117,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,"FSSAI issues notices to Marico, Ferrero, Bikanervala among 14 entities over misleading claims https://www.ibtimes.co.in/fssai-issues-notices-mari",,FSSAI,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
7,"FSSAI cracks down on food brands over claims, labels and hygiene",indiantelevision.com,2026-06-20,https://indiantelevision.com/mam/fssai-cracks-down-on-food-brands-over-claims-labels-and-hygiene/,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.7,Adulteration/enforcement signal appears without an edible-oil product term.,"FSSAI cracks down on food brands over claims, labels and hygiene https://indiantelevision.com/mam/fssai-cracks-down-on-food-brands-over-claims-la",,FSSAI,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
8,Beyond Crops: A New Economic Freedom for Farmers,morungexpress.com,2026-06-20,https://morungexpress.com/beyond-crops-a-new-economic-freedom-for-farmers,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.8,No edible-oil adulteration signal found.,,,,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
9,"Al Akbar at Charminar is illegal, unclean: Food cops",newindianexpress.com,2026-06-20,https://www.newindianexpress.com/cities/hyderabad/2026/Jun/20/al-akbar-at-charminar-is-illegal-unclean-food-cops,,boolean,boolean_core_oils_fraud,False,adjacent_or_unclear,irrelevant,0.8,No edible-oil adulteration signal found.,,,,,,,,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)",drop
