snippet_id,source_id,source_file,source_type,chunk_index,subject,subject_type,subject_id,predicate,object,object_type,object_id,confidence,evidence_span
src_pdf_001_chunk_0008,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,8,salt substitute,fkg:Food,,fkg:hasIngredient,potassium salt,fkg:ChemicalIngredient,,0.95,"salt substitute, composed entirely or partially of a potassium salt"
src_pdf_001_chunk_0008,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,8,food,fkg:Food,,fflo:hasObligation,DeclarePotassium,fflo:ObligationType,,0.95,total amount of potassium... shall be declared
src_pdf_001_chunk_0008,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,8,food,fkg:Food,,fflo:hasObligation,DeclareSaltEquivalent,fflo:ObligationType,,0.95,salt equivalent in terms of sodium chloride (NaCl) content should also be declared
src_pdf_001_chunk_0008,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,8,food,fkg:Food,,fflo:hasObligation,DeclareStorageConditions,fflo:ObligationType,,0.95,any special conditions for the storage of the food
src_pdf_002_chunk_0001,src_pdf_002,markdown/1_chapter_1_general.md,pdf,1,"Food Safety and Standards (Food Products Standards and Food Additives) Regulations, 2011",fflo:RegulatoryDocument,,fflo:hasDefinition,"These regulations may be called the Food Safety and Standards (Food Products Standards and Food Additives) Regulations, 2011",xsd:string,,0.95,"These regulations may be called the Food Safety and Standards (Food Products Standards and Food Additives) Regulations, 2011"
src_pdf_002_chunk_0001,src_pdf_002,markdown/1_chapter_1_general.md,pdf,1,"Food Safety and Standards (Food Products Standards and Food Additives) Regulations, 2011",fflo:RegulatoryDocument,,fflo:hasDefinition,De-oiled meal means the residual material left over when oil is extracted,fkg:Food,,0.95,De-oiled meal means the residual material left over when oil is extracted
src_pdf_002_chunk_0001,src_pdf_002,markdown/1_chapter_1_general.md,pdf,1,Food Business Operator,fflo:FoodBusinessOperator,,fflo:hasObligation,ComplianceWithStandards,fflo:ObligationType,,0.95,Food Business Operator shall comply with the provisions of these regulations
src_pdf_002_chunk_0001,src_pdf_002,markdown/1_chapter_1_general.md,pdf,1,ComplianceWithStandards,fflo:FoodBusinessOperator,,fflo:hasObligation,caramel and glazing agents,fflo:ObligationType,,0.95,towards the standards relating to caramel and glazing agents
src_pdf_001_chunk_0007,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,7,special dietary Food with low sodium content,fkg:Food,,fflo:hasObligation,LabelDescriptionRequirement,fflo:ObligationType,,0.95,"label shall bear the description ""low sodium"" or ""very low sodium"""
src_pdf_001_chunk_0007,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,7,special dietary Food with low sodium content,fkg:Food,,fflo:hasObligation,SodiumContentDeclaration,fflo:ObligationType,,0.95,sodium content shall be declared on the label to the nearest multiple of 5 mg per 100 g
src_pdf_001_chunk_0007,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,7,special dietary Food with low sodium content,fkg:Food,,fflo:hasObligation,NutrientDeclaration,fflo:ObligationType,,0.95,"average carbohydrate, protein and fat content ... and the kilocalorie (or kilojoule) value shall be declared"
src_pdf_001_chunk_0007,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,7,special dietary Food with low sodium content,fkg:Food,,fflo:hasObligation,SaltSubstituteDeclaration,fflo:ObligationType,,0.95,addition of the salt substitutes ... shall be declared
src_pdf_001_chunk_0007,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,7,"Food Safety and Standards (Packaging and Labelling) Regulations, 2011",fkg:Food,,fflo:compliesWith,special dietary Food with low sodium content,fflo:RegulatoryDocument,,0.95,"in addition to the Food Safety and Standards (Packaging and Labelling) Regulations, 2011"
src_pdf_001_chunk_0007,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,7,salt substitutes,fflo:RegulatoryDocument,,fflo:defines,"Food Safety and Standards (Food Products Standards and Food Additives) Regulations, 2011",fkg:Ingredient,,0.95,"salt substitutes listed in clause (6) of sub- regulation 2.9.30 of the Food Safety and Standards (Food Products Standards and Food Additives) Regulations, 2011"
src_pdf_002_chunk_0002,src_pdf_002,markdown/1_chapter_1_general.md,pdf,2,De-oiled meal,fkg:Ingredient,,fflo:hasDefinition,the residual material left over when oil is extracted by a solvent from any oil-bearing material,xsd:string,,0.95,De-oiled meal means the residual material left over when oil is extracted by a solvent from any oil-bearing material
src_pdf_002_chunk_0002,src_pdf_002,markdown/1_chapter_1_general.md,pdf,2,Hydrogenation,fflo:Processing,,fflo:hasDefinition,the process of addition of hydrogen to an edible vegetable oil using a catalyst to produce a fat with semi-solid consistency,xsd:string,,0.95,Hydrogenation means the process of addition of hydrogen to an edible vegetable oil using a catalyst to produce a fat with semi-solid consistency
src_pdf_002_chunk_0002,src_pdf_002,markdown/1_chapter_1_general.md,pdf,2,Irradiation,fflo:Processing,,fflo:hasDefinition,"any physical procedure, involving the intentional exposure of food to ionizing radiations",xsd:string,,0.95,"Irradiation means any physical procedure, involving the intentional exposure of food to ionizing radiations"
src_pdf_002_chunk_0002,src_pdf_002,markdown/1_chapter_1_general.md,pdf,2,Irradiation facility,fflo:RegulatoryDocument,,fflo:hasDefinition,any facility which is capable of being utilized for treatment of food by irradiation,xsd:string,,0.95,Irradiation facility means any facility which is capable of being utilized for treatment of food by irradiation
src_pdf_002_chunk_0002,src_pdf_002,markdown/1_chapter_1_general.md,pdf,2,Irradiated food,fflo:FoodCategory,,fflo:hasDefinition,"articles of food subjected to radiation by X-rays generated from machine sources operated at or below an energy level of 5 million electron volts; and Sub-atomic particles, namely, electrons generated from machine sources operated at or below an energy level of 10 million electron volts, to dose levels as specified in Schedule I of the Atomic Energy (Control of Irradiation of Food) Rules 1991",xsd:string,,0.95,"Irradiated food means articles of food subjected to radiation by: - (ii) X-rays generated from machine sources operated at or below an energy level of 5 million electron volts; and (iii) Sub-atomic particles, namely, electrons generated from machine sources operated at or below an energy level of 10 million electron volts, to dose levels as specified in Schedule I of the Atomic Energy (Control of Irradiation of Food) Rules 1991"
src_pdf_002_chunk_0002,src_pdf_002,markdown/1_chapter_1_general.md,pdf,2,Margarine,fflo:FoodCategory,,fflo:hasDefinition,an emulsion of edible oils and fats with water,xsd:string,,0.95,Margarine means an emulsion of edible oils and fats with water
src_pdf_002_chunk_0002,src_pdf_002,markdown/1_chapter_1_general.md,pdf,2,Operator of irradiation facility,fflo:RegulatoryOfficer,,fflo:hasDefinition,any person appointed as such by licensee who satisfies the qualifications and requirements as for training specified in Schedule II of the Atomic Energy (Control of Irradiation of,xsd:string,,0.95,Operator of irradiation facility means any person appointed as such by licensee who satisfies the qualifications and requirements as for training specified in Schedule II of the Atomic Energy (Control of Irradiation of
src_pdf_002_chunk_0003,src_pdf_002,markdown/1_chapter_1_general.md,pdf,3,Refined vegetable oil,fflo:FoodCategory,,fflo:hasDefinition,"any vegetable oil which is obtained by expression or solvent extraction of vegetable oil bearing materials, deacidified with alkali and/or by physical refining and/or by miscella refining using permitted food grade solvents and/or degumming using phosphoric/citric acid and/or any suitable food grade enzyme followed by bleaching with adsorbent earth and/or activated carbon and deodorized with steam without using any other chemical agents",xsd:string,,0.95,Refined vegetable oil means any vegetable oil which is obtained by expression or solvent extraction
src_pdf_002_chunk_0003,src_pdf_002,markdown/1_chapter_1_general.md,pdf,3,Refining,fflo:Processing,,fflo:hasDefinition,"a process by which an expressed vegetable oil or a solvent-extracted oil is deacidified- (i) With alkali, or (ii) by physical refining, or both, or (iii) By miscella refining using permitted food grade solvent, followed by bleaching with absorbent earth and/or activated carbon or both of them and deodorized with steam without using any other chemical agent; (iv) refining if required may include the process of degumming using phosphoric/citric acid and any suitable food grade enzyme",xsd:string,,0.95,Refining means a process by which an expressed vegetable oil or a solvent-extracted oil is deacidified
src_pdf_002_chunk_0003,src_pdf_002,markdown/1_chapter_1_general.md,pdf,3,Solvent-extracted oil,fflo:FoodCategory,,fflo:hasDefinition,any vegetable oil obtained from oil-bearing material by the process of extraction by a solvent,xsd:string,,0.95,Solvent-extracted oil means any vegetable oil obtained from oil-bearing material by the process of extraction by a solvent
src_pdf_002_chunk_0003,src_pdf_002,markdown/1_chapter_1_general.md,pdf,3,Solvent-extracted edible flour,fflo:FoodCategory,,fflo:hasDefinition,"the ground material obtained from specially prepared deoiled meal, that is, the residual material left over when oil is extracted by a solvent from oil cake immediately following the single-pressing of good quality edible oilseeds",xsd:string,,0.95,Solvent-extracted edible flour means the ground material obtained from specially prepared deoiled meal
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,ev_dietary_fibre_claim_0001,fflo:PermissibleLimit,,fflo:forProperty,Dietary Fibre,ssn:Property,,0.95,claims on source of dietary fibre
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,ev_dietary_fibre_claim_0001,fflo:PermissibleLimit,,fflo:hasValue,3g/100g,fso:Measurement,,0.95,not contain less than 3g/100g
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,ev_dietary_fibre_claim_0001,fflo:PermissibleLimit,,fflo:inFood,food products,fkg:Food,,0.9,in above products if it is intended to make claims
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,ev_dietary_fibre_high_claim_0002,fflo:PermissibleLimit,,fflo:forProperty,Dietary Fibre,ssn:Property,,0.95,claims on high source of dietary fibre
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,ev_dietary_fibre_high_claim_0002,fflo:PermissibleLimit,,fflo:hasValue,3g/100g,fso:Measurement,,0.95,not less than 3g/100g
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,ev_dietary_fibre_high_claim_0002,fflo:PermissibleLimit,,fflo:inFood,food products,fkg:Food,,0.9,in above products if it is intended to make claims
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,ev_dietary_fibre_high_max_0003,fflo:PermissibleLimit,,fflo:forProperty,Dietary Fibre,ssn:Property,,0.95,claims on high source of dietary fibre
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,ev_dietary_fibre_high_max_0003,fflo:PermissibleLimit,,fflo:hasValue,6g/100g,fso:Measurement,,0.95,not more than 6g/100g
src_pdf_001_chunk_0005,src_pdf_001,markdown/12_chapter_2_11_other_food_product_and_ingredients.md,pdf,5,ev_dietary_fibre_high_max_0003,fflo:PermissibleLimit,,fflo:inFood,food products,fkg:Food,,0.9,in above products if it is intended to make claims
