ensemble_prob,bucket,p_tfidf,p_e5,p_roberta,title,source,date,url,domain,query_family,word_count
0.7422,manual_review,0.69,0.958,0.536,"Pest-infested flour, decayed vegetables, meat waste found at Hyderabad’s Lulu Hypermarket during food safety inspection",thehindu.com,2026-05-19,https://www.thehindu.com/news/cities/Hyderabad/pest-infested-flour-decayed-vegetables-meat-waste-found-at-hyderabads-lulu-hypermarket-during-food-safety-inspection/article70996619.ece,thehindu.com,boolean,277
0.7391,manual_review,0.491,0.994,0.683,"DCA raids clinics, seizes fake organic oils with false claims",thehansindia.com,2024-03-04,https://www.thehansindia.com/telangana/dca-raids-clinics-seizes-fake-organic-oils-with-false-claims-862432,thehansindia.com,title_only,315
0.7214,manual_review,0.661,0.908,0.56,"Food safety raids at Hyderabad bakery, brewery uncover expired food, pest infestation, hygiene violations",thehindu.com,2026-05-21,https://www.thehindu.com/news/cities/Hyderabad/food-safety-raids-at-hyderabad-bakery-brewery-uncover-expired-food-pest-infestation-hygiene-violations/article71003523.ece,thehindu.com,boolean,215
0.7066,manual_review,0.737,0.918,0.424,Gautam Budh Nagar admin inspects sweet shops ahead of Raksha Bandhan,hindustantimes.com,2025-08-08,https://www.hindustantimes.com/cities/noida-news/gautam-budh-nagar-admin-inspects-sweet-shops-ahead-of-raksha-bandhan-101754591416255.html,hindustantimes.com,boolean,491
0.6829,manual_review,0.531,0.999,0.458,"Hyderabad: Food safety dept raids restaurant, hypermarket in Dilsukhnagar",siasat.com,2024-09-01,https://www.siasat.com/hyderabad-food-safety-dept-raids-restaurant-hypermarket-in-dilsukhnagar-3088692/,siasat.com,boolean,336
0.6717,manual_review,0.506,0.919,0.543,U.P.: ₹9.75 lakh fine slapped on 17 food adulterators in Lucknow,hindustantimes.com,2022-10-07,https://www.hindustantimes.com/cities/lucknow-news/up-rs-9-75-lakh-fine-slapped-on-17-food-adulterators-in-lucknow-101665164346689.html,hindustantimes.com,boolean,215
0.6463,manual_review,0.511,0.934,0.438,18 Hospitalised After Eating Laddus In Old City,indiatimes.com,2024-04-28,https://timesofindia.indiatimes.com/city/lucknow/18-hospitalised-after-eating-laddus-in-old-city/articleshow/109658045.cms,timesofindia.indiatimes.com,boolean,376
0.6281,manual_review,0.367,0.996,0.45,"Buldhana baldness cases: Fungal infection ruled out, high levels of nitrate in water samples",indiatimes.com,2025-01-13,https://timesofindia.indiatimes.com/city/nagpur/buldhana-baldness-cases-fungal-infection-ruled-out-high-levels-of-nitrate-in-water-samples/articleshow/117181169.cms,timesofindia.indiatimes.com,boolean,215
0.6258,manual_review,0.516,0.875,0.438,"Food safety dept raids restaurants, bakeries in Hyderabad",siasat.com,2024-11-13,https://www.siasat.com/food-safety-dept-raids-restaurants-bakeries-in-hyderabad-3131041/,siasat.com,boolean,351
0.62,manual_review,0.399,0.926,0.476,Public Distrust Over Non-Halal and Unhygienic Meat Rumors Drives Down Kashmir’s Restaurant and Hotel Business,deccanchronicle.com,2025-08-03,https://www.deccanchronicle.com/news/current-affairs/public-distrust-over-non-halal-and-unhygienic-meat-rumors-drives-down-kashmirs-restaurant-and-hotel-business-1895346,deccanchronicle.com,boolean,989
