review_keep,title_screen_label,title_url_product_terms,title_url_signal_terms,published_date,domain,source,title_snippet,query_used,status,url
,broad_food_safety_title,,banned; seized; fake,2026-06-20,timesofindia.indiatimes.com,indiatimes.com,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home","""cooking oil"" adulteration India",success,https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms
,broad_food_safety_title,,fssai,2026-06-19,business-standard.com,business-standard.com,"FSSAI issues notices to food firms over claims, labelling and hygiene","FSSAI ""edible oil"" India",robots_blocked,https://www.business-standard.com/industry/news/fssai-issues-notices-to-food-firms-over-claims-labelling-and-hygiene-126061901185_1.html
,broad_food_safety_title,,food safety; seized,2026-06-19,siasat.com,siasat.com,110 kg fried chicken seized at Charminar godown over food safety lapses,"""cooking oil"" adulteration India",success,https://www.siasat.com/110-kg-fried-chicken-seized-at-charminar-godown-over-food-safety-lapses-3492067/
,strong_title_match,ghee,adulterated; seized,2026-06-18,ndtv.com,ndtv.com,"Over 6,500 Litres Adulterated Ghee Seized After Interstate Racket Busted","""oil"" ""food safety"" ""seized"" India",robots_blocked,https://www.ndtv.com/india-news/over-6-500-litres-adulterated-ghee-seized-after-interstate-racket-busted-11653840#publisher=newsstand
,strong_title_match,ghee,fake,2026-06-18,assamtribune.com,assamtribune.com,"6,500 litres of fake ghee recovered in Delhi, Haryana","""oil"" ""food safety"" ""seized"" India",robots_blocked,https://assamtribune.com/national/6500-litres-of-fake-ghee-recovered-in-delhi-haryana-1612879
,strong_title_match,ghee,adulterated; seized; raids,2026-06-18,thehansindia.com,thehansindia.com,"6,500 litres of adulterated ghee, raw material seized during raids in Delhi, Haryana","""oil"" ""food safety"" ""seized"" India",robots_blocked,https://www.thehansindia.com/news/national/6500-litres-of-adulterated-ghee-raw-material-seized-during-raids-in-delhi-haryana-1087624
,strong_title_match,ghee,adulterated; fssai,2026-06-18,mumbainews.net,mumbainews.net,"FSSAI seizes over 6,500 litres of suspected adulterated ghee in Delhi, Haryana operations","""oil"" ""food safety"" ""seized"" India",success,http://www.mumbainews.net/news/279131828/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-haryana-operations
,strong_title_match,ghee,adulterated; fssai,2026-06-18,bombaynews.net,bombaynews.net,"FSSAI seizes over 6,500 litres of suspected adulterated ghee in Delhi, Haryana operations","""oil"" ""food safety"" ""seized"" India",success,http://www.bombaynews.net/news/279131828/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-haryana-operations
,strong_title_match,ghee,adulterated; fssai,2026-06-18,newdelhinews.net,newdelhinews.net,"FSSAI seizes over 6,500 litres of suspected adulterated ghee in Delhi, Haryana operations","""oil"" ""food safety"" ""seized"" India",success,http://www.newdelhinews.net/news/279131828/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-haryana-operations
,strong_title_match,ghee,adulterated; fssai,2026-06-18,indiasnews.net,indiasnews.net,"FSSAI seizes over 6,500 litres of suspected adulterated ghee in Delhi, Haryana operations","""oil"" ""food safety"" ""seized"" India",success,http://www.indiasnews.net/news/279131828/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-haryana-operations
