food,adulterant_or_substitute,news_triplet_rows,news_distinct_articles,mean_model_confidence,confidence_weighted_article_support,fssai_baseline_direct_pair_rows,fssai_baseline_candidate_mentions,fssai_baseline_candidate_method_rows,news_candidate_method_rows,fssai_baseline_method_examples,news_method_examples,news_health_relation_articles,locally_linked_effects,baseline_gap_class,test_coverage_class,priority_score_0_100,priority_interpretation,example_url,example_evidence
Ghee,palm oil family,184,100,0.9117,91.7,0,21,0,22,,ghee adulteration finding --identifies--> palm oil; palm oil --detectedby--> Raman spectroscopy; palm oil --detectedby--> chromatography; Ghee Adulteration Finding --identifies--> palm oil; finding of palm oil in ghee --identifies--> palm oil,4,harmful for health (1); cardiovascular disease (1); cancer/carcinogenicity (1); health harm (1); increased cholesterol level (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,92.8,heuristic discovery rank; not a prevalence or risk estimate,https://www.thehindubusinessline.com/news/tirupati-laddu-ghee-case-cbi-sit-names-36-accused-including-ttd-officials/article70548628.ece,not at all ghee but chemically processed palmolein oil
Milk,urea,49,42,0.9286,39.1,0,3,0,12,,urea --detectedby--> bromothymol blue test; urea --detectedby--> water froth test; urea --detectedby--> magic kits; urea --detectedby--> water test for urea/detergent; urea --detectedby--> colorimetric detection,11,kidney damage (2); organ damage (2); liver damage (2); renal failure (2); stomach irritation (1); multi-organ failure (1); digestive system damage (1); cancer/carcinogenicity (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,92.79,heuristic discovery rank; not a prevalence or risk estimate,https://www.thehindu.com/news/cities/kozhikode/food-safety-dept-in-kozhikode-to-begin-drive-to-check-adulteration-ahead-of-onam/article68572481.ece,seized litres of urea-mixed milk
Milk,ethylene glycol,46,34,0.9315,31.9,0,0,0,10,,ethylene glycol --detectedby--> LaboratoryTest; milk adulteration case in East Godavari district --identifies--> ethylene glycol; Andhra Pradesh milk adulteration incident --identifies--> ethylene glycol; Rajahmundry milk adulteration case --identifies--> Ethylene Glycol; milk adulteration incident in East Godavari --identifies--> ethylene glycol,32,renal failure (31); multi-organ failure (11); anuria (10); vomiting (8); death (6); urinary obstruction (4); gastrointestinal illness (3); nausea (3),candidate not represented in FSSAI baseline,method signal occurs in news only,91.78,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/city/delhi/whats-cooking-in-pantry-bite-into-adulterated-truth/articleshow/130488415.cms,milk contaminated with ethylene glycol
Milk,detergent,39,35,0.9231,32.55,0,0,0,18,,detergent --detectedby--> arhar dal test; detergent --detectedby--> soybean powder test; detergent --detectedby--> froth test; detergent --detectedby--> water froth test; detergent --detectedby--> shaking test,8,organ damage (3); gastrointestinal illness (1); stomach irritation (1); vomiting (1); diarrhoea (1); serious health risks (1); gastrointestinal discomfort (1); irritate the digestive tract (1),candidate not represented in FSSAI baseline,method signal occurs in news only,91.64,heuristic discovery rank; not a prevalence or risk estimate,https://www.livemint.com/economy/the-evolution-of-india-s-fake-milk-industry-11782121657013.html,"adulterators frequently mixed in substances such as urea, detergent"
Milk,starch,30,28,0.9317,26.1,0,183,0,48,,starch --detectedby--> iodine test; starch --detectedby--> Iodine test; iodine test --producesindicator--> presence of starch; iodine test --producesindicator--> starch detection; starch --detectedby--> iodine solution test,5,allergic reaction (2); gastrointestinal illness (1); digestive system disturbance (1); stomach pain and loose motions (1); nausea (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,90.77,heuristic discovery rank; not a prevalence or risk estimate,https://www.thehindu.com/news/national/telangana/telangana-food-safety-department-demonstrates-methods-to-identify-adulterated-food/article70833242.ece,presence of starch in milk can be detected
Paneer,starch,20,20,0.905,18.1,0,183,0,48,,starch --detectedby--> iodine test; starch --detectedby--> Iodine test; iodine test --producesindicator--> presence of starch; iodine test --producesindicator--> starch detection; starch --detectedby--> iodine solution test,5,allergic reaction (2); gastrointestinal illness (1); digestive system disturbance (1); stomach pain and loose motions (1); nausea (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,88.1,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/city/ranchi/fssai-is-working-towards-felicitating-whistle-blowers-who-report-adulteration/articleshow/121853932.cms,starch ... in paneer and khowa
Khoya/mawa,starch,17,15,0.9029,13.6,0,183,0,48,,starch --detectedby--> iodine test; starch --detectedby--> Iodine test; iodine test --producesindicator--> presence of starch; iodine test --producesindicator--> starch detection; starch --detectedby--> iodine solution test,5,allergic reaction (2); gastrointestinal illness (1); digestive system disturbance (1); stomach pain and loose motions (1); nausea (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,86.56,heuristic discovery rank; not a prevalence or risk estimate,https://www.republicworld.com/health/is-the-milk-you-are-drinking-pure-4-easy-fssai-approved-ways-to-test-its-purity-at-home,"Starch is sometimes added to milk, khoya"
Paneer,detergent,10,9,0.905,8.2,0,0,0,18,,detergent --detectedby--> arhar dal test; detergent --detectedby--> soybean powder test; detergent --detectedby--> froth test; detergent --detectedby--> water froth test; detergent --detectedby--> shaking test,8,organ damage (3); gastrointestinal illness (1); stomach irritation (1); vomiting (1); diarrhoea (1); serious health risks (1); gastrointestinal discomfort (1); irritate the digestive tract (1),candidate not represented in FSSAI baseline,method signal occurs in news only,84.1,heuristic discovery rank; not a prevalence or risk estimate,https://www.freepressjournal.in/india/fake-paneer-racket-busted-toxic-chemicals-like-urea-detergent-used-in-up,"Urea, detergent, and Tinopal, when ingested"
Ghee,starch,12,11,0.8708,9.65,0,183,0,48,,starch --detectedby--> iodine test; starch --detectedby--> Iodine test; iodine test --producesindicator--> presence of starch; iodine test --producesindicator--> starch detection; starch --detectedby--> iodine solution test,5,allergic reaction (2); gastrointestinal illness (1); digestive system disturbance (1); stomach pain and loose motions (1); nausea (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,83.88,heuristic discovery rank; not a prevalence or risk estimate,https://indianexpress.com/article/lifestyle/health/adulterated-ghee-ginger-garlic-paste-hyderabad-consume-10107480/,"ghee, she noted it is frequently adulterated with vanaspati, animal fat, starch"
Milk,formalin/formaldehyde,6,6,0.9417,5.65,0,4,0,2,,formaldehyde --detectedby--> testing kits and laboratories; sulphuric acid test for formalin --producesindicator--> violet or blue rings,7,cancer/carcinogenicity (4); gastrointestinal toxicity (1); allergic reaction (1); respiratory problems (1); metabolic disturbances (1); multi-organ failure (1); neurological damage (1); food poisoning (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,83.46,heuristic discovery rank; not a prevalence or risk estimate,https://www.livemint.com/economy/the-evolution-of-india-s-fake-milk-industry-11782121657013.html,"adulterators frequently mixed in substances such as urea, detergent, starch, formalin"
Paneer,urea,7,6,0.9143,5.45,0,3,0,12,,urea --detectedby--> bromothymol blue test; urea --detectedby--> water froth test; urea --detectedby--> magic kits; urea --detectedby--> water test for urea/detergent; urea --detectedby--> colorimetric detection,11,kidney damage (2); organ damage (2); liver damage (2); renal failure (2); stomach irritation (1); multi-organ failure (1); digestive system damage (1); cancer/carcinogenicity (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,82.5,heuristic discovery rank; not a prevalence or risk estimate,https://www.freepressjournal.in/india/fake-paneer-racket-busted-toxic-chemicals-like-urea-detergent-used-in-up,fake paneer being produced using harmful chemicals such as urea
vegetables,pesticide residue,9,6,0.9111,5.55,0,5,0,5,,pesticides --detectedby--> LC-MS; pesticides --detectedby--> ICP-MS; pesticide residue --detectedby--> laboratory test; pesticide traces --detectedby--> mobile laboratories; unsafe vegetable samples --identifies--> pesticide residues,11,cancer/carcinogenicity (8); food poisoning (3); health harms (2); hepatitis (2); cell damage (1); disorders in the biological regulatory systems (1); toxic exposure (1); birth defects (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,82.38,heuristic discovery rank; not a prevalence or risk estimate,https://economictimes.indiatimes.com/news/videos/milk-ghee-veggies-masala-tainted-raghav-chadha-flags-food-adulteration-in-rs/videoshow/127905488.cms,"vegetables, and garam masala are tainted with urea, synthetic colors, vegetable oil, oxytocin, and banned pesticides"
fish,formalin/formaldehyde,5,5,0.93,4.65,0,4,0,2,,formaldehyde --detectedby--> testing kits and laboratories; sulphuric acid test for formalin --producesindicator--> violet or blue rings,7,cancer/carcinogenicity (4); gastrointestinal toxicity (1); allergic reaction (1); respiratory problems (1); metabolic disturbances (1); multi-organ failure (1); neurological damage (1); food poisoning (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,82.21,heuristic discovery rank; not a prevalence or risk estimate,https://www.sentinelassam.com/topheadlines/assam-sample-testing-detects-aggravated-food-adulteration,use of formalin in fish
Paneer,palm oil family,15,14,0.9,12.55,0,21,0,22,,ghee adulteration finding --identifies--> palm oil; palm oil --detectedby--> Raman spectroscopy; palm oil --detectedby--> chromatography; Ghee Adulteration Finding --identifies--> palm oil; finding of palm oil in ghee --identifies--> palm oil,4,harmful for health (1); cardiovascular disease (1); cancer/carcinogenicity (1); health harm (1); increased cholesterol level (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,82.11,heuristic discovery rank; not a prevalence or risk estimate,https://timesofindia.indiatimes.com/city/raipur/officials-seize-over-14-l-worth-of-adulterated-paneer-in-crackdown/articleshow/126125110.cms,manufactured using skimmed milk powder and palm oil
fruits,pesticide residue,6,6,0.9,5.4,0,5,0,5,,pesticides --detectedby--> LC-MS; pesticides --detectedby--> ICP-MS; pesticide residue --detectedby--> laboratory test; pesticide traces --detectedby--> mobile laboratories; unsafe vegetable samples --identifies--> pesticide residues,11,cancer/carcinogenicity (8); food poisoning (3); health harms (2); hepatitis (2); cell damage (1); disorders in the biological regulatory systems (1); toxic exposure (1); birth defects (1),"candidate represented, but food-adulterant relation absent",method signal occurs in news only,82.0,heuristic discovery rank; not a prevalence or risk estimate,https://zeenews.india.com/india/zara-sochiye-national-alert-food-adulteration-biological-collapse-nutrition-india-3016023.html,High pesticide residues in vegetables and fruits
ice cream,detergent,5,4,0.95,3.8,0,0,0,18,,detergent --detectedby--> arhar dal test; detergent --detectedby--> soybean powder test; detergent --detectedby--> froth test; detergent --detectedby--> water froth test; detergent --detectedby--> shaking test,8,organ damage (3); gastrointestinal illness (1); stomach irritation (1); vomiting (1); diarrhoea (1); serious health risks (1); gastrointestinal discomfort (1); irritate the digestive tract (1),candidate not represented in FSSAI baseline,method signal occurs in news only,81.93,heuristic discovery rank; not a prevalence or risk estimate,https://theshillongtimes.com/2026/02/04/raging-health-crisis-aap-mp-raises-alarm-in-rs-over-widespread-food-adulteration/,ice cream has detergent powder
