keep,llm_label,llm_score,llm_confidence,title,url,source,date,word_count,llm_reason,llm_evidence,metadata_label,metadata_score,rule_reason,query_family,query_id,query_used,file_path,discovered_url,llm_model,scored_at,llm_error,llm_raw
,relevant,1,1.0, Sale of adulterated Nandini ghee uncovered ,https://www.thehindu.com/news/cities/bangalore/sale-of-adulterated-nandini-ghee-uncovered/article38197249.ece,thehindu.com,2022-01-08,230,ghee product term in title/url; approved adulteration/enforcement signal in title/url,sale of adulterated Nandini ghee uncovered,likely_relevant,98,ghee product term in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,boolean,boolean_ghee_products_adulterated_fake_enforcement,"((ghee OR ""cow ghee"" OR ""desi ghee"" OR ""pure ghee"" OR ""loose ghee"") AND (adulterated OR fake) AND ((fssai OR fda OR ""food safety"") OR (raid OR seized)) AND language:en)",C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_adulteration_round_01_2026-06-30\mediacloud\cleaned_text\thehindu.com\c520823fbad6fbcb.txt,https://www.thehindu.com/news/cities/bangalore/sale-of-adulterated-nandini-ghee-uncovered/article38197249.ece,llama3.1:8b-instruct-q4_K_M,2026-06-30T17:08:36.131804+00:00,0,"{
  ""label"": ""relevant"",
  ""score"": 1,
  ""confidence"": 1.0,
  ""reason"": ""ghee product term in title/url; approved adulteration/enforcement signal in title/url"",
  ""evidence_phrase"": ""sale of adulterated Nandini ghee uncovered""
}"
,relevant,1,0.9,"'I Read Bible At Home': Jagan Reddy On His Faith Amid Tirupati Laddu Controversy, Claims Adulterated Ghee Was Never Used",https://swarajyamag.com/news-brief/i-read-bible-at-home-jagan-reddy-on-his-faith-amid-tirupati-laddu-controversy-claims-adulterated-ghee-was-never-used,swarajyamag.com,2024-09-27,437,article mentions 'adulterated ghee' and discusses its use in Tirupati laddu controversy,The adulterated ghee was not used for Tirupati laddu and sent back.,likely_relevant,100,approved incident phrase in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,phrase,phrase_adulterated_ghee,"(""adulterated ghee"" AND language:en)",C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_adulteration_round_01_2026-06-30\mediacloud\cleaned_text\swarajyamag.com\bdf77d39c9ea7363.txt,https://swarajyamag.com/news-brief/i-read-bible-at-home-jagan-reddy-on-his-faith-amid-tirupati-laddu-controversy-claims-adulterated-ghee-was-never-used,llama3.1:8b-instruct-q4_K_M,2026-06-30T16:47:08.051644+00:00,0,"{
  ""label"": ""relevant"",
  ""score"": 1,
  ""confidence"": 0.9,
  ""reason"": ""article mentions 'adulterated ghee' and discusses its use in Tirupati laddu controversy"",
  ""evidence_phrase"": ""The adulterated ghee was not used for Tirupati laddu and sent back.""
}"
,relevant,1,1.0,'Larger conspiracy': YSRCP accuses CM Chandrababu Naidu of engineering Tirupati laddu row to hide Rs 200-crore ghee scam | Vijayawada News - The Times of India,https://timesofindia.indiatimes.com/city/vijayawada/larger-conspiracy-ysrcp-accuses-cm-chandrababu-naidu-of-engineering-tirupati-laddu-row-to-hide-rs-200-crore-ghee-scam/articleshow/129249594.cms,indiatimes.com,2026-03-08,473,"Article mentions ghee adulteration, Rs 200-crore ghee scam, and irregularities in ghee procurement.",Rs 200-crore ghee procurement scam,manual_review,61,ghee product term in title/url; signal appears in query but not title/url,phrase,phrase_adulterated_ghee,"(""adulterated ghee"" AND language:en)",C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_adulteration_round_01_2026-06-30\mediacloud\cleaned_text\timesofindia.indiatimes.com\57d030f85e2c41ac.txt,https://timesofindia.indiatimes.com/city/vijayawada/larger-conspiracy-ysrcp-accuses-cm-chandrababu-naidu-of-engineering-tirupati-laddu-row-to-hide-rs-200-crore-ghee-scam/articleshow/129249594.cms,llama3.1:8b-instruct-q4_K_M,2026-06-30T17:34:54.466865+00:00,0,"{
  ""label"": ""relevant"",
  ""score"": 1,
  ""confidence"": 1.0,
  ""reason"": ""Article mentions ghee adulteration, Rs 200-crore ghee scam, and irregularities in ghee procurement."",
  ""evidence_phrase"": ""Rs 200-crore ghee procurement scam""
}"
,relevant,1,1.0,'Made from synthetic material': CBI chargesheet rules out mixing of animal fats in Tirupati laddu ghee | Hyderabad News - The Times of India,https://timesofindia.indiatimes.com/city/hyderabad/made-from-synthetic-material-cbi-chargesheet-rules-out-mixing-of-animal-fats-in-tirupati-laddu-ghee/articleshow/127813662.cms,indiatimes.com,2026-01-31,476,ghee adulteration in Tirupati laddu prasadam,synthetic ghee was supplied for making laddu prasadam,manual_review,55,ghee product term in title/url; signal appears in query but not title/url,boolean,boolean_ghee_products_adulterated_fake,"((ghee OR ""cow ghee"" OR ""desi ghee"" OR ""pure ghee"" OR ""loose ghee"") AND (adulterated OR fake) AND language:en)",C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_adulteration_round_01_2026-06-30\mediacloud\cleaned_text\timesofindia.indiatimes.com\c462e45e7d39772f.txt,https://timesofindia.indiatimes.com/city/hyderabad/made-from-synthetic-material-cbi-chargesheet-rules-out-mixing-of-animal-fats-in-tirupati-laddu-ghee/articleshow/127813662.cms,llama3.1:8b-instruct-q4_K_M,2026-06-30T17:52:21.513568+00:00,0,"{
  ""label"": ""relevant"",
  ""score"": 1,
  ""confidence"": 1.0,
  ""reason"": ""ghee adulteration in Tirupati laddu prasadam"",
  ""evidence_phrase"": ""synthetic ghee was supplied for making laddu prasadam""
}"
,relevant,1,1.0,'Mindset Shaped By Appeasement Politics...': AP Deputy CM Pawan Kalyan Hits Out At TN CM Stalin On Tirupati Laddoo-Ghee Case,https://www.freepressjournal.in/india/mindset-shaped-by-appeasement-politics-ap-deputy-cm-pawan-kalyan-hits-out-at-tn-cm-stalin-on-tirupati-laddoo-ghee-case,freepressjournal.in,2025-12-11,493,article is about ghee adulteration in Tirupati/Tirumala laddu/prasadam,Tirumala adulterated ghee case,manual_review,61,ghee product term in title/url; signal appears in query but not title/url,phrase,phrase_adulterated_ghee,"(""adulterated ghee"" AND language:en)",C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_adulteration_round_01_2026-06-30\mediacloud\cleaned_text\freepressjournal.in\fbd98e270dc78e23.txt,https://www.freepressjournal.in/india/mindset-shaped-by-appeasement-politics-ap-deputy-cm-pawan-kalyan-hits-out-at-tn-cm-stalin-on-tirupati-laddoo-ghee-case,llama3.1:8b-instruct-q4_K_M,2026-06-30T17:26:09.918169+00:00,0,"{
  ""label"": ""relevant"",
  ""score"": 1,
  ""confidence"": 1.0,
  ""reason"": ""article is about ghee adulteration in Tirupati/Tirumala laddu/prasadam"",
  ""evidence_phrase"": ""Tirumala adulterated ghee case""
}"
,relevant,1,1.0,'Nandini' Ghee Racket: Who Is The Couple Behind Running Major Fake ‘Nandini’ Ghee Unit In Bengaluru,https://www.newsx.com/india/nandini-ghee-racket-who-is-the-couple-behind-running-major-fake-nandini-ghee-unit-in-bengaluru-115687/,newsx.com,2025-11-26,577,article is about ghee adulteration and enforcement in India,fake Nandini ghee racket,likely_relevant,100,approved incident phrase in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,phrase,phrase_adulterated_ghee,"(""adulterated ghee"" AND language:en)",C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_adulteration_round_01_2026-06-30\mediacloud\cleaned_text\newsx.com\d868b5ccbd9fc903.txt,https://www.newsx.com/india/nandini-ghee-racket-who-is-the-couple-behind-running-major-fake-nandini-ghee-unit-in-bengaluru-115687/,llama3.1:8b-instruct-q4_K_M,2026-06-30T17:00:21.345788+00:00,0,"{
  ""label"": ""relevant"",
  ""score"": 1,
  ""confidence"": 1.0,
  ""reason"": ""article is about ghee adulteration and enforcement in India"",
  ""evidence_phrase"": ""fake Nandini ghee racket""
}"
,relevant,1,1.0,"1,100 Litres Of Cheap Ghee Seized In City | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/1100-litres-of-cheap-ghee-seized-in-city/articleshow/104512484.cms,indiatimes.com,2023-10-18,364,ghee product term in title/url; approved adulteration/enforcement signal in title/url,"1,130 litres of Amrit brand and Dairy Shubham brand ghee",likely_relevant,100,ghee product term in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,title_only,title_ghee_enforcement,"((article_title:ghee OR article_title:""cow ghee"" OR article_title:""desi ghee"" OR article_title:""pure ghee"" OR article_title:""loose ghee"") AND (article_title:fssai OR article_title:fda OR article_title:""food safety"" OR article_title:raid OR article_title:seized) AND language:en)",C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_adulteration_round_01_2026-06-30\mediacloud\cleaned_text\timesofindia.indiatimes.com\a78c5c279a8f237a.txt,https://timesofindia.indiatimes.com/city/jaipur/1100-litres-of-cheap-ghee-seized-in-city/articleshow/104512484.cms,llama3.1:8b-instruct-q4_K_M,2026-06-30T16:41:25.885574+00:00,0,"{
  ""label"": ""relevant"",
  ""score"": 1,
  ""confidence"": 1.0,
  ""reason"": ""ghee product term in title/url; approved adulteration/enforcement signal in title/url"",
  ""evidence_phrase"": ""1,130 litres of Amrit brand and Dairy Shubham brand ghee""
}"
,relevant,1,0.9,"1,400 kg fake khoya, 400 kilo expired ghee and paneer seized by FSSAI before Holi",https://economictimes.indiatimes.com/news/new-updates/1400-kg-fake-khoya-400-kilo-expired-ghee-and-paneer-seized-by-fssai-before-holi/articleshow/128938525.cms,indiatimes.com,2026-03-02,306,ghee is mentioned as one of the adulterated products seized by FSSAI,"400 kg of expired and contaminated food items, including ghee",likely_relevant,98,ghee product term in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,boolean,boolean_ghee_products_adulterated_fake,"((ghee OR ""cow ghee"" OR ""desi ghee"" OR ""pure ghee"" OR ""loose ghee"") AND (adulterated OR fake) AND language:en)",C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_adulteration_round_01_2026-06-30\mediacloud\cleaned_text\economictimes.indiatimes.com\8c8f2199f024e48d.txt,https://economictimes.indiatimes.com/news/new-updates/1400-kg-fake-khoya-400-kilo-expired-ghee-and-paneer-seized-by-fssai-before-holi/articleshow/128938525.cms,llama3.1:8b-instruct-q4_K_M,2026-06-30T17:12:32.107825+00:00,0,"{
  ""label"": ""relevant"",
  ""score"": 1,
  ""confidence"": 0.9,
  ""reason"": ""ghee is mentioned as one of the adulterated products seized by FSSAI"",
  ""evidence_phrase"": ""400 kg of expired and contaminated food items, including ghee""
}"
,relevant,1,1.0,"1,500 kg spurious ghee seized during  raid in Delhi's Alipur",https://www.newindianexpress.com/cities/delhi/2025/Dec/05/1500-kg-spurious-ghee-seized-during-raid-in-delhis-alipur,newindianexpress.com,2025-12-05,193,Article mentions seizure of spurious ghee during a raid in Delhi's Alipur.,spurious ‘desi ghee’ manufacturing unit was busted,likely_relevant,98,ghee product term in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,boolean,boolean_ghee_products_adulterated_fake,"((ghee OR ""cow ghee"" OR ""desi ghee"" OR ""pure ghee"" OR ""loose ghee"") AND (adulterated OR fake) AND language:en)",C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_adulteration_round_01_2026-06-30\mediacloud\cleaned_text\newindianexpress.com\2b173c66bf1af9fc.txt,https://www.newindianexpress.com/cities/delhi/2025/Dec/05/1500-kg-spurious-ghee-seized-during-raid-in-delhis-alipur,llama3.1:8b-instruct-q4_K_M,2026-06-30T17:11:49.539565+00:00,0,"{
  ""label"": ""relevant"",
  ""score"": 1,
  ""confidence"": 1.0,
  ""reason"": ""Article mentions seizure of spurious ghee during a raid in Delhi's Alipur."",
  ""evidence_phrase"": ""spurious ‘desi ghee’ manufacturing unit was busted""
}"
,relevant,1,1.0,"1,500 kg spurious ghee seized in Ludhiana",https://www.hindustantimes.com/cities/chandigarh-news/1500-kg-spurious-ghee-seized-in-ludhiana-101776799305166.html,hindustantimes.com,2026-04-22,248,ghee product term in title/url; approved adulteration/enforcement signal in title/url,spurious ghee seized,likely_relevant,98,ghee product term in title/url; approved adulteration/enforcement signal in title/url; ghee term appears close to signal term,boolean,boolean_ghee_products_adulterated_fake,"((ghee OR ""cow ghee"" OR ""desi ghee"" OR ""pure ghee"" OR ""loose ghee"") AND (adulterated OR fake) AND language:en)",C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_adulteration_round_01_2026-06-30\mediacloud\cleaned_text\hindustantimes.com\a4afebfa851a2e23.txt,https://www.hindustantimes.com/cities/chandigarh-news/1500-kg-spurious-ghee-seized-in-ludhiana-101776799305166.html,llama3.1:8b-instruct-q4_K_M,2026-06-30T17:13:15.120262+00:00,0,"{
  ""label"": ""relevant"",
  ""score"": 1,
  ""confidence"": 1.0,
  ""reason"": ""ghee product term in title/url; approved adulteration/enforcement signal in title/url"",
  ""evidence_phrase"": ""spurious ghee seized""
}"
