article_number,url,original_url,domain,title,source,date,download_status,http_status,extraction_status,extraction_method,word_count,raw_html_path,cleaned_text_path,error_message,first_2_lines
1,https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,indiatoday.in,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",indiatoday.in,2026-04-23,success,200,success,trafilatura,350,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\raw_html\indiatoday.in\d87d8c207b8e1c74.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\cleaned_text\indiatoday.in\d87d8c207b8e1c74.txt,,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized / Sources revealed that the police had major success in seizing 5,026 litres of oil and 5,192 kilograms of wheat during the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces."
2,https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,timesofindia.indiatimes.com,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",timesofindia.indiatimes.com,2026-06-03,success,200,success,trafilatura,541,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\raw_html\timesofindia.indiatimes.com\e9a4002546710f5a.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\cleaned_text\timesofindia.indiatimes.com\e9a4002546710f5a.txt,,"JAISALMER: In a major action under the Rajasthan Governmentâs âShuddh Aahar Milawat Par Vaarâ campaign, authorities raided an illegal adulterated ghee and oil manufacturing unit in Pokaran late Sunday night and seized more than 14,000 kilograms of adulterated ghee and edible oil. / The operation is being described as the largest crackdown on the fake ghee and oil trade in Jaisalmer district so far."
3,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,theprint.in,Over 4 lakh litres seized in drive against substandard edible oil in UP,theprint.in,2026-02-28,success,200,success,trafilatura,482,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\raw_html\theprint.in\c4d4b10ad402e99e.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\cleaned_text\theprint.in\c4d4b10ad402e99e.txt,,"Lucknow, Feb 28 (PTI) The Uttar Pradesh Food Safety and Drug Administration (FSDA) has seized 4,16,494 litres of edible oil of suspect or substandard quality, estimated to be worth approximately Rs 6.43 crore. / FSDA has launched an inspection drive to ensure quality edible oil is available to the general public ahead of Holi and correction notices were issued to 37 manufacturing units due to deficiencies, the department said in a post on X."
4,https://www.news18.com/india/up-barabanki-6000-litres-of-fake-mustard-oil-seized-raises-food-safety-concerns-aa-ws-l-9927362.html,https://www.news18.com/india/up-barabanki-6000-litres-of-fake-mustard-oil-seized-raises-food-safety-concerns-aa-ws-l-9927362.html,news18.com,,news18.com,,failed,403,failed,,0,,,HTTP 403,
5,https://www.newindianexpress.com/cities/thiruvananthapuram/2025/Aug/20/17k-litres-of-adulterated-coconut-oil-seized,https://www.newindianexpress.com/cities/thiruvananthapuram/2025/Aug/20/17k-litres-of-adulterated-coconut-oil-seized,newindianexpress.com,,newindianexpress.com,,robots_blocked,,failed,,0,,,Blocked by robots.txt,
6,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,timesofindia.indiatimes.com,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,timesofindia.indiatimes.com,2026-02-26,success,200,success,trafilatura,284,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\raw_html\timesofindia.indiatimes.com\c1641d84c0f80296.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\cleaned_text\timesofindia.indiatimes.com\c1641d84c0f80296.txt,,"KANPUR: In a crackdown on food adulteration ahead of Holi, the Food Security and Drug Administration (FSDA) department on Wednesday seized adulterated mawa and edible oil worth Rs 29.08 lakh and destroyed a large quantity of unsafe products. / Acting on a tip-off, a special FSDA team raided Panki Railway Station, where around 9 quintals of mawa was allegedly brought into the city via an EtawahâKanpur passenger train. On spotting the officials, labourers unloading the consignment fled the scene. The mawa, wrapped in dirty cloth and found in a highly unhygienic condition, was declared unfit for human consumption. As no one claimed ownership, the seized mawa, valued at Rs 3.42 lakh, was transported to a rubbish disposal plant and destroyed."
7,https://www.foodnavigator-asia.com/Article/2022/08/15/alcohol-poisoning-and-edible-oil-fraud-cases-soar-in-india/,https://www.foodnavigator-asia.com/Article/2022/08/15/alcohol-poisoning-and-edible-oil-fraud-cases-soar-in-india/,foodnavigator-asia.com,,foodnavigator-asia.com,,robots_blocked,,failed,,0,,,Blocked by robots.txt,
8,https://www.healthandme.com/nutrition/kanpur-food-adulteration-fssai-seizes-14000l-of-oil-1320kg-rotten-dates-and-more-ahead-of-festive-season-article-153707864,https://www.healthandme.com/nutrition/kanpur-food-adulteration-fssai-seizes-14000l-of-oil-1320kg-rotten-dates-and-more-ahead-of-festive-season-article-153707864,healthandme.com,"Kanpur Food Adulteration: FSSAI Seizes 14,000L of Oil, 1320Kg Rotten Dates And More Ahead Of Festive Season",healthandme.com,2026-02-27,success,200,success,trafilatura,56,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\raw_html\healthandme.com\f26ff341c3ec52d4.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\cleaned_text\healthandme.com\f26ff341c3ec52d4.txt,,Credits: FSSAI and Canva / उत्तर प्रदेश में खाद्य सुरक्षा अभियान
9,https://timesofindia.indiatimes.com/city/hyderabad/tea-to-ice-creams-food-adulteration-on-the-rise-in-hyderabad/articleshow/108746726.cms,https://timesofindia.indiatimes.com/city/hyderabad/tea-to-ice-creams-food-adulteration-on-the-rise-in-hyderabad/articleshow/108746726.cms,timesofindia.indiatimes.com,Tea to ice-creams: Food adulteration on the rise in Hyderabad | Hyderabad News - Times of India,timesofindia.indiatimes.com,2024-03-24,success,200,success,trafilatura,332,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\raw_html\timesofindia.indiatimes.com\6a3456fbc7f482cf.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\cleaned_text\timesofindia.indiatimes.com\6a3456fbc7f482cf.txt,,"HYDERABAD: Adulteration of essential commodities has come to haunt both residents and regulatory authorities. While / GHMC and police officials have carried out a slew of crackdowns in recent times and even seized large quantities of adulterated products, they say itâs only the tip of the iceberg."
10,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,timesofindia.indiatimes.com,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India,timesofindia.indiatimes.com,2018-06-02,success,200,success,trafilatura,319,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\raw_html\timesofindia.indiatimes.com\02a346f42fa842dc.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\cleaned_text\timesofindia.indiatimes.com\02a346f42fa842dc.txt,,"THIRUVANANTHAPURAM: In a major drive against adulteration of coconut oil, the office of commissioner of food safety has issued a ban on 45 brands of coconut oil, which were found to be substandard. Food safety commissioner M G Rajamanickam issued the ban after noticing that these brands of oil were being sold in the market though the food safety designated officers had banned them in some districts. / Kera Matha, Kerala Nanma, Venma Pure, Kera Sampoornam, Kera choice, Kera Nalikera Velichenna, Kesari, Keram Vally, Kera Nuts, Kerala Ruchi, Coconut tasty, Keramirtham, Kera cool, Kera cook, Kera fine, Malabar Kuttiyadi, K M Special, Grand coco, Malabar Drops, Kera Supreme natural, Keraleeyanadu, Kera Special, Kera Pure Gold, Agro coconut oil, Cook's pride, SK's drop of nature Ayush, Sree Keerthy, Kelda, Keral, Vismaya, A S Coconut oil, PVS Thripthi Pure, Kaveri Brand, Coco Menma, Annapoorna Nadan, Kera Tasty, Kera Valley, Famous, Haritha Giri, Orange, N K Janasree, Kera Nice coconut oil, Malabar Supreme, Grand Kuttiyadi, Kerala Rich were banned on Thursday."
