round_number,round_name,round_description,date_start,date_end,source_run,final_keep,final_human_label,human_review_status,human_review_source,model_final_label,model_confidence,title,source,date,url,domain,publication_date,word_count,reason,evidence_phrase,llm_label,llm_confidence,llm_reason,oil_role,edible_oil_terms,adulteration_action_terms,negative_terms,query_family,query_id,article_id,file_path,cleaned_text_path,article_text
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,1,relevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,indiatimes.com,2021-03-10,https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms,timesofindia.indiatimes.com,2021-03-10,232,LLM reading: edible oil is itself the adulterated product,"seized four tanks containing 7,000kg of refined soybean oil",relevant,1.0,edible oil is itself the adulterated product,adulterated_product,edible oil; soybean oil,seized; raid; raided; food safety; FDA,,title_only,title_oils_enforcement,ebff751b-d84d-4af1-8db7-0e26efbe3b9e,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\f3d9ae480d3f5c80.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\f3d9ae480d3f5c80.txt,"Nashik: The Food and Drugs Administration (FDA) raided an oil mill in Trimbakeshwar and seized four tanks containing 7,000kg of refined soybean oil worth over Rs 9 lakh on Monday. 
C D Salunkhe, the joint commissioner of FDA, Nashik, said they had received information that an oil mill owner was violating the government rules of manufacturing oil and not storing the edible oil in hygienic conditions.
The raid was conducted by food officers S S Deore, A U Raskar under the guidance of Salunkhe and assistant commissioner (food), zone 3, U S Lohokare.
âEdible oil is consumed extensively everywhere. Hence, it is necessary to ensure that it is sold in a way such that it is safe for consumption. Those into manufacturing should ensure that the edible oil is stored in hygienic conditions. In this case, our food safety officers found that the concerned owner was not just far from observing hygienic practices during the manufacturing process but was also selling the oil in loose, which is against the rules,â said Salunkhe. 
In certain situations, the state government relaxes the rules for selling edible oil in packed condition only. It had done so six months back. âHowever, this relaxation ended in February. Thus, it was necessary for the oil mill owner to ensure that post February, the oil he manufactured was sold only in packed condition and not in loose,â said Salunkhe."
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,1,relevant,human_reviewed,oil_relevance_review.xlsx:irrelevant,irrelevant,1.0,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",indiatimes.com,2021-03-23,https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,timesofindia.indiatimes.com,2021-03-23,178,"LLM reading: Mustard oil is an adulterated product, but it's not the main focus of the article.",adulteration was found in mustard oil,irrelevant,1.0,"Mustard oil is an adulterated product, but it's not the main focus of the article.",adulterated_product,edible oil; mustard oil,adulterated; adulteration; substandard; food safety; quality test,,proximity,proximity_mustard_oil_adulteration,60d460d7-985a-4ba5-98ca-05513736cd0f,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\818cdf95cf57c0f2.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\818cdf95cf57c0f2.txt,"DEHRADUN: The district food and drug department on Monday received quality test reports of 19 food items, the samples of which were collected from the state capital in the last two months. According to the reports, adulteration was found in mustard oil, a brand of honey, pan masala, and paneer.
GC Kandwal, designated officer food safety, Dehradun, said that the sample of honey, which was found to be substandard, was collected during a special state-wide drive in October last year.
The rest of the food samples were collected in February and March 2021.
âAmong the 19 samples whose reports arrived on Monday, seven were found to be substandard. The adulterated products include a renowned brand of honey and four pan masalas,â said Kandwal.
The food and drug department will now be sending notices to seek explanations from the manufacturers of the products which were found substandard.
The official added that five samples of edible oil, 23 samples of milk and related products, six products of sweet, three cereal-based products, chips, spices and beverages were collected for quality testing."
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,1,relevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,"Nagpur: Adulterated edible oil racket busted, 3 booked | Nagpur News - Times of India",indiatimes.com,2021-06-17,https://timesofindia.indiatimes.com/city/nagpur/adulterated-edible-oil-racket-busted-3-booked/articleshow/83588940.cms,timesofindia.indiatimes.com,2021-06-17,186,LLM reading: edible oil is itself the adulterated product,28 15-litre tins of impure edible oil,relevant,1.0,edible oil is itself the adulterated product,adulterated_product,edible oil,adulterated; fake; seized; raid,,proximity,proximity_edible_oil_adulterated,3bdf1e8d-86ce-4107-abf9-cb1a58a5f8b2,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\f2305a15b93c4b16.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\f2305a15b93c4b16.txt,"NAGPUR: Tehsil police on Tuesday busted an adulterated edible oil manufacturing unit and booked three persons in this connection. 
The cops led by senior PI Jayesh Bhandarkar also seized a huge quantity of adulterated oil being marketed by labelling it as a product by reputed brands.
During the raid, police found around 28 15-litre tins of impure edible oil, fake stickers and other material.
The police have booked three â Prem Gagwani (58, a resident of Badkas Chowk, Mahal), Shankar Durugkar (47, a resident of Hiwri Nagar) and Ashok Keswani (a resident of Ambedkar Chowk, Central Avenue) under sections 51, 52 A, 63, 68A of Copyright Act. 
Police said one Sanjay Tiwari, a resident of Rathod Layout, who is representative of a reputed edible oil company, received complaints regarding rampant sale of adulterated oil under his companyâs brand name. A 15-litre oil can was being sold for Rs2,600. 
Police said the fake unit used labels and logos of genuine products to deceive consumers. âThe accused used to offer hefty commission to the shops to sell the adulterated products,â police said.
Police are carrying out further investigations."
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,1,relevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,SPECS presents report on adulteration in Mustard Oil,garhwalpost.in,2021-10-30,https://garhwalpost.in/specs-presents-report-on-adulteration-in-mustard-oil/,garhwalpost.in,2021-10-30,336,LLM reading: Mustard oil is itself the adulterated food product.,As many as 415 samples were found adulterated out of 469 samples of Mustard oil.,relevant,1.0,Mustard oil is itself the adulterated food product.,adulterated_product,mustard oil,adulterated; adulteration; spurious,,proximity,proximity_mustard_oil_adulteration,91c0a3d9-6b5c-4ffb-a4e6-1d58de6d5067,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\garhwalpost.in\2d492278c31425aa.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\garhwalpost.in\2d492278c31425aa.txt,"By Our Staff Reporter
Dehradun, 28 Oct: SPECS held a campaign on testing of adulteration in Mustard oil from June to September. Volunteers collected 469 samples from Dehradun, Vikas Nagar, Doiwala, Mussoorie, Tehri, Uttarkashi, Rishikesh, Srinagar, Rudraprayag, Joshimath, Gopeshwar, Haridwar, Jaspur, Kashipur, Rudrapur, Ram Nagar, Haldwani, Nainital, Almora and Pithoragarh. As many as 415 samples were found adulterated out of 469 samples.
This was stated at a press conference by Dr Brijmohan Sharma, Secretary, SPECS.
According to him, 100% samples were found adulterated in Mussoorie, Rudraprayag, Joshimath , Gopeshwar and Almora. Adulteration was found in Jaspur (40%), Kashipur (50%), Uttarkashi (95%), Dehradun (94%), Pithoragarh (91%), Tehri (90%), Haldwani (90%), Vikas Nagar (80%), Doiwala (80%), Nainital (71%), Srinagar (80%), Rishikesh (75%), Ram Nagar (67%), Haridwar (65%) and Rudrapur (60%).
The adulteration is due to yellow colour i.e. Metanil yellow, white oil, Castor oil, soybean and groundnut containing cheap cotton seed oil and excess percentage of hexane.
The reason for a large number of health problems is because of the food, which includes the quality of the oil the food is cooked in. Mustard oil is found adulterated with cheap argemone oil which causes dropsy, stated Dr Sharma. The slightest of adulteration can cause irritation or burns, which may not seem like a big deal immediately, but can have harsh effects in the long run.
He also described how to test mustard oil at home. Take at least one cup of oil and keep it in a refrigerator for 2-3 hours. If the oil freezes with some white content, then the oil contains adulteration. There is a rubbing test to check the quality of the mustard oil. Pour some oil on the palms and rub it. If there are any traces of colour and some chemical smell, then it means oil contains some spurious substance. Boil some oil and, if the top layer is full of effervescence means adulteration. Also, take a sample and put drops of lemon in it. If the physical condition changes, it means adulteration."
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,1,relevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,185 spurious mustard oil cans seized in Burrabazar | Kolkata News - Times of India,indiatimes.com,2021-11-27,https://timesofindia.indiatimes.com/city/kolkata/185-spurious-mustard-oil-cans-seized-in-burrabazar/articleshow/87938067.cms,timesofindia.indiatimes.com,2021-11-27,527,LLM reading: Mustard oil is itself the adulterated product.,The EB have seized huge stocks of adulterated mustard oil from three godowns in Burrabazar.,relevant,1.0,Mustard oil is itself the adulterated product.,adulterated_product,edible oil; mustard oil; soybean oil; rice bran oil; coconut oil,adulterated; adulteration; spurious; seized; seizure; raided; banned,,title_only,title_oils_enforcement,b4b76fa7-2531-4702-908a-3b8d6f3ac280,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\aebd81315c7b2fb3.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\aebd81315c7b2fb3.txt,"KOLKATA: The enforcement branch has raided the premises of three edible oil traders in the Posta region after receiving complaints that they were blending rice bran oil with deadly dyes and chemicals and repacking them as mustard oil and selling them at Rs 160 per litre, almost Rs 30-Rs 60 less than the market rate. The government has banned blending of mustard oil since July earlier this year.
The EB have seized huge stocks of adulterated mustard oil from three godowns in Burrabazar.
The adulteration was being carried out at special anti-chambers set up inside the godown, suspect investigators. âWe have collected the samples and sent them for testing. The accused wanted to cash in on the mustard oil price rise and were making a nice profit by using sub-standard products,â said Bidisha Kalita, DC (EB).
According to police, it was around two days back that officers from the enforcement branch carried out a special drive against blended mustard oil based on inputs from various sources. âSamples from each accused were collected after we came to know that they were selling adulterated oil at anywhere between Rs 160-Rs 165 per litre, which is not possible at present market rates if it was pure. We even found underground chambers at each godown. We suspect that mustard oil was adulterated by the accused by mixing essence, colour and low-rate-low-quality rice bran oil. This is subject to the chemical report that we are waiting for. We believe this oil was sold in bulk in the open market,â said an officer.
âOfficers from our food & edible oil section reached godowns at Strand Road where search and seizure were made at three shops and office-cum-godowns. We detained one Bikram Goel (45). As many as 105 tins filled with loose mustard oil (each tin 15 kgs) and 32 empty tins were seized from him. We also detained one Bidyut Nandi (42) and seized 35 tins filled with loose mustard oil and 15 empty tins. Manik Porel(55) was the third person to be detained. We detained 45 tins filled with loose mustard oil and 12 empty tins from Porel,â said Kalita.
The development comes at a time when the central government announced in October that it will push for more domestic rice bran oil production to counter the inflation in edible oil prices across the country. The country is witnessing record-high inflation in food prices, including in edible oils, pulses, meat and eggs, in addition to skyrocketing fuel prices. 
According to multiple studies in Kolkata, the commonly found adulterants from the chemical analysis of edible oil were found to be argemone oil, mineral oil, karanja oil and cyanide. The level of adulteration was found to be higher in unpackaged samples of mustard and soybean oil and absent in coconut oil.
Studies have also stated that adulteration was commonly practised in non-branded foods. âIncrease in consumer awareness would enable careful selection of ingredients, thereby further aiding in maintenance of good health,â a study titled âAdulteration in commonly used cooking oils of Kolkata: Evaluation of consumer perception and detection of adulterantsâ and published at the International Journal of Health Sciences & Research has recently stated."
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,1,relevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,24% edible oil samples adulterated: FSSAI | Today News,livemint.com,2021-12-29,https://www.livemint.com/news/india/24-edible-oil-samples-adulterated-fssai-11640775486648.html,livemint.com,2021-12-29,487,"LLM reading: edible oil samples adulterated, failed quality metrics","24.2% or 1,080 samples were non-compliant on various quality metrics.",relevant,1.0,"edible oil samples adulterated, failed quality metrics",adulterated_product,edible oil; cooking oil; mustard oil; soybean oil; palm oil; groundnut oil; sesame oil; sunflower oil; rice bran oil; cottonseed oil; coconut oil,adulterated; adulteration; misbranding; samples failed; food safety; FSSAI,,title_only,title_oils_enforcement,b039e218-fd16-44da-b265-12a32131aaef,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\livemint.com\c7147edb338d57bd.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\livemint.com\c7147edb338d57bd.txt,"New Delhi: India’s top food regulator, Food Safety and Standards Authority of India or FSSAI, has said 2.42% of the 4,461 cooking oil samples it tested were non-compliant on account of safety standards, while 24.2% samples failed to clear quality metrics, indicating possible adulteration of cooking oils in the market.
The FSSAI conducted a nationwide survey during 25-27 August 2020 on edible oils to assess oil safety, quality and misbranding in cooking oils sold in the market. The purpose of the survey was to assess the “ground realities” with respect to oil safety, quality and misbranding, the food safety regulator said in the findings of the survey shared with the media on Wednesday.
Following the survey, the regulator has directed states and union territories to intensify enforcement drives to prevent adulteration in edible oils.
Of 4,461 samples tested, including branded as well as loose oils, 2.42% samples were non-compliant on account of safety parameters, which included the presence of aflatoxins, pesticide residues and heavy metals at levels higher than those prescribed by the Food Safety and Standards Regulations (FSSR). Meanwhile, 24.2% or 1,080 samples were non-compliant on various quality metrics. Samples were reported to have presence of hydrocyanic acid, failed to meet the prescribed limits of refractive index, Butyro Refractometer or BR reading—that measures purity of foods like oils and fats, fatty acid profile, iodine value, etc.
“Non-compliance in quality parameters indicate possible adulteration or blending with other oils or materials. Other non-compliance observed in relation to quality were failure to meet the shelf-life standards (acid value, presence of moisture content, rancidity, peroxide value, etc.) and prescribed standards of additives—dimethylpolysiloxane as well as Tertiary butylhydroquinone,” it said.
In the label misbranding category, 572 or 12.8% samples were found to be non-compliant on fortification claims like presence of Vitamin A and Vitamin D. Some oil samples were non-compliant with FSSAI labelling requirements.
The cooking oil samples were grouped into 15 different oil types including mustard oil, coconut oil, palm oil, blended oil, cottonseed oil, soybean oil, sunflower oil, safflower oil, groundnut oil, canola oil, rice bran oil, sesame oil, corn oil, flaxseed oil and any other non-listed oils. These were collected from 587 districts across the country and four metros by food safety officers of various states and union territories. These samples were then sent to various FSSAI notified labs, where they were tested for safety, quality and misbranding parameters, in compliance with the existing FSSR.
FSSAI said that a meeting with stakeholders was organized on 9 September 2021 to discuss the key findings of the survey. All states and union territories are being asked to intensify the enforcement drives to prevent the adulteration in the oils, it said.
“Ministry of Agriculture and Farmers Welfare and Ministry of Food Processing Industries are being requested to integrate their efforts in eliminating the problem of contaminants through implementation of good agricultural practices and safe handling or processing technique,” it added."
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,1,relevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,Fsda Busts Unit Making Adulterated Vegetable Oil | Varanasi News - Times of India,indiatimes.com,2022-05-22,https://timesofindia.indiatimes.com/city/varanasi/fsda-busts-unit-making-adulterated-vegetable-oil/articleshow/91716833.cms,timesofindia.indiatimes.com,2022-05-22,238,LLM reading: adulterated vegetable oil is the main topic,adulterated oil was being packed in containers of prominent mustard and soyabean oil brands,relevant,1.0,adulterated vegetable oil is the main topic,adulterated_product,rice bran oil; vegetable oil,adulterated; seized; raid; raided; food safety; FSDA; Food Safety Officer,,title_only,title_oils_enforcement,9c863a56-ef60-41c0-a1c9-fc1c4f7dde4f,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\9b0a2892e31bad2a.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\9b0a2892e31bad2a.txt,"Varanasi: The sleuths of food safety and drugs administration (FSDA) on Friday evening unearthed a unit in Katuapura area where adulterated oil was being packed in containers of prominent mustard and soyabean oil brands including Fortune and Saloni. 
Food safety officer Ramesh Singh said that during the raid it was found that by contaminating essence and other chemicals with rice bran oil the product was being packed in containers of different brand as mustard and soyabean oil.
Following this action Kotwali police arrested the unit owner Omprakash Jaiswal alias Puttan Sahu after lodging an FIR on the complaint of FSDA officials.
Singh said that on getting inputs regarding manufacturing of adulterated and duplicate food oil by a firm a joint team of his department and police was constituted. This team raided the firm of Puttan Sahu in Katuapura area, who ran his unit without seeking any license concerned, he added. When the unit was checked apart from rice bran oil in huge quantity, four litres of essence, 500 grams of colour, packaging materials including 147 tin containers and wrappers of Saloni, Fortune Soya health and others, five stamps for printing batch numbers and 40 litres of oil ready for sale was found in drum, he said adding, samples of each oil, essence and colour were collected for laboratory test. Cops seized oil and other material. After lodging of FIR and arrest of Sahu police had started further investigation."
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,1,relevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,"Loose Cooking Oil Seized, Fir Lodged Against Proprietor | Indore News - Times of India",indiatimes.com,2022-08-18,https://timesofindia.indiatimes.com/city/indore/loose-cooking-oil-seized-fir-lodged-against-proprietor/articleshow/93627772.cms,timesofindia.indiatimes.com,2022-08-18,110,LLM reading: Cooking oil is itself the adulterated product.,"seized soyabean oil worth Rs 34,500 on suspicion adulteration",relevant,1.0,Cooking oil is itself the adulterated product.,adulterated_product,cooking oil,adulteration; seized; food safety; Food Safety Department; inspection,,title_only,title_oils_enforcement,a726b5fb-58e4-43a8-afe6-1e9f5cffb5b2,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\fbae0b67f39e4fa3.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\fbae0b67f39e4fa3.txt,"INDORE: Indore district administration on Wednesday collected samples of cooking oil from a wholesale shop and seized soyabean oil worth Rs 34,500 on suspicion adulteration.
Acting on a complaint, collector 
Manish Singh and ADM Abhay Bedekar had instructed food safety department to carry out an inspection at M/S Sangeeta Traders in Tigariya. âIn the inspection, the team found sale, packing and storage of the cooking oil,â the ADM said, adding that the team collected five samples of loose cooking oil and seized 247 kg of cooking oil worth Rs 34,580.
Bedekar said that the oil was seized on suspicion of adulteration.
An FIR has been lodged against proprietor Jinendra Jain."
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,1,relevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,"FDA busts fake edible oil racket, 1,925 litres seized | Nagpur News - Times of India",indiatimes.com,2022-09-03,https://timesofindia.indiatimes.com/city/nagpur/fda-busts-fake-edible-oil-racket-1925-litres-seized/articleshow/93957827.cms,timesofindia.indiatimes.com,2022-09-03,249,"LLM reading: edible oil is itself adulterated, fake, and seized","seized 1,925 litres of inferior quality oil",relevant,1.0,"edible oil is itself adulterated, fake, and seized",adulterated_product,edible oil,adulterated; fake; seized; raid; FDA,,title_only,title_oils_enforcement,b9dc153c-7019-4696-9b9c-f9f601494d43,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\0cc66423908c7613.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\0cc66423908c7613.txt,"Nagpur: The Food and Drugs Administration (FDA) and police jointly busted an adulterated edible oil âmanufacturingâ unit at Mirchi Bazaar in Itwari on August 30 and seized 1,925 litres of inferior quality oil worth Rs2.77 lakh.
It is learnt the joint squad also found substantial quantity of oil manufactured by some reputed companies from the premises of M/s Shankar Trading Company.
An offence of cheating and forgery has been registered against the company and its representatives by FDA at Lakadganj police station.
The FDA team under assistant commissioner Abhay Deshpande and joint commissioner Suresh Annapure seized around 1,108kg edible oil packaged with fake labels and seal of a reputed manufacturer. Similarly, 598kg oil packaged as that of another branded company was also recovered, apart from more quantity and recycled tin containers.
Deshpande said the alleged racketeers had been recycling tin containers of reputed brands and selling them after filling with inferior quality edible oil by pasting new labels and duplicate packing seals. 
âThe racketeers were refilling inferior quality edible oils and using lookalike seals of the branded companies. The oil the racketeers were selling may be dangerous for health. To lure customers, the oil adulterated was being sold at lower prices,â the officials said.
âSamples of the oil seized during the raid would be sent to government laboratory for analysis. Action would be initiated based on the findings,â said Deshpande.
An offence has been registered against Shankar Duragkar and two others by the FDA team at Lakadganj police station."
2,round_02_mediacloud_not_terms_title_proximity,"MediaCloud Indian collections, Jan 1 2021 to Jun 23 2026, Round 1 positive terms plus human-approved NOT terms, title-only and proximity-heavy retrieval; human-reviewed relevance labels with metadata-rescue append.",2021-01-01,2026-06-23,edible_oil_adulteration_round_02_2026-06-23,1,relevant,human_reviewed,oil_relevance_review.xlsx:relevant,relevant,1.0,FDA adopts zero-tolerance policy for edible oil sold loose and in reused tins | Nagpur News - Times of India,indiatimes.com,2022-10-04,https://timesofindia.indiatimes.com/city/nagpur/fda-adopts-zero-tolerance-policy-for-edible-oil-sold-loose-and-in-reused-tins/articleshow/94628169.cms,timesofindia.indiatimes.com,2022-10-04,323,LLM reading: edible oil is itself the adulterated product,loose edible oils have higher chances of being adulterated,relevant,1.0,edible oil is itself the adulterated product,adulterated_product,edible oil; loose oil; loose edible oil,adulterated; substandard; seized; raid; raided; food safety; FDA; crackdown,,title_only,title_oils_enforcement,65315d3a-7d04-4b6c-9350-35d3cfa4231f,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\125da51801489b89.txt,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oil_adulteration_round_02_2026-06-23\mediacloud\cleaned_text\timesofindia.indiatimes.com\125da51801489b89.txt,"Nagpur: The Food and drugs administration (FDA) has stepped up its crackdown on edible oils sold loose and also in reused tins.
In 2022 till date, FDA has seized 2,075 kgs of edible oils worth more than Rs 2.99 lakhs. These seizures were from traders found violating norms. The raids were conducted by assistant commissioner Abhay Deshpande and joint commissioner Suresh Annapure.
On September 19, FDA had raided a grocery shop at Saoner seizing around 358 kg loose oil worth Rs 46,542.
On September 27, around 686.8 kgs of loose edible oil worth Rs 86,536 were seized from M/s Shree Trading company, Rameshwari Road, belonging to one Amritlal Sahu.
Deshpande said selling of loose edible oil is prohibited as per the regulations mentioned in the Food Safety and Standard Act, 2002. âThe loose edible oils have higher chances of being adulterated and substandard quality. Consumers should not go for cheaper loose edible oils and face health complications,â said Deshpande.
FDA, continuing its raiding actions, have commenced a consistent drive against the unscrupulous traders selling loose edible oil in reused tins.
Around 6,684.85 kgs of edible oils worth more than Rs 10.46 lakhs were seized this year by FDA team.
On September 16, FDA team conducted a raid at Prabhu Trading at Quetta Colony seizing more than 802 kgs of edible oil worth more than Rs 1.41 lakhs.
In yet another raid on September 26, the FDA team had seized 973.4 kgs of edible oils worth more than Rs 1.19 lakhs stored in reused tins from the premises of M/s Mohandas Hariram and company at Teliapura.
Deshpande said oil merchants associations and traders' bodies were told not to sell oil in loose quantities. âThere would be periodic and random raids on oil merchants and traders,â said Deshpande stating reused tins can prove perilous for health as âno one knows whether they were properly cleaned or dried before refilling with labels of the branded companiesâ."
