keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,source_round_number,next_round_target,keyword_source_scope,keyword_source_article_count,example_article_id,example_domain,example_source,example_publication_date,example_human_label,example_word_count
oil,phrase_frequency; tfidf; yake,3,1.0,587,73,1.0,0.187489,1.0,0.973333,0.792872,other_candidate,manual_review,statistically strong phrase but not in edible-oil categories,1,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms,"Nashik: The Food and Drugs Administration (FDA) raided an oil mill in Trimbakeshwar and seized four tanks containing 7,000kg of refined soybean oil worth over Rs 9 lakh on...",1,2,human_relevant_articles_only,75,86bac12e-b8a4-4295-bbda-5e5606b6982b,timesofindia.indiatimes.com,indiatimes.com,2021-03-10,relevant,232
food safety,phrase_frequency; tfidf; yake,3,1.0,125,52,0.303653,0.187498,0.212947,0.693333,0.389095,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms,"...hose into manufacturing should ensure that the edible oil is stored in hygienic conditions. In this case, our food safety officers found that the concerned owner was not just far from observing hygienic practices during the manufac...",1,2,human_relevant_articles_only,75,86bac12e-b8a4-4295-bbda-5e5606b6982b,timesofindia.indiatimes.com,indiatimes.com,2021-03-10,relevant,232
cooking oil,phrase_frequency; tfidf; yake,3,1.0,69,24,0.239836,0.187462,0.117547,0.32,0.29644,oil/product,manual_review,food/product term is relevant but not strong enough alone,3,FSSAI urges states to enforce ban on blending of mustard oil with other cooking oils - BusinessToday,https://www.businesstoday.in/current/economy-politics/fssai-urges-states-to-enforce-ban-on-blending-of-mustard-oil-with-other-cooking-oils/story/441253.html,"...ator FSSAI has asked states to effectively enforce the decision to ban blending of mustard oil with any other cooking oil from June 8. In its notification dated March 8, the FSSAI had prohibited the blending of mustard oil for prod...",1,2,human_relevant_articles_only,75,5bd477ba-ebfb-400d-86db-068f50cb697d,businesstoday.in,businesstoday.in,2021-06-09,relevant,215
mustard oil,phrase_frequency; tfidf; yake,3,1.0,71,20,0.261017,0.187465,0.120954,0.266667,0.296365,oil/product,manual_review,food/product term is relevant but not strong enough alone,3,FSSAI urges states to enforce ban on blending of mustard oil with other cooking oils - BusinessToday,https://www.businesstoday.in/current/economy-politics/fssai-urges-states-to-enforce-ban-on-blending-of-mustard-oil-with-other-cooking-oils/story/441253.html,"Food regulator FSSAI has asked states to effectively enforce the decision to ban blending of mustard oil with any other cooking oil from June 8. In its notification dated March 8, the FSSAI had prohibited the blend...",1,2,human_relevant_articles_only,75,5bd477ba-ebfb-400d-86db-068f50cb697d,businesstoday.in,businesstoday.in,2021-06-09,relevant,215
edible oil,phrase_frequency; tfidf; yake,3,1.0,60,32,0.196466,0.187468,0.102215,0.426667,0.294962,oil/product,manual_review,food/product term is relevant but not strong enough alone,1,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms,"...nformation that an oil mill owner was violating the government rules of manufacturing oil and not storing the edible oil in hygienic conditions. The raid was conducted by food officers S S Deore, A U Raskar under the guidance of S...",1,2,human_relevant_articles_only,75,86bac12e-b8a4-4295-bbda-5e5606b6982b,timesofindia.indiatimes.com,indiatimes.com,2021-03-10,relevant,232
coconut oil,phrase_frequency; tfidf; yake,3,1.0,57,13,0.275119,0.187441,0.097104,0.173333,0.283717,oil/product,manual_review,food/product term is relevant but not strong enough alone,8,185 spurious mustard oil cans seized in Burrabazar | Kolkata News - Times of India,https://timesofindia.indiatimes.com/city/kolkata/185-spurious-mustard-oil-cans-seized-in-burrabazar/articleshow/87938067.cms,...e level of adulteration was found to be higher in unpackaged samples of mustard and soybean oil and absent in coconut oil. Studies have also stated that adulteration was commonly practised in non-branded foods. âIncrease in consume...,1,2,human_relevant_articles_only,75,64217ea7-1449-4966-8d6d-4251d3416f7f,timesofindia.indiatimes.com,indiatimes.com,2021-11-27,relevant,527
adulterated,phrase_frequency; tfidf,2,0.666667,97,34,0.291629,0.0,0.165247,0.453333,0.261524,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,6,"Nagpur: Adulterated edible oil racket busted, 3 booked | Nagpur News - Times of India",https://timesofindia.indiatimes.com/city/nagpur/adulterated-edible-oil-racket-busted-3-booked/articleshow/83588940.cms,NAGPUR: Tehsil police on Tuesday busted an adulterated edible oil manufacturing unit and booked three persons in this connection. The cops led by senior PI Jayesh...,1,2,human_relevant_articles_only,75,0d9a2856-24c4-4691-9b90-a08bca13e55c,timesofindia.indiatimes.com,indiatimes.com,2021-06-17,relevant,186
seized,phrase_frequency; tfidf,2,0.666667,84,39,0.268407,0.0,0.143101,0.52,0.260074,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms,"Nashik: The Food and Drugs Administration (FDA) raided an oil mill in Trimbakeshwar and seized four tanks containing 7,000kg of refined soybean oil worth over Rs 9 lakh on Monday. C D Salunkhe, the joint...",1,2,human_relevant_articles_only,75,86bac12e-b8a4-4295-bbda-5e5606b6982b,timesofindia.indiatimes.com,indiatimes.com,2021-03-10,relevant,232
food safety department,phrase_frequency; tfidf; yake,3,1.0,20,10,0.101703,0.187491,0.034072,0.133333,0.20758,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,16,"Loose Cooking Oil Seized, Fir Lodged Against Proprietor | Indore News - Times of India",https://timesofindia.indiatimes.com/city/indore/loose-cooking-oil-seized-fir-lodged-against-proprietor/articleshow/93627772.cms,"...n suspicion adulteration. Acting on a complaint, collector Manish Singh and ADM Abhay Bedekar had instructed food safety department to carry out an inspection at M/S Sangeeta Traders in Tigariya. âIn the inspection, the team found sale, pack...",1,2,human_relevant_articles_only,75,5e2a0e28-ddbc-4f64-8245-ec60dfe80e4f,timesofindia.indiatimes.com,indiatimes.com,2022-08-18,relevant,110
adulteration,phrase_frequency; tfidf,2,0.666667,61,26,0.200345,0.0,0.103918,0.346667,0.204375,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,7,SPECS presents report on adulteration in Mustard Oil,https://garhwalpost.in/specs-presents-report-on-adulteration-in-mustard-oil/,"By Our Staff Reporter Dehradun, 28 Oct: SPECS held a campaign on testing of adulteration in Mustard oil from June to September. Volunteers collected 469 samples from Dehradun, Vikas Nagar, Doiwala,...",1,2,human_relevant_articles_only,75,126dd605-80a2-4c79-8f67-9c58cc4d3180,garhwalpost.in,garhwalpost.in,2021-10-30,relevant,336
