term,category,source,use,reason,review_excel_row,original_label,composite_score,total_frequency,document_frequency,example_article_title
adulterated ghee and oil,product,review_workbook,mixed_oil_ghee_only,Product/oil term for combination with fraud or enforcement signals.,24,manual_review,0.310447,5,1,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized"
coconut oil,product,review_workbook,query_component,Product/oil term for combination with fraud or enforcement signals.,8,keep_core,0.505832,8,2,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India
cooking oil,product,manual_addition,query_component,Common synonym found in sample title/text; useful for public-facing news queries.,,,,,,
edible oil,product,review_workbook,query_component,Product/oil term for combination with fraud or enforcement signals.,6,keep_core,0.527678,9,4,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized"
ghee and oil,product,review_workbook,mixed_oil_ghee_only,Product/oil term for combination with fraud or enforcement signals.,25,manual_review,0.309029,7,1,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized"
groundnut oil,product,review_workbook,query_component,Product/oil term for combination with fraud or enforcement signals.,64,manual_review,0.093214,2,1,15000 litres of adulterated cooking oil seized by FSSAI
mustard oil,product,review_workbook,query_component,Product/oil term for combination with fraud or enforcement signals.,12,keep_core,0.43379,4,2,Over 4 lakh litres seized in drive against substandard edible oil in UP
olive oil,product,user_keep,query_component,Explicitly kept by user despite low sample signal.,,,,,,
palm oil,product,review_workbook,query_component,Product/oil term for combination with fraud or enforcement signals.,65,manual_review,0.074702,3,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized"
soybean oil,product,review_workbook,query_component,Product/oil term for combination with fraud or enforcement signals.,11,keep_core,0.442707,4,3,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized"
vegetable oil,product,review_workbook,query_component,Product/oil term for combination with fraud or enforcement signals.,60,manual_review,0.13289,3,1,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India"
adulterated,fraud,review_workbook,query_component,Fraud/adulteration signal for combination with oil-product terms.,2,keep_core,0.785423,34,7,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized"
adulterated food,fraud,review_workbook,combine_only,Fraud/adulteration signal for combination with oil-product terms.,9,keep_core,0.489209,6,4,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized"
adulterated food business,fraud,review_workbook,query_component,Fraud/adulteration signal for combination with oil-product terms.,50,manual_review,0.293476,1,1,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized"
adulterated food items,fraud,review_workbook,query_component,Fraud/adulteration signal for combination with oil-product terms.,46,manual_review,0.297881,1,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized"
adulterated food products,fraud,review_workbook,query_component,Fraud/adulteration signal for combination with oil-product terms.,21,manual_review,0.320157,2,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized"
adulterated foods,fraud,review_workbook,query_component,Fraud/adulteration signal for combination with oil-product terms.,49,manual_review,0.293527,1,1,Tea to ice-creams: Food adulteration on the rise in Hyderabad | Hyderabad News - Times of India
