corpus,food_pool,cause,cause_role,effect,triplet_rows,distinct_sources,mean_confidence,example_url,example_evidence
FSSAI baseline,FSSAI baseline,hot smoking,other,killparasites,1,1,0.9,markdown/chapter_2_6_fish_and_fish_products.md,hot smoking is generally sufficient to kill parasites
FSSAI baseline,FSSAI baseline,hot smoking,other,destroynonsporulatingpathogens,1,1,0.9,markdown/chapter_2_6_fish_and_fish_products.md,to destroy non-sporulating bacterial pathogens
FSSAI baseline,FSSAI baseline,hot smoking,other,injurespores,1,1,0.9,markdown/chapter_2_6_fish_and_fish_products.md,and to injure spores of human health concern
FSSAI baseline,FSSAI baseline,cinnamomum zeylanicum blume,adulterant,pregnant women,1,1,0.85,markdown/compendium_nutra_29_09_2021.md,Not recommended during
FSSAI baseline,FSSAI baseline,operculina turpethum,adulterant,children,1,1,0.95,markdown/compendium_nutra_29_09_2021.md,Not recommended for children
News,Milk,ethylene glycol,adulterant,renal failure,30,23,0.9167,https://www.thenewsminute.com/andhra-pradesh/death-toll-due-to-adulterated-milk-in-andhra-pradesh-rises-to-12,as many as 20 persons suffered acute renal failure after they consumed milk adulterated with Ethylene Glycol
News,Milk,acute renal failure,other,fflo acuteeffect,19,17,0.9316,https://www.thenewsminute.com/andhra-pradesh/death-toll-due-to-adulterated-milk-in-andhra-pradesh-rises-to-12,acute renal failure
News,Milk,ethylene glycol,adulterant,anuria,10,10,0.885,https://www.thenewsminute.com/andhra-pradesh/death-toll-due-to-adulterated-milk-in-andhra-pradesh-rises-to-12,milk adulterated with Ethylene Glycol
News,Milk,ethylene glycol,adulterant,multi-organ failure,10,9,0.94,https://www.thehindu.com/news/national/andhra-pradesh/death-toll-in-andhra-milk-adulteration-case/article70772116.ece,victims died of multi-organ failure triggered by acute renal failure after consuming milk contaminated with the toxic substance ethylene glycol
News,Milk,unknown adulterant,adulterant,renal failure,9,9,0.8722,https://www.siasat.com/ap-adulterated-milk-claims-4-lives-in-rajamahendravaram-3374087/,contaminated milk caused kidney (renal) failure
News,Milk,adulterated milk,adulterant,death,9,8,0.8833,https://www.hindustantimes.com/cities/others/andhra-milk-adulteration-govt-announces-rs-10-lakh-ex-gratia-for-deceased-101771840048537.html,died after allegedly consuming adulterated milk
News,Milk,unknown adulterant,adulterant,anuria,7,7,0.85,https://www.deccanchronicle.com/southern-states/andhra-pradesh/death-toll-rises-to-12-in-rajamahendravaram-milk-adulteration-incident-1943119,symptoms such as anuria
News,Milk,ethylene glycol,adulterant,vomiting,8,6,0.8875,https://www.news18.com/cities/hyderabad-news/sweet-death-why-ethylene-glycol-an-antifreeze-chemical-is-lurking-in-andhras-milk-ws-l-9991605.html,"Early symptoms that occur within hours are nausea, vomiting, abdominal pain, and dizziness."
News,Milk,ethylene oxide,adulterant,cancer/carcinogenicity,10,5,0.875,https://www.tribuneindia.com/news/business/fssai-to-inspect-all-manufacturers-in-its-crackdown-on-spurious-spices-617328,"ethylene oxide, which is unfit for human consumption and a cancer risk"
News,Milk,pesticide residue,adulterant,cancer/carcinogenicity,6,5,0.875,https://countercurrents.org/2021/11/cultivating-resistance-food-dependency-and-dispossession/,"exposure in pregnancy and childhood is linked to birth defects, diabetes and cancer"
News,Milk,poison,adulterant,death,5,5,0.86,https://www.tribuneindia.com/news/jalandhar/poisoned-by-parents-villagers-perform-last-rites-of-3-minor-girls-550530,"Three girls, who were poisoned to death by their parents"
News,Milk,kidney failure,other,fflo acuteeffect,5,5,0.84,https://www.hindustantimes.com/cities/others/andhra-milk-adulteration-govt-announces-rs-10-lakh-ex-gratia-for-deceased-101771840048537.html,"kidney failure, leading to sudden urinary blockage and death"
News,Milk,water,adulterant,death,6,4,0.8667,https://www.freepressjournal.in/indore/indore-water-tragedy-survivors-recount-horror-after-consuming-contaminated-water,claiming multiple lives overnight as residents across several localities died
