keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context
ghee,phrase_frequency; tfidf; yake,3,1.0,139,11,1.0,0.090092,1.0,1.0,0.772523,ghee/product,keep_core,clear ghee product term found in sample text,1,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,"...smantled an alleged inter-state network involved in the manufacture and distribution of suspected counterfeit ghee, seizing more than 6,500 litres of suspected adulterated products and related raw materials during coordinate..."
adulterated,phrase_frequency; tfidf; yake,3,1.0,54,10,0.470265,0.089841,0.388489,0.909091,0.48169,adulteration/fraud,keep_core,strong domain term for combining with ghee-product terms,1,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,"...n the manufacture and distribution of suspected counterfeit ghee, seizing more than 6,500 litres of suspected adulterated products and related raw materials during coordinated operations in Delhi and Haryana. The enforcement action..."
adulterated ghee,phrase_frequency; tfidf; yake,3,1.0,40,10,0.350351,0.090116,0.28777,0.909091,0.424681,incident/action phrase,keep_core,combined ghee/adulteration/enforcement phrase,1,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,"...ith local police authorities. Commenting on the operation, Mahla stated, “We have seized around 6500 litre of adulterated ghee. It was manufactured with vegetable and animal fat as per the lab report. It was a good operation with FSSAI..."
cow ghee,phrase_frequency; tfidf; yake,3,1.0,17,5,0.182108,0.09001,0.122302,0.454545,0.272767,ghee/product,keep_core,clear ghee product term found in sample text,1,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,"...” The investigation was initiated after officials observed digital and print advertisements promoting premium cow ghee and regular ghee lacking mandatory FSSAI licence details and prescribed labelling information. Subsequently,..."
desi ghee,phrase_frequency; yake,2,0.666667,6,3,0.0,0.089658,0.043165,0.272727,0.136465,ghee/product,keep_core,clear ghee product term found in sample text,2,"Udaipur authorities seize 18,000 litres of suspected adulterated ghee, yellow food colour",https://www.telegraphindia.com/india/udaipur-authorities-seize-18000-litres-of-suspected-adulterated-ghee-yellow-food-colour/cid/2163223,"...d Food Products, where ghee was being manufactured and stored under multiple brands, including 'Udaipur Fresh Desi Ghee', 'Udaipur Fresh Cow Ghee', 'Madhya Desi Ghee' and 'Jayant Cow Ghee' PTI Published 30.05.26, 11:40 PM Represe..."
pure ghee,phrase_frequency,1,0.333333,5,3,0.0,0.0,0.035971,0.272727,0.079638,ghee/product,keep_core,clear ghee product term found in sample text,3,"2,000 kg Fake Ghee Worth Rs 14 Lakh Seized In Surat Factory Operating For 2 Years",https://www.ndtv.com/food/2-000-kg-fake-ghee-worth-rs-14-lakh-seized-in-surat-factory-operating-for-2-years-11367765,"...on.​ Investigators said the accused had set up a systematic adulteration process in which small quantities of pure ghee were mixed with palm oil, vegetable ghee and vegetable butter.​ Artificial essence was added to replicate the..."
loose ghee,phrase_frequency,1,0.333333,3,1,0.0,0.0,0.021583,0.090909,0.050207,ghee/product,keep_core,clear ghee product term found in sample text,8,"Jalna Factory Raided For Making Fake Ghee, Rs 13 Lakh Stock Seized",https://www.rediff.com/news/report/fda-seizes-adulterated-ghee-worth-rs-13-lakh-in-jalna/20260604.htm,"...to create ghee resembling genuine dairy products. - Eight food samples, including five branded ghee products, loose ghee, refined soybean oil, and essence, were collected for laboratory analysis. - The factory has been sealed, and..."
seized,phrase_frequency; tfidf,2,0.666667,38,10,0.329589,0.0,0.273381,0.909091,0.359394,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,"...), FSSAI, in collaboration with local police authorities. Commenting on the operation, Mahla stated, “We have seized around 6500 litre of adulterated ghee. It was manufactured with vegetable and animal fat as per the lab repor..."
food safety,phrase_frequency; tfidf; yake,3,1.0,24,8,0.258882,0.090102,0.172662,0.727273,0.348125,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,The Food Safety and Standards Authority of India (FSSAI) has dismantled an alleged inter-state network involved in the manufa...
fake,phrase_frequency; tfidf,2,0.666667,29,8,0.307945,0.0,0.208633,0.727273,0.314833,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,3,"2,000 kg Fake Ghee Worth Rs 14 Lakh Seized In Surat Factory Operating For 2 Years",https://www.ndtv.com/food/2-000-kg-fake-ghee-worth-rs-14-lakh-seized-in-surat-factory-operating-for-2-years-11367765,"...Google PlayDownload on the App Store facebooktwitterinstagramlinkedinyoutubewhatsappthreadssnapchat 2,000 kg Fake Ghee Worth Rs 14 Lakh Seized In Surat Factory Operating For 2 Years facebook;) twitter;) WhatsApp;) Settings..."
