keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,source_round_number,next_round_target,keyword_source_scope,keyword_source_article_count,example_article_id,example_domain,example_source,example_publication_date,example_human_label,example_word_count
palm oil,phrase_frequency; tfidf,2,0.666667,806,107,0.566813,0.0,0.363063,0.509524,0.395939,oil/product,keep_core,clear edible-oil product term found in sample text,14,Blended edible oil beneficial: FSSAI | Today News,https://www.livemint.com/news/india/blended-edible-oil-beneficial-fssai-11697567700962.html,"...mt of edible oil, nearly 60% of its total annual domestic consumption. The country primarily imports 8 mt of palm oil, 2.7 mt of soybean oil and 2 mt of sunflower oil. India produces a negligible amount sunflower seeds and sunf...",1,2,human_irrelevant_articles_only,210,20fcaf5a-642c-47df-aa70-1885af131081,livemint.com,livemint.com,2023-10-18,irrelevant,526
oil,phrase_frequency; tfidf,2,0.666667,2220,197,1.0,0.0,1.0,0.938095,0.707381,other_candidate,manual_review,statistically strong phrase but not in edible-oil categories,1,Patanjali's mustard oil unit in Alwar raided by Rajasthan govt: Report,https://www.opindia.com/2021/05/patanjali-mustard-oil-mill-alwar-raided-rajasthan-gehlot/,"...mark on allopathy, it has now been reported that Alwar collectorate officials have raided Patanjali’s mustard oil manufacturer Singhania oil mill. As per a Republic World report, a raid was conducted on the mill on the orde...",1,2,human_irrelevant_articles_only,210,38237e4f-6b76-4d23-a854-743bda65fd24,opindia.com,opindia.com,2021-05-27,irrelevant,343
maharashtra by the state,yake,1,0.333333,1,1,0.0,1.0,0.00045,0.004762,0.284115,location,manual_review,location term; useful only if we decide to add geography-specific queries,20,Fake cheese? McDonald's responds after vegetable oil found in burgers and nuggets,https://www.indiatoday.in/business/story/mcdonalds-responds-to-fake-cheese-crackdown-maharashtra-fda-2506260-2024-02-23?utm_source=rss,"...ne and high-quality cheese in its cheese-containing products, following a crackdown on some of its outlets in Maharashtra by the state’s Food & Drugs Administration (FDA). The Maharashtra FDA has found some of the fast-food giant’s outlets in t...",1,2,human_irrelevant_articles_only,210,96db122f-e011-4696-9986-db76ebfd6be2,indiatoday.in,indiatoday.in,2024-02-23,irrelevant,402
ban,phrase_frequency; tfidf,2,0.666667,401,99,0.30544,0.0,0.180631,0.471429,0.271379,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,14,Blended edible oil beneficial: FSSAI | Today News,https://www.livemint.com/news/india/blended-edible-oil-beneficial-fssai-11697567700962.html,...e government found through a field survey that there was an increase in mustard oilseed area post the FSSAI’s ban on the blending of mustard oil for production of multi-sourced edible vegetable oils (MSEVOs) with effect in...,1,2,human_irrelevant_articles_only,210,20fcaf5a-642c-47df-aa70-1885af131081,livemint.com,livemint.com,2023-10-18,irrelevant,526
cooking oil,phrase_frequency; tfidf,2,0.666667,335,85,0.283245,0.0,0.150901,0.404762,0.249152,oil/product,manual_review,food/product term is relevant but not strong enough alone,2,Cooking Oil Adulteration: Is your cooking oil adulterated with dangerous metanil yellow colour?,https://timesofindia.indiatimes.com/life-style/food-news/is-your-cooking-oil-adulterated-with-dangerous-metanil-yellow-colour/photostory/86060302.cms,"...is week, they have shared a test video on how to detect the use of a prohibited colour like metanil yellow in cooking oil. Here’s how you can check the adulteration at home. (Image: istock) 1. Take a sample of 1 ml oil in a test tu...",1,2,human_irrelevant_articles_only,210,bce54b87-7d6e-45a4-9273-40ad87a634c8,timesofindia.indiatimes.com,indiatimes.com,2021-09-09,irrelevant,303
edible oil,phrase_frequency; tfidf,2,0.666667,265,110,0.192799,0.0,0.119369,0.52381,0.230623,oil/product,manual_review,food/product term is relevant but not strong enough alone,4,FDA urges âbigâ hotels to hand over excess edible oil for bio-diesel | Nagpur News - Times of India,https://timesofindia.indiatimes.com/city/nagpur/fda-urges-big-hotels-to-hand-over-excess-edible-oil-for-bio-diesel/articleshow/88797263.cms,Nagpur: The Food and Drugs Administration (FDA) has urged eight city hotels â where edible oil consumption is more than 50 litres per day â to hand over their excess edible used oils for bio-diesel recycl...,1,2,human_irrelevant_articles_only,210,8881cf6e-374b-42f1-af1d-40e11f97d7df,timesofindia.indiatimes.com,indiatimes.com,2022-01-10,irrelevant,392
sunflower oil,phrase_frequency; tfidf,2,0.666667,112,57,0.110376,0.0,0.05045,0.271429,0.15358,oil/product,manual_review,food/product term is relevant but not strong enough alone,6,Vig Raids To Check Edible Oil Hoarding | Vijayawada News - Times of India,https://timesofindia.indiatimes.com/city/vijayawada/vig-raids-to-check-edible-oil-hoarding/articleshow/90039485.cms,...Russia-Ukraine conflict. The raids followed complaints of artificial crisis on the pretext that the supply of sunflower oil got disrupted because of the ongoing conflict between Russia and Ukraine. India imports nearly 80 to 90 per c...,1,2,human_irrelevant_articles_only,210,6a9cc28d-e0d0-4c6b-a20e-28e01f86f537,timesofindia.indiatimes.com,indiatimes.com,2022-03-07,irrelevant,275
vegetable oil,phrase_frequency; tfidf,2,0.666667,97,56,0.104646,0.0,0.043694,0.266667,0.149847,oil/product,manual_review,food/product term is relevant but not strong enough alone,14,Blended edible oil beneficial: FSSAI | Today News,https://www.livemint.com/news/india/blended-edible-oil-beneficial-fssai-11697567700962.html,"...FSSAI regulations, blending of two edible oils is permitted, provided the proportion by weight of any edible vegetable oil used is at least 20%. Companies are obliged to disclose the blending ratio on the label of the bottle. “The i...",1,2,human_irrelevant_articles_only,210,20fcaf5a-642c-47df-aa70-1885af131081,livemint.com,livemint.com,2023-10-18,irrelevant,526
crude palm oil,phrase_frequency; tfidf,2,0.666667,105,56,0.099407,0.0,0.047297,0.266667,0.148554,oil/product,manual_review,food/product term is relevant but not strong enough alone,40,"Sebi bans launch of new derivative contracts of crude palm oil, few other agri commodities",https://www.financialexpress.com/market/commodities/sebi-bans-launch-of-new-derivative-contracts-of-crude-palm-oil-few-other-agri-commodities/2384767/,"Markets watchdog Sebi has banned the launch of new derivative contracts of crude palm oil, moong, wheat and few other agricultural commodities with immediate effect amid rising inflation. With respec...",1,2,human_irrelevant_articles_only,210,ec80beb1-bbc7-4489-88d9-94cbc3ee3c41,financialexpress.com,financialexpress.com,2021-12-20,irrelevant,595
export ban,phrase_frequency; tfidf,2,0.666667,100,48,0.111893,0.0,0.045045,0.228571,0.146872,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,43,Palm oil ban: Edible oil industry asks govt to initiate dialogue with Indonesia - BusinessToday,https://www.businesstoday.in/industry/story/palm-oil-ban-edible-oil-industry-asks-govt-to-initiate-dialogue-with-indonesia-331104-2022-04-25,"...ested immediate initiation of government to government (G2G) dialogue with Indonesia on the proposed palm oil export ban from April 28 by them as it would have an adverse repercussions in India. Indonesia, which is the world's lar...",1,2,human_irrelevant_articles_only,210,6f6ba76d-9689-4d3c-808b-f21963237165,businesstoday.in,businesstoday.in,2022-04-25,irrelevant,482
