keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,source_round_number,next_round_target,keyword_source_scope,keyword_source_article_count,example_article_id,example_domain,example_source,example_publication_date,example_human_label,example_word_count,prior_keyword_match_file,normalized_keyword
seized,phrase_frequency; tfidf; yake,3,1.0,21,6,0.606858,0.988422,0.5,0.75,0.747006,enforcement/evidence,keep_core,strong domain term for combining with oil-product terms,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major success in seizing 5,026 litres of oil and 5,192 kilograms of whea...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,seized
fda,phrase_frequency; tfidf; yake,3,1.0,21,2,0.713643,0.997639,0.5,0.25,0.711685,enforcement/evidence,keep_core,strong domain term for combining with oil-product terms,3,"Maha govt, FDA crack down on oil manufacturers to check on adulteration",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,"The state department had raided a factory in Vashi area of Navi Mumbai on Tuesday, while the FDA conducted operations at units in Bhiwandi and Mira Road, the official said. The raids were conducted based on...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,73b65d61-f75b-4ffb-b24c-4ac55b55aa40,economictimes.indiatimes.com,indiatimes.com,2022-01-28,relevant,132,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,fda
food safety,phrase_frequency; tfidf; yake,3,1.0,12,3,0.525251,0.999209,0.285714,0.375,0.632747,enforcement/evidence,keep_core,strong domain term for combining with oil-product terms,6,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"Jaipur: Food Safety and Drug Control Commissionerate teams on Tuesday seized 6,683 litre of edible oil in Muhana Mandi and 6,000...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,944ebc0e-5af0-4d5f-96cd-1a0080566898,timesofindia.indiatimes.com,indiatimes.com,2024-05-22,relevant,317,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,food safety
edible oil,phrase_frequency; tfidf; yake,3,1.0,5,4,0.188429,0.980696,0.119048,0.5,0.503981,oil/product,keep_core,clear edible-oil product term found in sample text,2,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,"...and deputy registrar of co-operative societies. Three members of a family had died after consumption of unfit edible oil in Sept, after which the health department had issued an advisory and conducted a probe. Navdeep Singh said t...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,50a6a07a-2c71-452c-8ced-2ee1133ccfa5,timesofindia.indiatimes.com,indiatimes.com,2024-11-27,relevant,385,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,edible oil
soybean oil,phrase_frequency; tfidf; yake,3,1.0,5,2,0.243659,0.972813,0.119048,0.25,0.483841,oil/product,keep_core,clear edible-oil product term found in sample text,7,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,"...details of the batch number of the oil being manufactured here,"" Kumar said. A total of 291 tins of refined soybean oil, 3,968 pouches of refined soybean oil and 6,995 pouches of refined palmolein oil were seized. Three samples w...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ed3cfd3b-e129-4945-88ec-d3900ed3ab50,timesofindia.indiatimes.com,indiatimes.com,2026-02-24,relevant,291,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,soybean oil
palm oil,phrase_frequency; tfidf; yake,3,1.0,3,2,0.181008,0.958491,0.071429,0.25,0.45119,oil/product,keep_core,clear edible-oil product term found in sample text,3,"Maha govt, FDA crack down on oil manufacturers to check on adulteration",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,"...were conducted based on information about adulteration of sunflower oil, which was allegedly being mixed with palm oil and sold in Mumbai and parts of Maharashtra such as Panvel, Alibaug, Raigad, among others, said Kamlesh D Ked...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,73b65d61-f75b-4ffb-b24c-4ac55b55aa40,economictimes.indiatimes.com,indiatimes.com,2022-01-28,relevant,132,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,palm oil
oil,phrase_frequency; tfidf; yake,3,1.0,42,8,1.0,0.999451,1.0,1.0,0.999863,other_candidate,manual_review,statistically strong phrase but not in edible-oil categories,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major success in seizing 5,026 litres of oil...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,oil
samples,phrase_frequency; tfidf; yake,3,1.0,13,6,0.448311,0.976786,0.309524,0.75,0.660034,other_candidate,manual_review,statistically strong phrase but not in edible-oil categories,2,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,...ound the affected family sourced mustard seeds from three places. They said adulteration was confirmed in oil samples tested in a lab. The affected family had extracted oil from raw seeds given to them by a religious devotee. T...,2,3,new_unique_round_02_rescue_relevant_articles_only,8,50a6a07a-2c71-452c-8ced-2ee1133ccfa5,timesofindia.indiatimes.com,indiatimes.com,2024-11-27,relevant,385,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,sample
oils,phrase_frequency; tfidf; yake,3,1.0,5,2,0.212842,0.961002,0.119048,0.25,0.470102,other_candidate,manual_review,statistically strong phrase but not in edible-oil categories,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown on food adulte...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,oil
edible oils,phrase_frequency; tfidf; yake,3,1.0,4,2,0.17073,0.97483,0.095238,0.25,0.455249,other_candidate,manual_review,statistically strong phrase but not in edible-oil categories,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...during the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown on food adulte...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,reports\edible_oil_adulteration_round_01\keyword_review\round_01_keyword_candidates.csv,edible oil
