url,title,source,date,query_family,query_used,domain
https://economictimes.indiatimes.com/news/india/maharashtra-fda-bans-serving-food-in-newspapers-issues-statewide-food-safety-order/articleshow/131985800.cms,"Maharashtra FDA bans serving food in newspapers, issues statewide food safety order",indiatimes.com,2026-06-25,proximity,"(""unhygienic oil""~8 AND language:en) AND NOT (ghee OR vanaspati OR Indonesia OR ""Joko Widodo"" OR rupiah OR ""oil exports"" OR ""export ban"" OR futures OR derivatives OR SEBI OR ""stock market"" OR ""solvent extractors association"" OR ""million tonnes"" OR ""sports drinks"" OR biodiesel OR ""bio-diesel"" OR soda OR diesel OR heroin OR ""hidden in cooking oil cargo"")",economictimes.indiatimes.com
https://www.hindustantimes.com/lifestyle/recipe/quick-and-easy-coconut-curry-chicken-soup-a-wholesome-recipe-you-should-try-at-home-this-monsoon-under-30-minutes-101782278626797.html,Quick And Easy Coconut Curry Chicken Soup: A Wholesome Recipe You Should Try At Home This Monsoon Under 30 Minutes,hindustantimes.com,2026-06-24,boolean,"((""mustard oil"" OR ""palm oil"" OR ""soybean oil"" OR ""sunflower oil"" OR ""groundnut oil"" OR ""coconut oil"" OR ""rice bran oil"" OR ""cottonseed oil"" OR ""sesame oil"" OR ""olive oil"" OR ""rapeseed-mustard oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati OR Indonesia OR ""Joko Widodo"" OR rupiah OR ""rupiah per litre"" OR ""oil exports"" OR ""export ban"" OR futures OR derivative OR derivatives OR SEBI OR ""stock market"" OR ""domestic market"" OR ""solvent extractors association"" OR ""million tonnes"" OR ""million tonne"" OR ""sports drinks"" OR ""reused cooking oil"" OR biodiesel OR ""bio-diesel"" OR soda OR diesel OR heroin OR ""hidden in cooking oil cargo"")",hindustantimes.com
https://www.thehindu.com/news/national/kerala/operation-toofan-over-400-arrested-in-kozhikode-this-month/article71142006.ece,‘Operation Toofan’: over 400 arrested in Kozhikode this month,thehindu.com,2026-06-24,proximity,"(""oil seized""~8 AND language:en) AND NOT (ghee OR vanaspati OR Indonesia OR ""Joko Widodo"" OR rupiah OR ""rupiah per litre"" OR ""oil exports"" OR ""export ban"" OR futures OR derivative OR derivatives OR SEBI OR ""stock market"" OR ""domestic market"" OR ""solvent extractors association"" OR ""million tonnes"" OR ""million tonne"" OR ""sports drinks"" OR ""reused cooking oil"" OR biodiesel OR ""bio-diesel"" OR soda OR diesel OR heroin OR ""hidden in cooking oil cargo"")",thehindu.com
https://www.sentinelassam.com/breakingnews/diners-raise-concerns-over-overpricing-and-hygiene-at-highway-eateries,Diners Raise Concerns Over Overpricing and Hygiene at Highway Eateries,sentinelassam.com,2026-06-20,boolean,"((FSDA OR ""food safety department"") AND (""edible oil"" OR ""cooking oil"" OR ""mustard oil"" OR ""vegetable oil"" OR ""palm oil"" OR ""coconut oil"" OR ""groundnut oil"" OR ""soybean oil"" OR ""sunflower oil"" OR ""edible oils"" OR ""cooking oils"" OR oils) AND (FSSAI OR FDA OR FSDA OR ""food safety"" OR ""food safety officer"" OR raid* OR seiz* OR ""sample collected"" OR ""samples collected"" OR ""lab test"" OR ""quality test"" OR ""sample failed"" OR ""samples failed"" OR ""license suspended"" OR ""licence suspended"" OR crackdown) AND language:en) AND NOT (ghee OR vanaspati OR Indonesia OR ""Joko Widodo"" OR rupiah OR ""oil exports"" OR ""export ban"" OR futures OR derivatives OR SEBI OR ""stock market"" OR ""solvent extractors association"" OR ""million tonnes"" OR ""sports drinks"" OR biodiesel OR ""bio-diesel"" OR soda OR diesel OR heroin OR ""hidden in cooking oil cargo"")",sentinelassam.com
https://indianexpress.com/article/upsc-current-affairs/upsc-essentials/upsc-subject-wise-quiz-week-166-10735298/,UPSC Essentials | Daily subject-wise quiz,indianexpress.com,2026-06-11,boolean,"(""unhygienic"" AND (""edible oil"" OR ""cooking oil"" OR ""mustard oil"" OR ""vegetable oil"" OR ""palm oil"" OR ""coconut oil"" OR ""groundnut oil"" OR ""soybean oil"" OR ""sunflower oil"" OR ""edible oils"" OR ""cooking oils"" OR oils) AND (FSSAI OR FDA OR FSDA) AND India AND language:en) AND NOT (ghee OR vanaspati OR Indonesia OR ""Joko Widodo"" OR rupiah OR ""oil exports"" OR ""export ban"" OR futures OR derivatives OR SEBI OR ""stock market"" OR ""solvent extractors association"" OR ""million tonnes"" OR ""sports drinks"" OR biodiesel OR ""bio-diesel"" OR soda OR diesel OR heroin OR ""hidden in cooking oil cargo"")",indianexpress.com
https://indianexpress.com/article/lifestyle/health/why-fssai-has-warned-against-wrapping-food-in-newspapers-10731091/,Why FSSAI has warned against wrapping food in newspapers,indianexpress.com,2026-06-09,boolean,"(""unhygienic"" AND (""edible oil"" OR ""cooking oil"" OR ""mustard oil"" OR ""vegetable oil"" OR ""palm oil"" OR ""coconut oil"" OR ""groundnut oil"" OR ""soybean oil"" OR ""sunflower oil"" OR ""edible oils"" OR ""cooking oils"" OR oils) AND (FSSAI OR FDA OR FSDA) AND India AND language:en) AND NOT (ghee OR vanaspati OR Indonesia OR ""Joko Widodo"" OR rupiah OR ""oil exports"" OR ""export ban"" OR futures OR derivatives OR SEBI OR ""stock market"" OR ""solvent extractors association"" OR ""million tonnes"" OR ""sports drinks"" OR biodiesel OR ""bio-diesel"" OR soda OR diesel OR heroin OR ""hidden in cooking oil cargo"")",indianexpress.com
https://www.thehindu.com/news/cities/Hyderabad/food-safety-raids-at-hyderabad-bakery-brewery-uncover-expired-food-pest-infestation-hygiene-violations/article71003523.ece,"Food safety raids at Hyderabad bakery, brewery uncover expired food, pest infestation, hygiene violations",thehindu.com,2026-05-21,boolean,"((FSDA OR ""food safety department"") AND (""edible oil"" OR ""cooking oil"" OR ""mustard oil"" OR ""vegetable oil"" OR ""palm oil"" OR ""coconut oil"" OR ""groundnut oil"" OR ""soybean oil"" OR ""sunflower oil"" OR ""edible oils"" OR ""cooking oils"" OR oils) AND (FSSAI OR FDA OR FSDA OR ""food safety"" OR ""food safety officer"" OR raid* OR seiz* OR ""sample collected"" OR ""samples collected"" OR ""lab test"" OR ""quality test"" OR ""sample failed"" OR ""samples failed"" OR ""license suspended"" OR ""licence suspended"" OR crackdown) AND language:en) AND NOT (ghee OR vanaspati OR Indonesia OR ""Joko Widodo"" OR rupiah OR ""oil exports"" OR ""export ban"" OR futures OR derivatives OR SEBI OR ""stock market"" OR ""solvent extractors association"" OR ""million tonnes"" OR ""sports drinks"" OR biodiesel OR ""bio-diesel"" OR soda OR diesel OR heroin OR ""hidden in cooking oil cargo"")",thehindu.com
https://www.thehindu.com/news/cities/Hyderabad/pest-infested-flour-decayed-vegetables-meat-waste-found-at-hyderabads-lulu-hypermarket-during-food-safety-inspection/article70996619.ece,"Pest-infested flour, decayed vegetables, meat waste found at Hyderabad’s Lulu Hypermarket during food safety inspection",thehindu.com,2026-05-19,boolean,"((FSDA OR ""food safety department"") AND (""edible oil"" OR ""cooking oil"" OR ""mustard oil"" OR ""vegetable oil"" OR ""palm oil"" OR ""coconut oil"" OR ""groundnut oil"" OR ""soybean oil"" OR ""sunflower oil"" OR ""edible oils"" OR ""cooking oils"" OR oils) AND (FSSAI OR FDA OR FSDA OR ""food safety"" OR ""food safety officer"" OR raid* OR seiz* OR ""sample collected"" OR ""samples collected"" OR ""lab test"" OR ""quality test"" OR ""sample failed"" OR ""samples failed"" OR ""license suspended"" OR ""licence suspended"" OR crackdown) AND language:en) AND NOT (ghee OR vanaspati OR Indonesia OR ""Joko Widodo"" OR rupiah OR ""oil exports"" OR ""export ban"" OR futures OR derivatives OR SEBI OR ""stock market"" OR ""solvent extractors association"" OR ""million tonnes"" OR ""sports drinks"" OR biodiesel OR ""bio-diesel"" OR soda OR diesel OR heroin OR ""hidden in cooking oil cargo"")",thehindu.com
https://www.hindustantimes.com/cities/gurugram-news/gurugram-fake-mounjaro-racket-traces-china-link-online-sales-network-101776828290263.html,"Gurugram fake Mounjaro racket traces China link, online sales network",hindustantimes.com,2026-04-22,boolean,"((""food and drug administration"" OR FDA OR FSDA) AND (""edible oil"" OR ""cooking oil"" OR ""mustard oil"" OR ""vegetable oil"" OR ""palm oil"" OR ""coconut oil"" OR ""groundnut oil"" OR ""soybean oil"" OR ""sunflower oil"" OR ""edible oils"" OR ""cooking oils"" OR oils) AND (raid* OR seiz*) AND India AND language:en) AND NOT (ghee OR vanaspati OR Indonesia OR ""Joko Widodo"" OR rupiah OR ""oil exports"" OR ""export ban"" OR futures OR derivatives OR SEBI OR ""stock market"" OR ""solvent extractors association"" OR ""million tonnes"" OR ""sports drinks"" OR biodiesel OR ""bio-diesel"" OR soda OR diesel OR heroin OR ""hidden in cooking oil cargo"")",hindustantimes.com
https://www.siasat.com/beauty-personal-care-regulations-in-india-progress-pitfalls-and-road-ahead-3454232/,"Beauty, personal care regulations in India: Progress, pitfalls and road ahead",siasat.com,2026-04-16,boolean,"((""food and drug administration"" OR FDA OR FSDA) AND (""edible oil"" OR ""cooking oil"" OR ""mustard oil"" OR ""vegetable oil"" OR ""palm oil"" OR ""coconut oil"" OR ""groundnut oil"" OR ""soybean oil"" OR ""sunflower oil"" OR ""edible oils"" OR ""cooking oils"" OR oils) AND (raid* OR seiz*) AND India AND language:en) AND NOT (ghee OR vanaspati OR Indonesia OR ""Joko Widodo"" OR rupiah OR ""oil exports"" OR ""export ban"" OR futures OR derivatives OR SEBI OR ""stock market"" OR ""solvent extractors association"" OR ""million tonnes"" OR ""sports drinks"" OR biodiesel OR ""bio-diesel"" OR soda OR diesel OR heroin OR ""hidden in cooking oil cargo"")",siasat.com
