keep,keyword_or_keyphrase,review_label,source,category,composite_score,methods_found,method_count,total_frequency,document_frequency,review_reason,example_article_title,example_context,example_url,source_round_number,next_round_target
,tainted edible oil,keep_core,rescue_manual,adulteration/fraud,,manual_article_read,1,1,1,direct edible-oil safety/adulteration phrase from a new relevant article title,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India Patiala: The Patiala deputy commissioner has constituted a five-member committee under Nabha S...,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,2,3
,unfit edible oil,keep_core,rescue_manual,adulteration/fraud,,manual_article_read,1,1,1,direct edible-oil safety phrase from a new relevant article body,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,"...ha senior medical officer and deputy registrar of co-operative societies. Three members of a family had died after consumption of unfit edible oil in Sept, after which the health department had issued an advisory and conducted a probe. Navdeep Singh said the committee will no...",https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,2,3
,mislabelled oils,keep_core,rescue_manual,adulteration/fraud,,manual_article_read,1,2,1,direct edible-oil mislabelling phrase from a new relevant article title,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar","Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar The drive was carried out to ens...",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,2,3
,samples,manual_review,extraction_unique_r2_relevant,other_candidate,0.54778,phrase_frequency; tfidf; yake,3,34,12,statistically strong phrase but not in edible-oil categories,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India","DEHRADUN: The district food and drug department on Monday received quality test reports of 19 food items, the samples of which were collected from the state capital in the last two months. According to the reports, adulteration...",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,2,3
,edible,manual_review,extraction_unique_r2_relevant,other_candidate,0.504611,phrase_frequency; tfidf; yake,3,29,13,statistically strong phrase but not in edible-oil categories,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India","...from the manufacturers of the products which were found substandard. The official added that five samples of edible oil, 23 samples of milk and related products, six products of sweet, three cereal-based products, chips, spic...",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,2,3
,refined soybean oil,manual_review,extraction_unique_r2_relevant,oil/product,0.315553,phrase_frequency; tfidf; yake,3,7,4,food/product term is relevant but not strong enough alone,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"...nder unhygienic conditions. In addition, 800 kg of edible oil â including 600 kg of mustard oil and 200 kg of refined soybean oil â worth about Rs 1.3 lakh was seized from local shops. Samples were also collected from well-known establishm...",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,food adulteration,manual_review,extraction_unique_r2_relevant,adulteration/fraud,0.307126,phrase_frequency; tfidf; yake,3,6,4,domain term is plausible but weaker or too broad,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"Agra:Ahead of Diwali, officials have stepped up efforts to curb food adulteration. The Food Safety and Drug Administration (FSDA) carried out swift operations across districts to ensure that...",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,edible oil traders,manual_review,extraction_unique_r2_relevant,oil/product,0.289296,phrase_frequency; tfidf; yake,3,4,2,food/product term is relevant but not strong enough alone,50 cases registered during raids on oil shops in A.P.     ,"...the Vigilance and Enforcement (V&E), Legal Metrology and Food Safety departments raided wholesale and retail edible oil traders across the State on Wednesday. Raids were conducted in more than 250 places as the teams verified the stock,...",https://www.thehindu.com/news/national/andhra-pradesh/50-cases-registered-during-raids-on-oil-shops-in-ap/article65360803.ece,2,3
,fda officials,manual_review,extraction_unique_r2_relevant,enforcement/evidence,0.284592,phrase_frequency; tfidf; yake,3,5,2,domain term is plausible but weaker or too broad,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",...nt parts of the district over the last 15-20 days. The total amount of seized items is worth over Rs 20 lakh. FDA officials said that teams were formed to conduct raids in various outlets to prevent the sale of adulterated food items...,https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,2,3
,adulterated food items,manual_review,extraction_unique_r2_relevant,adulteration/fraud,0.206878,phrase_frequency; yake,2,3,2,domain term is plausible but weaker or too broad,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized","...bad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, machinery, and vehicles worth Rs 64.07 lakh, and arresting 28 individuals associated with the units, sources...",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,2,3
