round_number,final_keep,final_human_label,title,source,date,url,domain,oil_role,model_final_label,model_confidence,reason,evidence_phrase,query_family,query_id,human_review_status,word_count
1,1,relevant,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,indiatimes.com,2021-03-10,https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: edible oil is itself the adulterated product,"seized four tanks containing 7,000kg of refined soybean oil",title_only,title_oils_enforcement,human_reviewed,232
1,1,relevant,Patanjali mustard oil found to be of substandard food quality: Rajasthan govt,indiatoday.in,2021-06-10,https://www.indiatoday.in/india/rajasthan/story/patanjali-mustard-oil-substandard-quality-rajasthan-govt-1812995-2021-06-10?utm_source=rss,indiatoday.in,adulterated_product,relevant,1.0,LLM reading: Mustard oil is itself the adulterated food product.,Mustard oil sold by Baba Ramdev’s company Patanjali has been found to be of substandard quality...,boolean,boolean_named_oils_fraud,human_reviewed,259
1,1,relevant,"Nagpur: Adulterated edible oil racket busted, 3 booked | Nagpur News - Times of India",indiatimes.com,2021-06-17,https://timesofindia.indiatimes.com/city/nagpur/adulterated-edible-oil-racket-busted-3-booked/articleshow/83588940.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: adulterated edible oil manufacturing unit and seized a huge quantity of adulterated oil being marketed as reputed brands,"28 15-litre tins of impure edible oil, fake stickers and other material",boolean,boolean_core_oils_fraud,human_reviewed,186
1,1,relevant,SPECS presents report on adulteration in Mustard Oil,garhwalpost.in,2021-10-30,https://garhwalpost.in/specs-presents-report-on-adulteration-in-mustard-oil/,garhwalpost.in,adulterated_product,relevant,1.0,LLM reading: Mustard oil is itself the adulterated food product.,As many as 415 samples were found adulterated out of 469 samples of Mustard oil.,boolean,boolean_named_oils_fraud,human_reviewed,336
1,1,relevant,185 spurious mustard oil cans seized in Burrabazar | Kolkata News - Times of India,indiatimes.com,2021-11-27,https://timesofindia.indiatimes.com/city/kolkata/185-spurious-mustard-oil-cans-seized-in-burrabazar/articleshow/87938067.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: Mustard oil is itself the adulterated product.,The EB have seized huge stocks of adulterated mustard oil from three godowns in Burrabazar.,boolean,boolean_core_oils_fraud,human_reviewed,527
1,1,relevant,"FSSAI says 2.42% of 4,461 different edible oils samples found to be of sub-standard quality",financialexpress.com,2021-12-29,https://www.financialexpress.com/industry/fssai-says-2-42-of-4461-different-edible-oils-samples-found-to-be-of-sub-standard-quality/2393346/,financialexpress.com,adulterated_product,relevant,1.0,LLM reading: edible oil adulteration incident,"2.42 per cent of the 4,461 samples of different edible oils from 587 districts and four metros are found to be non-compliant with safety parameters",boolean,boolean_oils_enforcement_evidence,human_reviewed,466
1,1,relevant,24% edible oil samples adulterated: FSSAI | Today News,livemint.com,2021-12-29,https://www.livemint.com/news/india/24-edible-oil-samples-adulterated-fssai-11640775486648.html,livemint.com,adulterated_product,relevant,1.0,"LLM reading: edible oil samples adulterated, failed quality metrics","24.2% or 1,080 samples were non-compliant on various quality metrics.",boolean,boolean_core_oils_fraud,human_reviewed,487
1,1,relevant,â¹50-lakh Worth Edible Oil Seized | Visakhapatnam News - Times of India,indiatimes.com,2022-03-08,https://timesofindia.indiatimes.com/city/visakhapatnam/50-lakh-worth-edible-oil-seized/articleshow/90063876.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: edible oil is the adulterated product,"47,141 liters of edible oil from a wholesale dealer",title_only,title_oils_enforcement,conflict_resolved,71
1,1,relevant,Fsda Busts Unit Making Adulterated Vegetable Oil | Varanasi News - Times of India,indiatimes.com,2022-05-22,https://timesofindia.indiatimes.com/city/varanasi/fsda-busts-unit-making-adulterated-vegetable-oil/articleshow/91716833.cms,timesofindia.indiatimes.com,adulterated_product,relevant,1.0,LLM reading: adulterated vegetable oil is the main subject of the article,adulterated oil was being packed in containers of prominent mustard and soyabean oil brands,boolean,boolean_oils_enforcement_evidence,human_reviewed,238
1,1,relevant,Delhi govt carrying out drive against adulteration of edible oils,theweek.in,2022-08-12,http://www.theweek.in/news/biz-tech/2022/08/12/delhi-govt-carrying-out-drive-against-adulteration-of-edible-oil.html,theweek.in,adulterated_product,relevant,1.0,LLM reading: edible oil adulteration drive mentioned,"Focus of this drive is to identify adulteration in multi source edible oils (MSEO) and other edible oils like soyabean oil, rice bran oil, sunflower oil, among others.",boolean,boolean_oils_enforcement_evidence,human_reviewed,258
