audit_decision,audit_label,audit_confidence,audit_reason,audit_evidence,final_label,title,source,date,url,oil_role,reason,evidence_phrase,llm_label,llm_reason,edible_oil_terms,adulteration_action_terms,negative_terms,word_count
confirm_reject,irrelevant,1.0,"The article discusses the ban of Brominated Vegetable Oil (BVO) in food and soda, but does not mention any edible oil as being adulterated or unsafe.",Brominated Vegetable Oil,irrelevant,FDA to ban Brominated Vegetable Oil in soda and food; here’s how it was impacting your health,indiatimes.com,2023-11-03,https://economictimes.indiatimes.com/news/international/us/fda-to-ban-brominated-vegetable-oil-in-soda-and-food-heres-how-it-was-impacting-your-health/articleshow/104950776.cms,adulterated_product,LLM reading: Brominated Vegetable Oil is not an edible oil/cooking oil/mustard oil/refined oil/palm oil/soybean oil/groundnut oil/sesame oil/sunflower oil/rice bran oil/cottonseed oil/coconut oil/olive oil,"The FDA's stance is rooted in findings from collaborative studies conducted with the National Institutes of Health, revealing potential adverse health effects associated with this commonly used ingredient.",irrelevant,Brominated Vegetable Oil is not an edible oil/cooking oil/mustard oil/refined oil/palm oil/soybean oil/groundnut oil/sesame oil/sunflower oil/rice bran oil/cottonseed oil/coconut oil/olive oil,vegetable oil,food safety; FDA; banned,,544
confirm_reject,irrelevant,1.0,"The article is about banning brominated vegetable oil in sports drinks, not about adulteration or safety issues with edible oils.","brominated vegetable oil, a once widely used food ingredient found in popular beverages like Gatorade and Mountain Dew",irrelevant,California leads the way as FDA moves to outlaw brominated vegetable oil in sports drinks - Times of India,indiatimes.com,2023-11-03,https://timesofindia.indiatimes.com/world/us/california-leads-the-way-as-fda-moves-to-outlaw-brominated-vegetable-oil-in-sports-drinks/articleshow/104949719.cms,adulterated_product,"LLM reading: The article is about banning brominated vegetable oil in sports drinks, not about adulteration or safety issues with edible oils.","brominated vegetable oil, a once widely used food ingredient found in popular beverages like Gatorade and Mountain Dew",irrelevant,"The article is about banning brominated vegetable oil in sports drinks, not about adulteration or safety issues with edible oils.",vegetable oil,FDA; banned,,423
confirm_reject,irrelevant,1.0,"oil is an adulterant in cheese, not a standalone adulterated food product","items like 'cheese nuggets', 'cheesy dip', and 'cheeseburger' were being labelled as such without indicating that the cheese was a substitute",irrelevant,"Maharashtra FDA cracks down on McDonald's, catches fast food major using cheap vegetable oil in place of cheese",indiatimes.com,2024-02-23,https://economictimes.indiatimes.com/industry/cons-products/food/maha-fda-cracks-down-on-mcdonalds-catches-fast-food-major-using-cheap-vegetable-oil-in-place-of-cheese/articleshow/107934081.cms,adulterated_product,"LLM reading: oil is an adulterant in cheese, not a standalone adulterated food product","items like 'cheese nuggets', 'cheesy dip', and 'cheeseburger' were being labelled as such without indicating that the cheese was a substitute",irrelevant,"oil is an adulterant in cheese, not a standalone adulterated food product",vegetable oil,FDA; inspection,,372
confirm_reject,irrelevant,1.0,oil is an adulterant in another food (cheese),"The substitutes, allegedly identified in several McDonald's items, typically replace milk or dairy fat with cost-effective vegetable oil.",irrelevant, Fast-food giant replacing cheese with cheaper vegetable oil: Maharashtra FDA | India News - The Times of India,indiatimes.com,2024-02-23,https://timesofindia.indiatimes.com/india/fast-food-giant-replacing-cheese-with-cheaper-vegetable-oil-maharashtra-fda/articleshow/107923964.cms,adulterated_product,LLM reading: oil is an adulterant in another food (cheese),"The substitutes, allegedly identified in several McDonald's items, typically replace milk or dairy fat with cost-effective vegetable oil.",irrelevant,oil is an adulterant in another food (cheese),vegetable oil,FDA; inspection,,307
confirm_reject,irrelevant,1.0,"oil is an adulterant in cheese, not the main product being adulterated",It may be noted that cheese analogues are basically made to mimic the taste and texture of traditional dairy cheese and often replace diary fat with more economical vegetable oil.,irrelevant,Fake cheese? McDonald's responds after vegetable oil found in burgers and nuggets,indiatoday.in,2024-02-23,https://www.indiatoday.in/business/story/mcdonalds-responds-to-fake-cheese-crackdown-maharashtra-fda-2506260-2024-02-23?utm_source=rss,adulterated_product,"LLM reading: oil is an adulterant in cheese, not the main product being adulterated",It may be noted that cheese analogues are basically made to mimic the taste and texture of traditional dairy cheese and often replace diary fat with more economical vegetable oil.,irrelevant,"oil is an adulterant in cheese, not the main product being adulterated",vegetable oil,fake; FDA; crackdown,,402
confirm_reject,irrelevant,1.0,oil is an adulterant in another food (cheese),"items like 'cheese nuggets', 'cheesy dip', and 'cheese burger' were being labelled as such without indicating that the cheese was a substitute",irrelevant,"'Use only milk-based real cheese,' McDonald's says after Maharashtra FDA accuses fast food giant of using vegetable oil - Times of India",indiatimes.com,2024-02-24,https://timesofindia.indiatimes.com/business/india-business/use-only-milk-based-real-cheese-mcdonalds-says-after-maharashtra-fda-accuses-fast-food-giant-of-using-vegetable-oil/articleshow/107958419.cms,adulterated_product,LLM reading: oil is an adulterant in another food (cheese),"items like 'cheese nuggets', 'cheesy dip', and 'cheese burger' were being labelled as such without indicating that the cheese was a substitute",irrelevant,oil is an adulterant in another food (cheese),vegetable oil,FDA; inspection,,459
confirm_reject,irrelevant,1.0,"BVO is an ingredient in food, but the article does not mention edible oil as the adulterated product.",The FDA said it had concluded that BVO was not safe for use after the results of studies...,irrelevant,"US FDA to ban use of brominated vegetable oil in food, soda",indianexpress.com,2024-07-03,https://indianexpress.com/article/world/us-fda-to-ban-use-of-brominated-vegetable-oil-in-food-soda-9429422/,adulterated_product,"LLM reading: BVO is an ingredient in food, but the article does not mention edible oil as the adulterated product.",The FDA said it had concluded that BVO was not safe for use after the results of studies...,irrelevant,"BVO is an ingredient in food, but the article does not mention edible oil as the adulterated product.",vegetable oil,FDA; banned,,386
confirm_reject,irrelevant,1.0,"oil is merely an adulterant in another food (syrup) and the context is about transportation, not adulteration","The Beijing News reported last week that Sinograin's fuel tankers were discovered transporting food products such as cooking oil, soybean oil, and syrup without properly cleaning the tankers between shipments.",irrelevant,"Food safety scandal: Fuel tanker trucks used to transport cooking oil in China, suggests report - Times of India",indiatimes.com,2024-07-10,https://timesofindia.indiatimes.com/world/china/food-safety-scandal-fuel-tanker-trucks-used-to-transport-cooking-oil-in-china-suggests-report/articleshow/111628414.cms,adulterated_product,"LLM reading: oil is merely an adulterant in another food (syrup) and the context is about transportation, not adulteration","The Beijing News reported last week that Sinograin's fuel tankers were discovered transporting food products such as cooking oil, soybean oil, and syrup without properly cleaning the tankers between shipments.",irrelevant,"oil is merely an adulterant in another food (syrup) and the context is about transportation, not adulteration",cooking oil; soybean oil,contamination; food safety,,346
confirm_reject,irrelevant,1.0,"article discusses a scandal involving cooking oil contamination in China, but does not mention any specific type of edible oil as the adulterated product",tankers used for transporting fuel,irrelevant,What is the cooking oil contamination scandal in China? Here's all you need to know,indiatimes.com,2024-07-12,https://economictimes.indiatimes.com/news/international/us/what-is-the-cooking-oil-contamination-scandal-in-china-heres-all-you-need-to-know/articleshow/111669695.cms,adulterated_product,"LLM reading: article discusses a scandal involving cooking oil contamination in China, but does not mention any specific type of edible oil as the adulterated product",tankers used for transporting fuel,irrelevant,"article discusses a scandal involving cooking oil contamination in China, but does not mention any specific type of edible oil as the adulterated product",cooking oil,contamination; food safety; inspection,,363
confirm_reject,irrelevant,1.0,no mention of edible oil adulteration in article,,irrelevant,"Kerala seizes 17,000 litres of fake coconut oil, raids intensified ahead of Onam",uniindia.com,2025-08-20,http://www.uniindia.com/kerala-seizes-17-000-litres-of-fake-coconut-oil-raids-intensified-ahead-of-onam/south/news/3550881.html,adulterated_product,LLM reading: no mention of edible oil adulteration in article,"Kerala seizes 17,000 litres of fake coconut oil, raids intensified ahead of Onam More News22 Jun 2026 | 3:50 PMKhammam, June 22 (UNI) Telangana Deputy Chi",irrelevant,no mention of edible oil adulteration in article,coconut oil,fake,,287
