keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,source_round_number,next_round_target,keyword_source_scope,keyword_source_article_count
samples,phrase_frequency; tfidf; yake,3,1.0,34,12,0.507177,0.477071,0.34,0.666667,0.54778,other_candidate,manual_review,statistically strong phrase but not in edible-oil categories,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"DEHRADUN: The district food and drug department on Monday received quality test reports of 19 food items, the samples of which were collected from the state capital in the last two months. According to the reports, adulteration...",2,3,unique_round_02_relevant_articles_only,18
edible,phrase_frequency; tfidf; yake,3,1.0,29,13,0.382343,0.47583,0.29,0.722222,0.504611,other_candidate,manual_review,statistically strong phrase but not in edible-oil categories,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"...from the manufacturers of the products which were found substandard. The official added that five samples of edible oil, 23 samples of milk and related products, six products of sweet, three cereal-based products, chips, spic...",2,3,unique_round_02_relevant_articles_only,18
refined soybean oil,phrase_frequency; tfidf; yake,3,1.0,7,4,0.150149,0.476669,0.07,0.222222,0.315553,oil/product,manual_review,food/product term is relevant but not strong enough alone,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...nder unhygienic conditions. In addition, 800 kg of edible oil â including 600 kg of mustard oil and 200 kg of refined soybean oil â worth about Rs 1.3 lakh was seized from local shops. Samples were also collected from well-known establishm...",2,3,unique_round_02_relevant_articles_only,18
food adulteration,phrase_frequency; tfidf; yake,3,1.0,6,4,0.129996,0.477175,0.06,0.222222,0.307126,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"Agra:Ahead of Diwali, officials have stepped up efforts to curb food adulteration. The Food Safety and Drug Administration (FSDA) carried out swift operations across districts to ensure that...",2,3,unique_round_02_relevant_articles_only,18
edible oil traders,phrase_frequency; tfidf; yake,3,1.0,4,2,0.134538,0.478164,0.04,0.111111,0.289296,oil/product,manual_review,food/product term is relevant but not strong enough alone,13,50 cases registered during raids on oil shops in A.P.     ,https://www.thehindu.com/news/national/andhra-pradesh/50-cases-registered-during-raids-on-oil-shops-in-ap/article65360803.ece,"...the Vigilance and Enforcement (V&E), Legal Metrology and Food Safety departments raided wholesale and retail edible oil traders across the State on Wednesday. Raids were conducted in more than 250 places as the teams verified the stock,...",2,3,unique_round_02_relevant_articles_only,18
fda officials,phrase_frequency; tfidf; yake,3,1.0,5,2,0.118858,0.4753,0.05,0.111111,0.284592,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,9,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,...nt parts of the district over the last 15-20 days. The total amount of seized items is worth over Rs 20 lakh. FDA officials said that teams were formed to conduct raids in various outlets to prevent the sale of adulterated food items...,2,3,unique_round_02_relevant_articles_only,18
adulterated food items,phrase_frequency; yake,2,0.666667,3,2,0.0,0.476178,0.03,0.111111,0.206878,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,5,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...bad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, machinery, and vehicles worth Rs 64.07 lakh, and arresting 28 individuals associated with the units, sources...",2,3,unique_round_02_relevant_articles_only,18
edible oil samples,phrase_frequency; yake,2,0.666667,2,2,0.0,0.477609,0.02,0.111111,0.205736,oil/product,manual_review,food/product term is relevant but not strong enough alone,14,"Maharashtra News: Minister Narhari Zirwal Announces Suspension Of 2 FDA Officials, Closure Of Nandurbar Factory Over Oil Adulteration",https://www.freepressjournal.in/mumbai/maharashtra-news-minister-narhari-zirwal-announces-suspension-of-2-fda-officials-closure-of-nandurbar-factory-over-oil-adulteration,"...Research Institute (CFTRI) in Mysuru in Karnataka, Zirwal said in the assembly. During 2024-25, a total of 12 edible oil samples were collected in Nandurbar district, out of which five were declared substandard, with legal proceedings ini...",2,3,unique_round_02_relevant_articles_only,18
substandard edible oil,yake,1,0.333333,2,2,0.0,0.47409,0.02,0.111111,0.171523,incident/action phrase,manual_review,incident/action phrase needs human pruning,14,"Maharashtra News: Minister Narhari Zirwal Announces Suspension Of 2 FDA Officials, Closure Of Nandurbar Factory Over Oil Adulteration",https://www.freepressjournal.in/mumbai/maharashtra-news-minister-narhari-zirwal-announces-suspension-of-2-fda-officials-closure-of-nandurbar-factory-over-oil-adulteration,"...cers failed to act, which has now resulted in disciplinary action. Officials found responsible in the case of substandard edible oil in Nandurbar district will be suspended, and the concerned company will be shut down,"" Zirwal informed the Ho...",2,3,unique_round_02_relevant_articles_only,18
edible oil worth,yake,1,0.333333,2,1,0.0,0.47505,0.02,0.055556,0.163429,oil/product,manual_review,food/product term is relevant but not strong enough alone,4,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,"...of Holi, the Food Security and Drug Administration (FSDA) department on Wednesday seized adulterated mawa and edible oil worth Rs 29.08 lakh and destroyed a large quantity of unsafe products. Acting on a tip-off, a special FSDA team rai...",2,3,unique_round_02_relevant_articles_only,18
