not_candidate,risk_flag,irrelevant_category,irrelevant_review_label,irrelevant_composite_score,irrelevant_document_frequency,irrelevant_total_frequency,positive_exact_kept,positive_overlap_terms,example_irrelevant_title,example_context
maharashtra by the state,possible_not_candidate,location,manual_review,0.284115,1,1,0,,Fake cheese? McDonald's responds after vegetable oil found in burgers and nuggets,"...ne and high-quality cheese in its cheese-containing products, following a crackdown on some of its outlets in Maharashtra by the state’s Food & Drugs Administration (FDA). The Maharashtra FDA has found some of the fast-food giant’s outlets in t..."
per cent,possible_not_candidate,other_candidate,drop,0.190559,61,227,0,,Vig Raids To Check Edible Oil Hoarding | Vijayawada News - Times of India,"...r oil got disrupted because of the ongoing conflict between Russia and Ukraine. India imports nearly 80 to 90 per cent of sunflower oil from Ukraine and Russia. Speaking to TOI, additional superintendent of vigilance and enforce..."
million tonnes,possible_not_candidate,other_candidate,drop,0.122728,33,68,0,,Blended edible oil beneficial: FSSAI | Today News,"...22, India is estimated to have produced record-high mustard seeds in the rabi, or winter, crop season of 11.9 million tonnes (mt) against the previous year’s 10.2 mt, according to the agriculture ministry. The FSSAI banned the blendin..."
joko widodo,possible_not_candidate,other_candidate,drop,0.121304,44,48,0,,Indonesia to ban palm oil exports to curb domestic prices - BusinessToday,"Indonesia will effectively ban palm oil exports from April 28, until further notice, after President Joko Widodo on Friday announced a halting of shipments of cooking oil and its raw material to control soaring domestic pr..."
domestic market,possible_not_candidate,other_candidate,drop,0.120083,40,51,0,,"Sebi bans launch of new derivative contracts of crude palm oil, few other agri commodities",...pelled to suspend futures tradings in some farm commodities because of the high prices of cooking oils in the domestic market. “We feel that the futures trading is also important for price discovery. We request the government to revisi...
president joko,possible_not_candidate,other_candidate,drop,0.119638,42,46,0,,Indonesia to ban palm oil exports to curb domestic prices - BusinessToday,"Indonesia will effectively ban palm oil exports from April 28, until further notice, after President Joko Widodo on Friday announced a halting of shipments of cooking oil and its raw material to control soaring dome..."
president joko widodo,possible_not_candidate,other_candidate,drop,0.119638,42,46,0,,Indonesia to ban palm oil exports to curb domestic prices - BusinessToday,"Indonesia will effectively ban palm oil exports from April 28, until further notice, after President Joko Widodo on Friday announced a halting of shipments of cooking oil and its raw material to control soaring domestic pr..."
solvent extractors,possible_not_candidate,other_candidate,drop,0.11776,43,45,0,,"Sebi bans launch of new derivative contracts of crude palm oil, few other agri commodities","...gh of 14.23 per cent amid hardening of prices of mineral oils, basic metals, crude petroleum and natural gas. Solvent Extractors Association of India (SEA) Executive Director B V Mehta said the government was compelled to suspend futures..."
per litre,possible_not_candidate,other_candidate,drop,0.117426,26,53,0,,Indonesia to ban palm oil exports to curb domestic prices - BusinessToday,"..."" it said in a statement. In Indonesia, the retail price of cooking oil averages out at 26,436 rupiah ($1.84) per litre, up more than 40% so far this year. In some provinces across the country, the prices have nearly doubled in t..."
lakh tonnes,possible_not_candidate,other_candidate,drop,0.112693,20,57,0,,India’s edible oil prices may rise due to Indonesia’s export ban on palm oil,"...producer and supplier of palm oil — has announced a ban on its export from April 28. India imports roughly 80 lakh tonnes of palm oil from Indonesia, Malaysia and Thailand annually. Of the approximate six lakh tonnes per month impo..."
