query_number,query_id,query_family,query,raw_records_seen,saved_new_urls,saved_urls_in_db,duplicates_in_run,product_groups,signal_mode,date_start,date_end,breadth,reason
1,phrase_adulterated_ghee,phrase,"(""adulterated ghee"" AND language:en)",1000,1000,1000,0,human_approved_phrase,exact_phrase,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,Direct phrase query from human-approved ghee keywords.
2,phrase_fake_ghee,phrase,"(""fake ghee"" AND language:en)",161,101,101,60,human_approved_phrase,exact_phrase,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,Direct phrase query from human-approved ghee keywords.
3,phrase_fake_cow_ghee,phrase,"(""fake cow ghee"" AND language:en)",0,0,0,0,human_approved_phrase,exact_phrase,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,Direct phrase query from human-approved ghee keywords.
4,phrase_suspected_adulterated_ghee,phrase,"(""suspected adulterated ghee"" AND language:en)",27,4,4,23,human_approved_phrase,exact_phrase,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,Direct phrase query retained after human review.
5,phrase_ghee_racket,phrase,"(""ghee racket"" AND language:en)",31,7,7,24,human_approved_phrase,exact_phrase,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,Direct phrase query retained after human review.
6,phrase_ghee_racket_busted,phrase,"(""ghee racket busted"" AND language:en)",3,0,0,3,human_approved_phrase,exact_phrase,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,Direct phrase query retained after human review.
7,phrase_vegetable_ghee,phrase,"(""vegetable ghee"" AND language:en)",53,46,46,7,human_approved_phrase,exact_phrase,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,Adulterant/context phrase retained after human review.
8,boolean_ghee_products_adulterated_fake,boolean,"((ghee OR ""cow ghee"" OR ""desi ghee"" OR ""pure ghee"" OR ""loose ghee"") AND (adulterated OR fake) AND language:en)",1000,429,429,571,ghee_core_products,adulterated_fake_only,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,Ghee product terms co-occur with approved adulterated/fake terms.
9,boolean_ghee_incident_phrases,boolean,"((""fake ghee"" OR ""fake cow ghee"" OR ""adulterated ghee"" OR ""suspected adulterated ghee"" OR ""ghee racket"" OR ""ghee racket busted"") AND language:en)",1000,0,0,1000,ghee_incident_phrases,phrase_only,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,Human-approved ghee incident phrases are already precise enough for discovery.
10,boolean_ghee_products_enforcement,boolean,"((ghee OR ""cow ghee"" OR ""desi ghee"" OR ""pure ghee"" OR ""loose ghee"") AND ((fssai OR fda OR ""food safety"") OR (raid OR seized)) AND language:en)",1000,488,488,512,ghee_core_products,enforcement_only,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,Ghee terms plus enforcement/evidence language for raid/seizure/lab-test stories.
11,boolean_ghee_products_adulterated_fake_enforcement,boolean,"((ghee OR ""cow ghee"" OR ""desi ghee"" OR ""pure ghee"" OR ""loose ghee"") AND (adulterated OR fake) AND ((fssai OR fda OR ""food safety"") OR (raid OR seized)) AND language:en)",841,234,234,607,ghee_core_products,adulterated_fake_and_enforcement,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,Ghee terms plus approved adulterated/fake and enforcement terms.
12,boolean_ghee_adulterants_context,boolean,"((ghee OR ""cow ghee"" OR ""desi ghee"" OR ""pure ghee"" OR ""loose ghee"") AND (vanaspati OR ""vegetable ghee"") AND ((adulterated OR fake) OR (fssai OR fda OR ""food safety"") OR (raid OR seized)) AND language:en)",148,31,31,117,ghee_core_products,adulterant_context,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,Human-approved adulterant/context terms only when ghee is also present.
13,title_ghee_products_adulterated_fake,title_only,"((article_title:ghee OR article_title:""cow ghee"" OR article_title:""desi ghee"" OR article_title:""pure ghee"" OR article_title:""loose ghee"") AND (article_title:adulterated OR article_title:fake) AND language:en)",285,40,40,245,ghee_core_products,adulterated_fake_terms,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,Ghee product term and approved adulterated/fake term both appear in the title.
14,title_ghee_incident_phrases,title_only,"((article_title:""fake ghee"" OR article_title:""fake cow ghee"" OR article_title:""adulterated ghee"" OR article_title:""suspected adulterated ghee"" OR article_title:""ghee racket"" OR article_title:""ghee racket busted"") AND language:en)",246,0,0,246,ghee_incident_phrases,exact_title_phrase,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,Human-approved ghee incident phrase appears in the title.
15,title_ghee_enforcement,title_only,"((article_title:ghee OR article_title:""cow ghee"" OR article_title:""desi ghee"" OR article_title:""pure ghee"" OR article_title:""loose ghee"") AND (article_title:fssai OR article_title:fda OR article_title:""food safety"" OR article_title:raid OR article_title:seized) AND language:en)",147,30,30,117,ghee_core_products,enforcement_org_terms; enforcement_action_terms,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,Ghee product term and enforcement/evidence term both appear in the title.
16,proximity_ghee_adulterated,proximity,"(""ghee adulterated""~10 AND language:en)",500,0,0,500,phrase_proximity,within_10_words,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,"Find stories where ""ghee adulterated"" terms appear within 10 words."
17,proximity_ghee_fake,proximity,"(""ghee fake""~8 AND language:en)",0,0,0,0,phrase_proximity,within_8_words,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,"Find stories where ""ghee fake"" terms appear within 8 words."
18,proximity_ghee_seized,proximity,"(""ghee seized""~10 AND language:en)",287,25,25,262,phrase_proximity,within_10_words,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,"Find stories where ""ghee seized"" terms appear within 10 words."
19,proximity_ghee_raid,proximity,"(""ghee raid""~10 AND language:en)",86,7,7,79,phrase_proximity,within_10_words,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,"Find stories where ""ghee raid"" terms appear within 10 words."
20,proximity_ghee_food_safety,proximity,"(""ghee food safety""~10 AND language:en)",147,36,36,111,phrase_proximity,within_10_words,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,"Find stories where ""ghee food safety"" terms appear within 10 words."
21,proximity_ghee_fssai,proximity,"(""ghee fssai""~10 AND language:en)",108,24,24,84,phrase_proximity,within_10_words,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,"Find stories where ""ghee fssai"" terms appear within 10 words."
22,proximity_ghee_fda,proximity,"(""ghee fda""~10 AND language:en)",32,3,3,29,phrase_proximity,within_10_words,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,"Find stories where ""ghee fda"" terms appear within 10 words."
23,proximity_cow_ghee_fake,proximity,"(""cow ghee fake""~8 AND language:en)",3,0,0,3,phrase_proximity,within_8_words,2021-01-01,2026-06-30,combined_phrase_boolean_title_proximity,"Find stories where ""cow ghee fake"" terms appear within 8 words."
