keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context
adulterated,phrase_frequency; tfidf; yake,3,1.0,34,7,0.654401,0.994578,0.607143,0.777778,0.785423,adulteration/fraud,keep_core,strong domain term for combining with oil-product terms,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...bad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, machinery, and vehicles worth Rs 64.07 lakh, and arresting 28 individuals associated with the uni..."
seized,phrase_frequency; tfidf; yake,3,1.0,24,6,0.533179,0.988987,0.428571,0.666667,0.698145,enforcement/evidence,keep_core,strong domain term for combining with oil-product terms,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major success in seizing 5,026 litres of oil and 5,192 kilograms of whea..."
food safety,phrase_frequency; tfidf; yake,3,1.0,22,7,0.423573,1.0,0.392857,0.777778,0.673846,enforcement/evidence,keep_core,strong domain term for combining with oil-product terms,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...as the largest crackdown on the fake ghee and oil trade in Jaisalmer district so far. A special team from the Food Safety Department headquarters in Jaipur conducted a surprise raid at a residential property in Lodha Colony, Pokara..."
adulteration,phrase_frequency; tfidf; yake,3,1.0,15,8,0.283655,0.977096,0.267857,0.888889,0.617065,adulteration/fraud,keep_core,strong domain term for combining with oil-product terms,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major succes..."
edible oil,phrase_frequency; tfidf; yake,3,1.0,9,4,0.253527,0.99268,0.160714,0.444444,0.527678,oil/product,keep_core,clear edible-oil product term found in sample text,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...manufacturing unit in Pokaran late Sunday night and seized more than 14,000 kilograms of adulterated ghee and edible oil. The operation is being described as the largest crackdown on the fake ghee and oil trade in Jaisalmer distr..."
food adulteration,phrase_frequency; tfidf; yake,3,1.0,7,6,0.154725,0.992401,0.125,0.666667,0.521004,adulteration/fraud,keep_core,strong domain term for combining with oil-product terms,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major succes..."
coconut oil,phrase_frequency; tfidf; yake,3,1.0,8,2,0.295709,0.990286,0.142857,0.222222,0.505832,oil/product,keep_core,clear edible-oil product term found in sample text,10,Ban on 45 brands of coconut oil | Thiruvananthapuram News - Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,"THIRUVANANTHAPURAM: In a major drive against adulteration of coconut oil, the office of commissioner of food safety has issued a ban on 45 brands of coconut oil, which were found to..."
adulterated food,phrase_frequency; tfidf; yake,3,1.0,6,4,0.164964,0.994935,0.107143,0.444444,0.489209,adulteration/fraud,keep_core,strong domain term for combining with oil-product terms,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,"...bad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, machinery, and vehicles worth Rs 64.07 lakh, and arresting 28 individuals associated with the units, s..."
food safety department,phrase_frequency; tfidf; yake,3,1.0,5,4,0.126038,0.999227,0.089286,0.444444,0.47398,enforcement/evidence,keep_core,strong domain term for combining with oil-product terms,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...as the largest crackdown on the fake ghee and oil trade in Jaisalmer district so far. A special team from the Food Safety Department headquarters in Jaipur conducted a surprise raid at a residential property in Lodha Colony, Pokaran, where ad..."
soybean oil,phrase_frequency; tfidf; yake,3,1.0,4,3,0.115634,0.966085,0.071429,0.333333,0.442707,oil/product,keep_core,clear edible-oil product term found in sample text,2,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...and Standards Act (FSS Act). Authorities seized approximately 10,260 kilograms of adulterated ghee, palm oil, soybean oil, and vanaspati from the site. Subsequently, a raid was conducted at the companyâs warehouse, where officials..."
