keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,example_article_id,example_domain,example_publication_date,example_relevance_label,example_relevance_score,example_query_used,example_word_count
food safety,phrase_frequency; tfidf,2,0.666667,266,92,0.531609,0.0,0.580786,0.901961,0.475142,enforcement/evidence,keep_core,strong domain term for combining with oil-product terms,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...? In a latest series of incidents, the Hyderabad Food Adulteration Surveillance Team (H-FAST), along with the Food Safety Officer (FSO), raided an unlicensed fast food godown in Charminar and the Hyderabad Commissioner's Task Force...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
oil,phrase_frequency; tfidf,2,0.666667,458,96,0.759906,0.0,1.0,0.941176,0.62381,other_candidate,manual_review,statistically strong phrase but not in edible-oil categories,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...in Charminar and seized around 110 kg of prepared fried chicken, half a dozen 15-litre tins of loose cooking oil and artificial chemical food colours. The H-FAST team posted on X,and mentioned that in association with the...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
seized,phrase_frequency; tfidf,2,0.666667,158,66,0.405427,0.0,0.344978,0.647059,0.357372,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...am (H-FAST), along with the Food Safety Officer (FSO), raided an unlicensed fast food godown in Charminar and seized around 110 kg of prepared fried chicken, half a dozen 15-litre tins of loose cooking oil and artificial chemi...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
fssai,phrase_frequency; tfidf,2,0.666667,163,58,0.413717,0.0,0.355895,0.568627,0.350146,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...as being stored under unhygienic conditions. As per the statement, the establishment was operating without an FSSAI licence. They also found prohibited food colours, including MSK Lion Green and Raspberry Red, evidence of the...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
adulterated,phrase_frequency; tfidf,2,0.666667,149,52,0.419051,0.0,0.325328,0.509804,0.338604,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...od adulteration has become every day affair. From ghee to milk, and meat to pulses, every ingredient is being adulterated and every now and then, the same question arises-how far is our food safe? In a latest series of incidents, t...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
fda,phrase_frequency; tfidf,2,0.666667,118,17,0.542414,0.0,0.257642,0.166667,0.320158,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,2,FDA seizes energy drink stock worth Rs 56L over misbranding,https://timesofindia.indiatimes.com/city/aurangabad/fda-seizes-energy-drink-stock-worth-rs-56l-over-misbranding/articleshow/131489352.cms,Chhatrapati Sambhajinagar: Food and drug administration (FDA) officials on Tuesday seized energy drink stock worth over Rs 56 lakh over alleged misbranding after conducti...,af5d5af3-49a7-43ed-9bad-0c1f703198e7,timesofindia.indiatimes.com,2026-06-04,relevant,0.9,"""edible oil"" adulteration India",386
adulteration,phrase_frequency; tfidf,2,0.666667,125,58,0.314963,0.0,0.272926,0.568627,0.303137,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"Food adulteration has become every day affair. From ghee to milk, and meat to pulses, every ingredient is being adulterated and...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
ghee,phrase_frequency; tfidf,2,0.666667,103,27,0.356615,0.0,0.224891,0.264706,0.264922,oil/product,manual_review,ghee can drift into dairy; keep only if you want oil-and-ghee coverage,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"Food adulteration has become every day affair. From ghee to milk, and meat to pulses, every ingredient is being adulterated and every now and then, the same question...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
edible oil,phrase_frequency; tfidf,2,0.666667,81,44,0.257088,0.0,0.176856,0.431373,0.247882,oil/product,manual_review,food/product term is relevant but not strong enough alone,2,FDA seizes energy drink stock worth Rs 56L over misbranding,https://timesofindia.indiatimes.com/city/aurangabad/fda-seizes-energy-drink-stock-worth-rs-56l-over-misbranding/articleshow/131489352.cms,"...sent for lab testing, Patil said. Crackdown in Parbhani & BeedFDA officials seized bakery products and loose edible oil worth Rs 3.5 lakh in a separate action in Parbhani on May 29. Officials said packaged items like âCherry Toas...",af5d5af3-49a7-43ed-9bad-0c1f703198e7,timesofindia.indiatimes.com,2026-06-04,relevant,0.9,"""edible oil"" adulteration India",386
fake,phrase_frequency; tfidf,2,0.666667,78,25,0.293867,0.0,0.170306,0.245098,0.231831,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,"...ther applicable laws. In another case, the Hyderabad Commissioner's Task Force uncovered large-scale sales of fake and misbranded paneer across the city, seizing around 825 kilograms of suspected adulterated products during...",06040b95-a9aa-41e1-a352-268d2f795adc,timesofindia.indiatimes.com,2026-06-20,irrelevant,,"""cooking oil"" adulteration India",927
