term,category,query_role,use,source,source_round_number,next_round_target,reason,original_review_label,original_category,composite_score,document_frequency,total_frequency,methods_found,example_article_title,example_context,example_url
coconut oil,oil/product,product,query_component,review_workbook_keep_1,1,2,Oil/product term for Round 2 Boolean query product group.,manual_review,oil/product,0.283717,13,57,phrase_frequency; tfidf; yake,185 spurious mustard oil cans seized in Burrabazar | Kolkata News - Times of India,...e level of adulteration was found to be higher in unpackaged samples of mustard and soybean oil and absent in coconut oil. Studies have also stated that adulteration was commonly practised in non-branded foods. âIncrease in consume...,https://timesofindia.indiatimes.com/city/kolkata/185-spurious-mustard-oil-cans-seized-in-burrabazar/articleshow/87938067.cms
cooking oil,oil/product,product,query_component,review_workbook_keep_1,1,2,Oil/product term for Round 2 Boolean query product group.,manual_review,oil/product,0.29644,24,69,phrase_frequency; tfidf; yake,FSSAI urges states to enforce ban on blending of mustard oil with other cooking oils - BusinessToday,"...ator FSSAI has asked states to effectively enforce the decision to ban blending of mustard oil with any other cooking oil from June 8. In its notification dated March 8, the FSSAI had prohibited the blending of mustard oil for prod...",https://www.businesstoday.in/current/economy-politics/fssai-urges-states-to-enforce-ban-on-blending-of-mustard-oil-with-other-cooking-oils/story/441253.html
cottonseed oil,oil/product,product,query_component,manual_addition,1,2,Oil/product term approved by user.,,,,,,,,,
edible oil,oil/product,product,query_component,review_workbook_keep_1,1,2,Oil/product term for Round 2 Boolean query product group.,manual_review,oil/product,0.294962,32,60,phrase_frequency; tfidf; yake,FDA seizes edible oil worth over Rs 9L | Nashik News - Times of India,"...nformation that an oil mill owner was violating the government rules of manufacturing oil and not storing the edible oil in hygienic conditions. The raid was conducted by food officers S S Deore, A U Raskar under the guidance of S...",https://timesofindia.indiatimes.com/city/nashik/fda-seizes-edible-oil-worth-over-rs-9l/articleshow/81418956.cms
groundnut oil,oil/product,product,query_component,review_workbook_keep_1,1,2,Oil/product term for Round 2 Boolean query product group.,manual_review,oil/product,0.049122,7,7,phrase_frequency,"FSSAI says 2.42% of 4,461 different edible oils samples found to be of sub-standard quality","...: mustard oil, coconut oil, palm oil, blended oil, cottonseed oil, soybean oil, sunflower oil, safflower oil, groundnut oil, canola oil, rice bran oil, sesame oil, corn oil, flaxseed oil and any other non-listed oils. These samples w...",https://www.financialexpress.com/industry/fssai-says-2-42-of-4461-different-edible-oils-samples-found-to-be-of-sub-standard-quality/2393346/
loose edible oil,oil/product,product,query_component,manual_addition,1,2,Product/market form approved by user.,,,,,,,,,
loose oil,oil/product,product,query_component,manual_addition,1,2,Product/market form approved by user.,,,,,,,,,
mustard oil,oil/product,product,query_component,review_workbook_keep_1,1,2,Oil/product term for Round 2 Boolean query product group.,manual_review,oil/product,0.296365,20,71,phrase_frequency; tfidf; yake,FSSAI urges states to enforce ban on blending of mustard oil with other cooking oils - BusinessToday,"Food regulator FSSAI has asked states to effectively enforce the decision to ban blending of mustard oil with any other cooking oil from June 8. In its notification dated March 8, the FSSAI had prohibited the blend...",https://www.businesstoday.in/current/economy-politics/fssai-urges-states-to-enforce-ban-on-blending-of-mustard-oil-with-other-cooking-oils/story/441253.html
palm oil,oil/product,product,query_component,review_workbook_keep_1,1,2,Oil/product term for Round 2 Boolean query product group.,manual_review,oil/product,0.126424,13,18,phrase_frequency; tfidf,"FSSAI says 2.42% of 4,461 different edible oils samples found to be of sub-standard quality","...rs of various states from 587 districts and four metros. These different oils were: mustard oil, coconut oil, palm oil, blended oil, cottonseed oil, soybean oil, sunflower oil, safflower oil, groundnut oil, canola oil, rice bran...",https://www.financialexpress.com/industry/fssai-says-2-42-of-4461-different-edible-oils-samples-found-to-be-of-sub-standard-quality/2393346/
palmolein,oil/product,product,query_component,manual_addition,1,2,Oil/product term approved by user.,,,,,,,,,
