corpus,food_pool,subject,predicate,object,triplet_rows,distinct_sources,mean_confidence,example_url,example_evidence
FSSAI baseline,FSSAI baseline,"Food Safety and Standards (First Amendment) Rules, 2024",issuedby,Ministry of Health and Family Welfare,2,1,0.95,markdown/gaz_amend.md,Ministry of Health and Family Welfare
FSSAI baseline,FSSAI baseline,"Food Safety and Standards (Amendment) Rules, 2017",issuedby,Central Government,1,1,0.95,markdown/amend_2_2017.md,the Central Government hereby makes the following rules
FSSAI baseline,FSSAI baseline,Collector,targets,Additional Collector,1,1,0.95,markdown/amend_3_2017.md,delegate... to an Additional Collector
FSSAI baseline,FSSAI baseline,Collector,targets,Sub-Divisional Officer,1,1,0.95,markdown/amend_3_2017.md,delegate... to his Sub-Divisional Officer
FSSAI baseline,FSSAI baseline,District Magistrate,targets,Additional District Magistrate,1,1,0.95,markdown/amend_3_2017.md,delegate... to an Additional District Magistrate
FSSAI baseline,FSSAI baseline,District Magistrate,targets,Sub-Divisional Officer,1,1,0.95,markdown/amend_3_2017.md,delegate... to his Sub-Divisional Officer
FSSAI baseline,FSSAI baseline,Cooking of crustaceans,targets,Listeria monocytogenes,1,1,0.95,markdown/appendix_b_1.md,Cooking of crustaceans must be designed to eliminate six log reduction of most heat resistant vegetative bacteria i.e. Listeria monocytogenes
FSSAI baseline,FSSAI baseline,ev_dead_animal_prohibition_0001,targets,flesh of any animal or fowl which has died on account of,1,1,0.95,markdown/comp_prohibition_and_restrcition_of_sales_xi_01042025.md,flesh of any animal or fowl which has died on account of
FSSAI baseline,FSSAI baseline,"Food Safety and Standards Rules, 2011",issuedby,Ministry of Health and Family Welfare,1,1,0.95,markdown/fss_gazete_rules_2011.md,notification of Government of India in the Ministry of Health and Family Welfare
FSSAI baseline,FSSAI baseline,Food Safety Officer,issuedby,Detention,1,1,0.95,markdown/fss_gazete_rules_2011.md,direct you to keep in your safe custody the said sealed stock
FSSAI baseline,FSSAI baseline,Food Safety Officer,issuedby,WorkRestriction,1,1,0.95,markdown/fss_rules_2011.md,direct such person not to take part in selling or manufacturing any article of food
FSSAI baseline,FSSAI baseline,Food Safety Officer,issuedby,OrderIssuance,1,1,0.95,markdown/fss_rules_2011.md,make an order to the Food Business Operator in Form III
FSSAI baseline,FSSAI baseline,SuoMotuSummons,targets,public documents,1,1,0.85,markdown/fss_rules_2011.md,issue summons for production of public documents
FSSAI baseline,FSSAI baseline,Food Safety Officer,issuedby,Inspection,1,1,0.95,markdown/fss_rules_2011.md,Food Safety Officer... inspected/searched the premises
FSSAI baseline,FSSAI baseline,Food Safety Officer,issuedby,DocumentReturn,1,1,0.95,markdown/fss_rules_2011.md,Food Safety Officer has agreed to return the books of account
FSSAI baseline,FSSAI baseline,Food Safety Officer,issuedby,SafeCustodyOrder,1,1,0.95,markdown/fss_rules_2011.md,I hereby direct you to keep in your safe custody the said sealed stock
FSSAI baseline,FSSAI baseline,"Food Safety and Standards (First Amendment) Regulations, 2022",issuedby,Central Government,1,1,0.95,markdown/rule_gaz.md,केंद्रीय सरकार... नियम बनाती है
FSSAI baseline,FSSAI baseline,Certificate of Analysis,issuedby,Referral Food Laboratory,1,1,0.95,markdown/fss_rules_2011.md,CERTIFICATE OF ANALYSIS BY THE REFERRAL FOOD LABORATORY
FSSAI baseline,FSSAI baseline,"Food Safety and Standards (First Amendment) Rules, 2020",issuedby,Ministry of Health and Family Welfare,1,1,0.95,markdown/rule_gaz.md,Ministry of Health and Family Welfare vide number G.S.R. 535(E)
FSSAI baseline,FSSAI baseline,"Food Safety and Standards (First Amendment) Rules, 2022",issuedby,section 91 of the said Act,1,1,0.9,markdown/rule_gaz.md,in exercise of the powers conferred by section 91 of the said Act
FSSAI baseline,FSSAI baseline,G.S.R. 1516(E),issuedby,Government of India,1,1,0.85,markdown/rule_gaz.md,"G.S.R. 1516(E), dated the 13th December, 2017"
FSSAI baseline,FSSAI baseline,MandatoryFortification,targets,staple food,1,1,0.95,markdown/compendium_food_fortification_regulations_05_06_2022.md,specify mandatory fortification of any staple food
FSSAI baseline,FSSAI baseline,Pasteurization,targets,Mycobacterium tuberculosis,1,1,0.95,markdown/chapter_2_1_dairy_products_and_analogues.md,effectively destroy the organisms Mycobacterium tuberculosis
FSSAI baseline,FSSAI baseline,Pasteurization,targets,Coxiella burnetii,1,1,0.95,markdown/chapter_2_1_dairy_products_and_analogues.md,effectively destroy the organisms ... and Coxiella burnetii
FSSAI baseline,FSSAI baseline,Amendment for substitution of highlighted provision 81,issuedby,FSSAI,1,1,0.9,markdown/chapter_2_1_dairy_products_and_analogues.md,direction no. SS/SP-14/Misc/2023-FSSAI
News,Ghee,SIT investigation,targets,ghee,3,3,0.85,https://timesofindia.indiatimes.com/city/vijayawada/tirumala-prasadam-row-sit-intensifies-probe-into-tirupati-balaji-laddu-ghee-adulteration-case/articleshow/113785186.cms,investigation into the use of adulterated ghee
News,Ghee,ghee adulteration finding,triggeredaction,FIR registration,3,3,0.8833,https://assamtribune.com/national/6500-litres-of-fake-ghee-recovered-in-delhi-haryana-1612879,an FIR was registered against the miscreants
News,Ghee,show cause notice,issuedby,FSSAI,3,3,0.95,https://www.newindianexpress.com/nation/2024/Sep/23/tirupati-laddu-row-fssai-issues-show-cause-notice-to-ghee-supplier-2,The show cause notice was issued by the Food Safety and Standards Authority of India (FSSAI)
News,Oil,palm oil import ban,targets,palm oil,3,2,0.9333,https://www.newindianexpress.com/world/2021/apr/06/sri-lanka-bans-palm-oil-imports-with-immediate-effect-asks-plantations-to-uproot-trees-2286572.html,Sri Lankan President Gotabaya Rajapaksa has banned the import of palm oil
News,Ghee,suspension of FSSAI licence,targets,ghee,2,2,0.825,https://www.freepressjournal.in/india/tirupati-laddoo-ghee-row-madras-hc-quashes-suspension-of-fssai-licence-of-tamil-nadu-dairy-firm,suspension should apply only to the ghee manufactured at the plant
News,Ghee,show cause notice to A R Dairy Food Private Ltd,targets,ghee,2,2,0.9,https://www.thehindubusinessline.com/news/tirupati-laddu-row-food-safety-regulator-issues-notice-to-ghee-supplier-purification-ritual-at-temple-more-pils-filed/article68676372.ece,suppliers of ghee to TTD
News,Ghee,Directive to remove A1/A2 claims,issuedby,FSSAI,2,2,0.925,https://www.financialexpress.com/business/healthcare-fssai-issues-directive-to-e-commerce-food-business-operators-on-misleading-claims-for-a1-and-a2-milk-products-3590908/,FSSAI has directed all FBOs to remove any such claims
News,Ghee,ghee adulteration finding,triggeredaction,seizure of materials,2,2,0.9,https://assamtribune.com/national/6500-litres-of-fake-ghee-recovered-in-delhi-haryana-1612879,"More than 4,000 litres of suspected adulterated ghee packaged for market distribution were seized"
