metadata_decision,crawl_rescue,review_reason,score,title,source,date,url,query_family,query_id,product_hits,adulteration_hits,enforcement_hits,india_hits,exclude_hits,query_used
strict_rescue_candidate,1,oil term appears near adulteration/enforcement term | passes strict metadata test: edible oil + adulteration/enforcement + India signal,15,"Adulterated cooking oil, wheat flour worth Rs 21 lakh seized in Hyderabad",siasat.com,2026-03-10,https://www.siasat.com/adulterated-cooking-oil-wheat-flour-worth-rs-21-lakh-seized-in-hyderabad-3432488/,boolean,boolean_core_oils_fraud,cooking oil,adulterat,seize; seized,hyderabad; indian_source,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
strict_rescue_candidate,1,oil term appears near adulteration/enforcement term | passes strict metadata test: edible oil + adulteration/enforcement + India signal,15,"Over 5,000 litres of adulterated cooking oil seized in Gachibowli; expired wheat flour repackaged for sale",thehindu.com,2026-03-10,https://www.thehindu.com/news/cities/Hyderabad/over-5000-litres-of-adulterated-cooking-oil-seized-in-gachibowli-expired-wheat-flour-repackaged-for-sale/article70724996.ece,boolean,boolean_core_oils_fraud,cooking oil,adulterat,seize; seized,hyderabad; indian_source,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
strict_rescue_candidate,1,oil term appears near adulteration/enforcement term | passes strict metadata test: edible oil + adulteration/enforcement + India signal,13,Collection of reused cooking oil from eateries goes up three-fold in Madurai,newindianexpress.com,2024-08-03,https://www.newindianexpress.com/states/tamil-nadu/2024/Aug/03/collection-of-reused-cooking-oil-from-eateries-goes-up-three-fold-in-madurai,boolean,boolean_core_oils_fraud,cooking oil,reuse; reused,,india; indian_source; tamil nadu,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
strict_rescue_candidate,1,oil term appears near adulteration/enforcement term | passes strict metadata test: edible oil + adulteration/enforcement + India signal,13,What actually happens when cooking oil is reused and why it matters,indiatimes.com,2025-10-24,https://timesofindia.indiatimes.com/life-style/food-news/what-actually-happens-when-cooking-oil-is-reused-and-why-it-matters/articleshow/124779839.cms,boolean,boolean_named_oils_fraud,cooking oil,reuse; reused,,india,,"((""mustard oil"" OR ""palm oil"" OR ""soybean oil"" OR ""sunflower oil"" OR ""groundnut oil"" OR ""coconut oil"" OR ""rice bran oil"" OR ""cottonseed oil"" OR ""sesame oil"" OR ""olive oil"" OR ""rapeseed-mustard oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
possible_review,0,oil term appears near adulteration/enforcement term | borderline oil/enforcement signal but excluded from rescue crawl by conservative screen,11,"AMC seizes 180kg of âedible oilâ, seals 5 units",indiatimes.com,2024-07-28,https://timesofindia.indiatimes.com/city/ahmedabad/amc-seizes-180kg-of-edible-oil-seals-5-units/articleshow/112072084.cms,boolean,boolean_core_oils_fraud,edible oil,,seize,india,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,,11,Inspections to check reuse of cooking oil by eateries,thehindu.com,2022-05-27,https://www.thehindu.com/news/national/kerala/inspections-to-check-reuse-of-cooking-oil-by-eateries/article65467766.ece,boolean,boolean_core_oils_fraud,cooking oil,reuse,inspection,indian_source; kerala,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,,9,1 In 10 Street Food Vendors In Tn Reuses Cooking Oil: Survey,indiatimes.com,2022-06-26,https://timesofindia.indiatimes.com/city/chennai/1-in-10-street-food-vendors-in-tn-reuses-cooking-oil-survey/articleshow/92463460.cms,proximity,proximity_oil_food_safety,cooking oil,reuse,,india,,"(""oil food safety""~10 AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,oil term appears near adulteration/enforcement term | excluded context: paneer,9,1500 kg paneer adulterated with palm oil and acetic acid seized in this city,indiatimes.com,2025-02-07,https://timesofindia.indiatimes.com/life-style/food-news/1500-kg-paneer-adulterated-with-palm-oil-and-acetic-acid-seized-in-this-city/articleshow/117992869.cms,boolean,boolean_core_oils_fraud,palm oil,adulterat,seize; seized,india,paneer,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,oil term appears near adulteration/enforcement term | excluded context: paneer,9,Adulterated paneer and cooking oil seized ahead of Diwali,indiatimes.com,2025-10-15,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,boolean,boolean_core_oils_fraud,cooking oil,adulterat,seize; seized,india,paneer,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,,9,Do You Throw Away Used Cooking Oil? 5 Smart Ways To Reuse It And Save Money,news18.com,2026-05-31,https://www.news18.com/photogallery/lifestyle/home-garden/do-you-throw-away-used-cooking-oil-5-smart-ways-to-reuse-it-and-save-money-ws-el-10122396.html,boolean,boolean_core_oils_fraud,cooking oil,reuse,,indian_source,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
confirm_metadata_drop,0,,9,Eateries reuse cooking oil for frying in Vizag,indiatimes.com,2023-05-22,https://timesofindia.indiatimes.com/city/visakhapatnam/eateries-reuse-cooking-oil-for-frying-in-vizag/articleshow/100406037.cms,boolean,boolean_core_oils_fraud,cooking oil,reuse,,india; patna,,"((""edible oil"" OR ""cooking oil"" OR ""vegetable oil"" OR ""refined oil"" OR ""loose oil"" OR ""loose edible oil"") AND (adulterat* OR contaminat* OR misbrand* OR substandard OR spurious OR fake OR counterfeit OR rancid OR ""reused oil"" OR ""recycled oil"" OR ""unsafe oil"" OR ""unsafe cooking oil"" OR ""unsafe edible oil"" OR ""mixed with"") AND language:en) AND NOT (ghee OR vanaspati)"
