keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,source_round_number,next_round_target,keyword_source_scope,keyword_source_article_count,example_article_id,example_domain,example_source,example_publication_date,example_human_label,example_word_count,normalized_keyword,suppression_reason
refined soybean oil,phrase_frequency; tfidf; yake,3,1.0,5,2,0.243659,0.985659,0.119048,0.25,0.487053,oil/product,keep_core,clear edible-oil product term found in sample text,7,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,"...provide details of the batch number of the oil being manufactured here,"" Kumar said. A total of 291 tins of refined soybean oil, 3,968 pouches of refined soybean oil and 6,995 pouches of refined palmolein oil were seized. Three samples w...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ed3cfd3b-e129-4945-88ec-d3900ed3ab50,timesofindia.indiatimes.com,indiatimes.com,2026-02-24,relevant,291,refined soybean oil,near_duplicate: covered by existing terms: refined oil + soybean oil
palmolein oil,phrase_frequency; tfidf; yake,3,1.0,6,3,0.237645,0.98446,0.142857,0.375,0.506969,other_candidate,manual_review,statistically strong phrase but not in edible-oil categories,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...eized 53 cans of loose soyabean oil, another 41 boxes of re-used refined soyabean oil and 28 boxes of re-used palmolein oil, collectively worth Rs1.93 lakh. On November 1, the FDA officials raided a cold storage in Satpur and found o...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,palmolein oil,near_duplicate: covered by existing term: palmolein
refined palmolein oil,phrase_frequency; tfidf; yake,3,1.0,5,2,0.243659,0.991141,0.119048,0.25,0.488423,other_candidate,manual_review,statistically strong phrase but not in edible-oil categories,7,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,"...said. A total of 291 tins of refined soybean oil, 3,968 pouches of refined soybean oil and 6,995 pouches of refined palmolein oil were seized. Three samples were collected for lab tests. Officials also seized 91 tins (15 kg each) of expir...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ed3cfd3b-e129-4945-88ec-d3900ed3ab50,timesofindia.indiatimes.com,indiatimes.com,2026-02-24,relevant,291,refined palmolein oil,near_duplicate: covered by existing terms: refined oil + palmolein
greater noida,phrase_frequency; tfidf; yake,3,1.0,4,2,0.184997,0.972183,0.095238,0.25,0.459581,location,manual_review,location term; useful only if we decide to add geography-specific queries,7,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,"...same day, officials inspected Janaki Ballabh Foods Private Limited in UPSIDC Industrial Area, Site 5, Kasna, Greater Noida, and found edible oil containers bearing the fortification logo without actual fortification, which is mandat...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ed3cfd3b-e129-4945-88ec-d3900ed3ab50,timesofindia.indiatimes.com,indiatimes.com,2026-02-24,relevant,291,greater noida,location_only_not_needed_for_round3_queries
fda officials,phrase_frequency; tfidf; yake,3,1.0,4,1,0.15148,0.989399,0.095238,0.125,0.433403,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,...nt parts of the district over the last 15-20 days. The total amount of seized items is worth over Rs 20 lakh. FDA officials said that teams were formed to conduct raids in various outlets to prevent the sale of adulterated food items...,2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,fda official,not_selected_after_manual_cleanup
adulterated food items,phrase_frequency; yake,2,0.666667,3,2,0.0,0.989101,0.071429,0.25,0.362156,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...bad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, machinery, and vehicles worth Rs 64.07 lakh, and arresting 28 individuals associated with the units, sources...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,adulterated food item,not_selected_after_manual_cleanup
adulterated food,phrase_frequency; yake,2,0.666667,3,2,0.0,0.973054,0.071429,0.25,0.358144,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...bad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, machinery, and vehicles worth Rs 64.07 lakh, and arresting 28 individuals associated with the units, s...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,adulterated food,broad_or_noisy: broad food-adulteration term; not oil-specific enough for Round 3
noida,yake,1,0.333333,9,2,0.0,0.972308,0.214286,0.25,0.346053,location,manual_review,location term; useful only if we decide to add geography-specific queries,7,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,Noida: Around 100kg of rasgullas were destroyed at a sweet shop in Sector 62 after food safety teams found them sto...,2,3,new_unique_round_02_rescue_relevant_articles_only,8,ed3cfd3b-e129-4945-88ec-d3900ed3ab50,timesofindia.indiatimes.com,indiatimes.com,2026-02-24,relevant,291,noida,location_only_not_needed_for_round3_queries
food adulteration,phrase_frequency; yake,2,0.666667,2,1,0.0,0.955489,0.047619,0.125,0.331432,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major succes...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,food adulteration,broad_or_noisy: broad food-adulteration term already represented by adulteration + oil terms
food safety and drug,yake,1,0.333333,2,2,0.0,0.972641,0.047619,0.25,0.321136,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,6,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"Jaipur: Food Safety and Drug Control Commissionerate teams on Tuesday seized 6,683 litre of edible oil in Muhana Mandi and 6,000 litre at...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,944ebc0e-5af0-4d5f-96cd-1a0080566898,timesofindia.indiatimes.com,indiatimes.com,2024-05-22,relevant,317,food safety and drug,near_duplicate: covered by existing terms: food safety + FDA/FSDA
fda found,yake,1,0.333333,2,1,0.0,0.977405,0.047619,0.125,0.303577,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...d a house in Sinnar and found a man adulterating milk with the help of milk powder and colourless liquid. The FDA found 18 kg of dairy milk powder, 34 kg of milk powder and 170 litres of colourless liquid. With the help of these...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,fda found,near_duplicate: fragment covered by FDA
budh nagar food safety,yake,1,0.333333,1,1,0.0,0.98672,0.02381,0.125,0.302335,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,8,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...supplied with safe and quality food items during the festive season NOIDA: Ahead of the Holi festival, Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noida and G...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,460be3b0-c095-4fcd-8507-b56356cff442,hindustantimes.com,hindustantimes.com,2026-02-24,relevant,481,budh nagar food safety,near_duplicate: local fragment covered by food safety
